company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Webcraft It,Android Developer – Backend Libraries Specialist,Remote,9.5,"Gradle, Android, Java, SDKs, Agile",4.4,App Developer
IT Solutions Management International Pte. Ltd.,Flutter Developer,Remote,12.0,"English, UX, Integration testing, GraphQL",0.0,App Developer
Arista Consulting,Application Developer (Fresher),Hyderābād,6.5,"Software troubleshooting, iOS, .NET, Java, PHP",5.0,App Developer
TalentXo,"IOS Developer (Swift, Cocoa)",Remote,36.5,"CI/CD, iOS development, Software deployment, iOS, Git",0.0,App Developer
Teqlawn,Freelance Android Developer,Remote,6.0,"Software troubleshooting, Java, APIs, Android Development",0.0,App Developer
Pinnacle Global Group,iOS Developer,Remote,3.6,"iOS development, iOS, Objective-C, Git, REST",0.0,App Developer
Accenture,Application Developer,Hyderābād,20.186666666666667,"Database management, Telecommunication, Software development, SDLC",3.8,App Developer
Stellarhire Solutions,Android Developer,Remote,17.5,"MVC, Android, Application development, Analysis skills, SDKs",0.0,App Developer
Teqlawn,Freelance App Developer,Remote,6.0,"Software troubleshooting, iOS development, Mobile applications, iOS, APIs",0.0,App Developer
Snapper IT,Application Developer Fresher,Hyderābād,7.0,"CSS, React, MongoDB, PHP, OOP",4.3,App Developer
Manyatechnosys private limited,Android Developer,Remote,3.84067,"CI/CD, Gradle, Git, Android, Java",0.0,App Developer
Gnapi Technologies Private Limited,Mobile Developer,India,10.14,"CI/CD, Azure, JUnit, Kubernetes, Mobile applications",0.0,App Developer
Reevv Inc,Mobile App Developer,Remote,5.1,"React, Mobile applications, Application development, Agile, TypeScript",0.0,App Developer
Infoicon Technologies,ANDROID DEVELOPER,Noida,5.0,"Android, Java, SDKs, REST",4.3,App Developer
ETechDreams Solutions,Android App developer,Remote,2.82,"Web development, English, Java, Application development, Software development",0.0,App Developer
Prashanthi Balamandira Trust,App Developer,Remote,1.5,"Mobile applications, Git, Java, UX, APIs",0.0,App Developer
Barclays,Application Developer,Pune,7.0,"CI/CD, Elasticsearch, Oracle, Relational databases, Git",3.9,App Developer
Saffo Solution Technology,Android Developer -Remote,Remote,12.379999999999999,"Git, OOP, SVN, REST, APIs",4.2,App Developer
