,company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
0,petition.io,Blockchain Developer,Remote,6.645142857142858,"CI/CD, CSS, Software deployment, DevOps, Git",0.0,Blockchain Developer
1,Polygon,Blockchain Developer - Integration & Support,Remote,3.3200000000000003,"Git, JavaScript, SDKs, Computer networking",3.3,Blockchain Developer
2,Vegavid Technology,Blockchain Developer,Remote,48.0,"Node.js, React, Machine learning",4.9,Blockchain Developer
3,Appson Technologies,Blockchain Developer,Remote,2.5,"MongoDB, Microservices, AWS, Software development, HTML",0.0,Blockchain Developer
4,nPlus technologies,Blockchain Developer,Coimbatore,48.0,Encryption,4.4,Blockchain Developer
5,Ajath Infotech,Blockchain Developer,Gurgaon,24.0,"Data structures, Encryption, Java, C++, C",4.1,Blockchain Developer
6,Shamlatech,Blockchain Developer,India,19.333333333333332,"Go, Node.js, Kubernetes, AWS, APIs",3.7,Blockchain Developer
7,Technology Next,Blockchain Developer,Remote,10.8,"React, Encryption, JavaScript, APIs",0.0,Blockchain Developer
8,smartData Enterprises,Blockchain Developer Freelancer,Remote,6.0,"Unreal Engine, JavaScript, Unity, Agile, Communication skills",3.9,Blockchain Developer
9,WebMantra Technologies,Blockchain Developer,India,5.125,"Node.js, Git, Java, Database design, Project management",3.9,Blockchain Developer
10,Golden Future Technologies,Blockchain Developer,Hyderābād,5.0,,4.0,Blockchain Developer
11,Techrevive,Blockchain Developer,Remote,8.0,"Rust, Software troubleshooting, Software deployment, Encryption, JavaScript",0.0,Blockchain Developer
12,ClassHose India Pvt. Ltd.,Blockchain Developer,Haryāna,48.0,"Azure, Rust, Go, Application development, AWS",5.0,Blockchain Developer
13,Spearmint technologies,Blockchain Developer,Remote,3.6,"Rust, Go, Node.js, React, Software deployment",0.0,Blockchain Developer
14,Capital Placement Services,Blockchain Developer 5 Days Working IT Company Gurugram WFH,Gurgaon,9.0,"Data structures, Encryption, Tableau, Information security, Java",0.0,Blockchain Developer
15,Mindtech Services,Blockchain Developer,Pune,5.5,"Go, Software deployment, Python",0.0,Blockchain Developer
16,Polygon,Blockchain Growth Specialist,Remote,3.3200000000000003,"SDKs, Communication skills",3.3,Blockchain Developer
17,Rain Infotech,Blockchain Developer,Surat,48.0,,5.0,Blockchain Developer
18,Tunelink Networks Pvt Ltd.,Blockchain Developer,India,4.38,,0.0,Blockchain Developer
19,ARK Infosoft,Blockchain Developer,Ahmedabad,48.0,"Software troubleshooting, Data structures, Encryption, MongoDB, C++",4.9,Blockchain Developer
20,Creative Thoughts Informatics,Blockchain Developer,Indore,28.56,"English, Analysis skills, Usability, Communication skills, Information architecture",4.6,Blockchain Developer
21,Isotropic Solution Pvt Ltd,Sr. Blockchain Developer,Remote,6.645142857142858,,0.0,Blockchain Developer
22,nextgenit,Blockchain Developer,Delhi,5.4,"Azure, Go, Software deployment, Data structures, Encryption",0.0,Blockchain Developer
23,Impact Solution,Blockchain Developer,Lucknow,3.9,"MongoDB, AWS, Software development, HTML, MySQL",0.0,Blockchain Developer
24,Harry International,Blockchain Developer,Ahmedabad,5.0,"Go, Node.js, Data structures, Encryption, Git",5.0,Blockchain Developer
25,Queppelin,Blockchain Developer,Gurgaon,5.0,"Data structures, Encryption",3.1,Blockchain Developer
26,Perscitus Solutions,Blockchain Developer,India,7.5,"Encryption, Java, Application development, REST, APIs",4.0,Blockchain Developer
27,ESP Softtech,Blockchain Developer,India,3.42,"Rust, Encryption, Analysis skills, JavaScript, Software development",0.0,Blockchain Developer
28,Allied Biztech Solutions,5+ Years Experienced Blockchain Developer | Fully Remote | 20 LPA,Remote,10.0,"Azure, Go, Encryption, English, Java",3.0,Blockchain Developer
29,Technorizen Software,Blockchain Developers,Indore,5.0,,4.7,Blockchain Developer
30,Calibraint,Blockchain Developer,Chennai,5.0,"Data structures, Encryption, Information security, Java, C++",4.0,Blockchain Developer
31,75way Technologies,BLOCKCHAIN DEVELOPER,Panchkula,5.0,Research,3.7,Blockchain Developer
32,WebMobril Technologies,Blockchain Developer,Noida,4.0,,3.4,Blockchain Developer
33,Brain Inventory,Blockchain Developer,Indore,48.0,"Encryption, JavaScript, REST, Scripting, APIs",4.6,Blockchain Developer
34,Helius Technologies,Blockchain/Solidity Developer,India,13.333333333333334,"Node.js, React, English, JavaScript, SDKs",4.2,Blockchain Developer
