company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Norstella,BI Developer,Remote,5.642857142857143,"Power BI, Data modeling, Azure, Business intelligence, Waterfall",3.4,Business Analyst
[x]cube LABS,Business Analyst Trainee,Hyderābād,5.0,"Business analysis, English, Microsoft Office, AWS, Analysis skills",4.4,Business Analyst
Serole Technologies,IT Business Analyst,Hyderābād,6.5,"Business analysis, Software development, Agile, Design thinking",3.8,Business Analyst
[x]cube LABS,Power BI Developer,Hyderābād,6.0,"Power BI, Azure, Business intelligence, CSS, Microsoft SQL Server",4.4,Business Analyst
Lampros Tech,Business Analyst,Ahmedabad,4.5,"Business analysis, Project management, Agile, Business requirements, Communication skills",4.3,Business Analyst
Parkar Digital,Senior Business Analyst,Pune,5.5,"XML, Business analysis, Microsoft Office, SQL, Analysis skills",2.6,Business Analyst
Appventurez Mobitech,Business Analyst,Noida,6.457330000000001,"Azure, iOS, Google Cloud Platform, AWS, Quality assurance",0.0,Business Analyst
Rejolut Technology Solutions,Business Analyst,Navi Mumbai,6.5,"Azure, Google Cloud Platform, AWS, Project management, Quality assurance",3.9,Business Analyst
Optum,Business Analyst,Noida,6.457330000000001,"Power BI, Business intelligence, Tableau, SQL, Communication skills",0.0,Business Analyst
Mobile Programming LLC,Business Intelligence Analyst,Pune,8.0,"Microsoft Powerpoint, Microsoft Outlook, Business intelligence, Business analysis, Tableau",3.6,Business Analyst
Cliniqon,Business Intelligence Analyst,India,2.0,"Power BI, Microsoft Excel, Business intelligence, Tableau, SQL",0.0,Business Analyst
Gleuhr,Business Intelligence Analyst,Chandigarh,4.8,"Power BI, Business intelligence, R, QlikView, Tableau",0.0,Business Analyst
Scrumconnect Consultancy,Business Intelligence Analyst,Bengaluru,17.5,"Power BI, Business intelligence, Data analysis skills, Tableau, Analysis skills",4.8,Business Analyst
Cummins Inc.,Business Intelligence Analyst,Pune,8.5,"Power BI, Data mining, Business intelligence, SQL, Quality assurance",4.0,Business Analyst
Paychex,Business Intelligence Reporting Analyst I,Bengaluru,9.0,"Business intelligence, Analysis skills, Communication skills",3.4,Business Analyst
KShiyaRise,Business Analyst,Remote,16.0,"Jira, CRM software, Power BI, Azure, Oracle",0.0,Business Analyst
Zeta Global,Business Systems Analyst,Hyderābād,8.0,"Microsoft Powerpoint, Microsoft Word, Email marketing, Business analysis, Microsoft Office",3.5,Business Analyst
ProcDNA,Business Analyst,Gurgaon,4.5,"SAS, Salesforce, R, Alteryx, Tableau",3.2,Business Analyst
"Optum Global Solutions, UHG",Senior Business Analyst,Gurgaon,6.457330000000001,"Power BI, Azure, Business intelligence, Alteryx, Microsoft SQL Server",0.0,Business Analyst
ADCI HYD 16 SEZ,"Business Analyst, GO-AI",Hyderābād,7.633333333333334,"Microsoft Excel, Big data, R, SQL, Data analytics",3.6,Business Analyst
Munificent Tech Services Pvt Ltd,Business Analyst,Nashik,6.5,"Microsoft Excel, Data mining, English, Microsoft Office, Analysis skills",0.0,Business Analyst
Kroll,Business Intelligence Analyst,Mumbai,5.0,"Power BI, Business intelligence, Business analysis, Microsoft SQL Server, SSRS",3.5,Business Analyst
