company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Hireflex247 India,Backend Developer (Cloud) – Node.js & TypeScript,Bengaluru,5.5,"Node.js, Google Cloud Platform, Application development, Docker, Agile",5.0,Cloud Engineer
Check Point Software Technologies Ltd.,Cloud Backend Developer,Bengaluru,4.5,"Elasticsearch, OOP, AWS, Agile, Kafka",3.9,Cloud Engineer
Credy,"Backend Developer (Django, Python, Celery, AWS)",India,11.429259259259261,"Git, AWS, Machine learning, PostgreSQL, Redis",3.9,Cloud Engineer
[x]cube LABS,Cloud Penetration Tester,Hyderābād,5.5,"Penetration testing, Cloud infrastructure, Azure, Writing skills, Test automation",4.4,Cloud Engineer
MagicFinServ,Net + Kubernetes,Remote,8.748025247524753,"CI/CD, CSS, Kubernetes, Enterprise Software, .NET Core",0.0,Cloud Engineer
EnactOn Technologies,"Back-end Developer (Python, MongoDB, AWS)",Surat,4.5,"Elasticsearch, Node.js, Cassandra, React, Big data",4.5,Cloud Engineer
Empenofore Technologies,Cloud Developer,Gurgaon,10.0,"CI/CD, Azure, Node.js, Kubernetes, .NET Core",4.8,Cloud Engineer
Ajmera Infotech,Senior Azure DevOps Engineer (IaaS),Telangana,7.558181818181819,"Jira, CI/CD, Cloud infrastructure, Azure, Kubernetes",4.3,Cloud Engineer
Zeta Global,Cloud FinOps Analyst,Bengaluru,17.272727272727273,"Cloud infrastructure, Presentation skills, Digital marketing, AI",3.5,Cloud Engineer
Novartis,"Senior Analyst, Marketing Cloud Intelligence",Hyderābād,5.0,"Power BI, Azure, Business intelligence, Salesforce, Alteryx",4.0,Cloud Engineer
Talenlio,Sr. Cloud/DevOps Engineer,Remote,17.5,"Cloud architecture, Business intelligence, Big data, Database design, AWS",0.0,Cloud Engineer
NTT DATA,Salesforce Marketing Cloud_Digital Solution Consultant Analyst,Hyderābād,16.90029411764706,"Salesforce Marketing Cloud, CSS, Salesforce, SOAP, SQL",3.8,Cloud Engineer
Covantech,Oracle Fusion Cloud HCM Payroll Analyst,Hyderābād,4.5,"Microsoft Powerpoint, Hyperion, Oracle, Cloud architecture, Business intelligence",3.6,Cloud Engineer
Google,"Vendor Solutions Consultant, Google Cloud",Hyderābād,7.558181818181819,"Google Cloud Platform, Project management, Proposal writing, Presentation skills, Technical project management",4.3,Cloud Engineer
Hirein5,AWS Cloud Engineer,Remote,13.0,"CI/CD, Cloud architecture, Software troubleshooting, Kubernetes, DevOps",0.0,Cloud Engineer
VIDEE INFOTECH,Cloud DevOps Engineer,Remote,8.748025247524753,"CI/CD, Cloud infrastructure, Azure, Bamboo, Kubernetes",0.0,Cloud Engineer
Instaacoders Technologies Pvt. Ltd.,Senior DevOps/ Cloud Engineer,Remote,31.5,"CI/CD, Performance tuning, Cloud infrastructure, System administration, Gradle",3.7,Cloud Engineer
Barclays,AWS Cloud Engineer,Pune,11.429259259259261,"AWS, Machine learning, S3, Redshift, DynamoDB",3.9,Cloud Engineer
Concentrix,Cloud Engineer,Hyderābād,12.577608695652176,"CI/CD, Cloud infrastructure, Software troubleshooting, Kubernetes, Ansible",4.0,Cloud Engineer
"Arch Systems, LLC",AWS Cloud Engineer - India,Remote,16.5,"Drupal, System administration, FedRAMP, WordPress, DevOps",4.2,Cloud Engineer
InfoTech Solutions Pvt Ltd,Cloud Engineer,Bengaluru,7.5,"CI/CD, Cloud infrastructure, Azure, Cloud architecture, Software troubleshooting",4.3,Cloud Engineer
Value Point Systems,Cloud Trainee Engineer,Noida,11.944444444444445,"CI/CD, Azure, Operating systems, Software troubleshooting, Kubernetes",3.7,Cloud Engineer
Albireo Tech System,Cloud Engineer,Remote,15.84,"CI/CD, Azure, SQL, Continuous integration, Python",3.6,Cloud Engineer
MAI,Azure Cloud Engineer,Remote,5.88,"Azure, Software troubleshooting, Kubernetes, SQL, Terraform",0.0,Cloud Engineer
Astracloud,AWS DevOps Engineer,Remote,9.0,"Jira, CI/CD, Cloud infrastructure, Kubernetes, Ansible",0.0,Cloud Engineer
Ataloud Technologies,AWS Cloud Engineer,Remote,9.299130434782608,"CI/CD, Cloud infrastructure, Operating systems, Kubernetes, Load balancing",4.1,Cloud Engineer
Digital Innovations,AWS Cloud Engineer,Remote,8.748025247524753,"Cloud infrastructure, Kubernetes, DevOps, Configuration management, AWS",0.0,Cloud Engineer
Semperfi Solution,MICROSOFT OFFICE 365 CLOUD ENGINEER,Remote,12.5,"PaaS, Microsoft Office",0.0,Cloud Engineer
Paypal,Cloud Engineer,Chennai,11.944444444444445,"Cloud infrastructure, Azure, Cloud architecture, Kubernetes, Ansible",3.7,Cloud Engineer
Boston Consulting Group,Global IT Infra/Cloud Engineer Senior Specialist,Gurgaon,7.558181818181819,"Jira, CI/CD, Azure, Customer service, DevOps",4.3,Cloud Engineer
GenexCorp,2. AWS Cloud Engineer,Telangana,8.748025247524753,AWS,0.0,Cloud Engineer
UltraViolet Cyber,Cloud Engineer,Hyderābād,11.429259259259261,"TCP, Cloud infrastructure, Kubernetes, Load balancing, DevOps",3.9,Cloud Engineer
ProntoDigital LLC,Enterprise Cloud Experience Engineer,Remote,12.48425,"Cloud infrastructure, Microsoft Office, Mobile device management, Identity & access management",0.0,Cloud Engineer
Futurism,AWS Cloud Engineer- Intern,India,11.429259259259261,"AWS, Perl, Scripting, DNS, APIs",3.9,Cloud Engineer
BigSpire Software,Associate Cloud Computing Engineer,India,11.429259259259261,"AWS, Cloud computing, Communication skills",3.9,Cloud Engineer
Apple,Junior Cloud Network Software Engineer - Platforms,Bengaluru,9.299130434782608,"Cloud infrastructure, Rust, Go, Data structures, AWS",4.1,Cloud Engineer
Workmates Core2cloud,AWS Cloud Engineer Trainee,Bhubaneshwar,7.666666666666667,"Network administration, AWS, Perl, Scripting, DNS",5.0,Cloud Engineer
Technology Next,Cloud Engineer,Remote,7.8,"CI/CD, Cloud infrastructure, Azure, Node.js, Kubernetes",0.0,Cloud Engineer
Hirein5,Azure Cloud Engineer,Remote,13.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, DevOps",0.0,Cloud Engineer
Yotta Infrastructure,Cloud Engineer,Delhi,12.577608695652176,"Cloud infrastructure, System administration, NFS, English, OpenStack",4.0,Cloud Engineer
Spiderweb technologies,DevOps/AWS Engineer,Remote,2.7,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",0.0,Cloud Engineer
Hexagon AB,Cloud Ops Engineer,Hyderābād,9.299130434782608,"Cloud infrastructure, Azure, Encryption, AWS, Identity & access management",4.1,Cloud Engineer
Dwaith Infotech Pvt Ltd,Azure Cloud Engineer,Remote,6.0,"Power BI, Data modeling, Azure, Spark, SQL",0.0,Cloud Engineer
Alight,Cloud Operations Engineer,Hyderābād,6.333333333333333,"TCP, Cloud infrastructure, System administration, Azure, NFS",3.3,Cloud Engineer
NTT DATA,Private Cloud Engineer,Hyderābād,16.90029411764706,"Cloud infrastructure, System administration, Oracle, VMWare, Research & development",3.8,Cloud Engineer
Flentas Technologies,Cloud Engineer,Pune,7.1875,,4.5,Cloud Engineer
Vodafone,Cloud DevOps Engineer,Pune,6.5,"Jira, SAFe, Business intelligence, Git, Google Cloud Platform",3.9,Cloud Engineer
Technology Next,Cloud Engineer (GCP),Remote,9.6,"CI/CD, Cloud infrastructure, Cloud architecture, Kubernetes, Git",0.0,Cloud Engineer
Eduplex services private limited,Cloud Infrastructure Engineer,Remote,12.5,"CI/CD, Cloud infrastructure, Big data, Writing skills, DevOps",0.0,Cloud Engineer
