company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
cloudsek,Threat Intelligence Researcher,Delhi,12.37037037037037,"Encryption, Machine learning, Cybersecurity, Communication skills",3.8,Cybersecurity Specialist
cloudsek,Cyber Security Analyst/ Researcher,Bengaluru,5.5,"Penetration testing, Encryption, Java, Firewall, Machine learning",3.8,Cybersecurity Specialist
cloudsek,Threat Intelligence Researcher - Dark/Deep Web,Bengaluru,5.5,"Go, Encryption, Research, Information security, Analysis skills",3.8,Cybersecurity Specialist
Nouveau Labs,Cyber Threat Researcher,Bengaluru,5.0,"Research, Information security, Analysis skills, Machine learning, Communication skills",3.8,Cybersecurity Specialist
News Corp,"Analyst, Cyber Threat Intelligence",Bengaluru,4.5,"Writing skills, Research, Information security, Analysis skills, Communication skills",3.4,Cybersecurity Specialist
Fortinet,Cyber Threat Intelligence Analyst,Pune,12.37037037037037,"Writing skills, Arabic, English, Japanese, Research",3.8,Cybersecurity Specialist
Compile,Lead Cyber Threat Intelligence Analyst,Remote,12.038461538461538,"Information security, Scripting, APIs, SIEM, Fraud prevention and detection",4.0,Cybersecurity Specialist
HSBC,Cyber Threat Intelligence /Lead Analyst,Hyderābād,30.0,"English, JavaScript, Scripting, APIs, Cybersecurity",3.9,Cybersecurity Specialist
Quick Heal,Security Analyst,Pune,42.0,"Penetration testing, Information security, Nessus, Burp Suite, Nmap",3.8,Cybersecurity Specialist
Unisys,Cybersecurity Analyst,Bengaluru,4.5,"Microsoft Windows Server, SOX, Information security, Analysis skills, IDS",3.6,Cybersecurity Specialist
KLDiscovery,Information Security Analyst (Remote),Remote,12.37037037037037,"Azure, FedRAMP, PCI, Customer service, Encryption",3.8,Cybersecurity Specialist
Wolters Kluwer,Jr Risk Analyst,India,10.875,"Information security, Risk management",3.7,Cybersecurity Specialist
Crypto Mize,Cyber Intelligence Analyst,Delhi,13.5,"Statistics, Research, Information security, Analysis skills, Less",4.8,Cybersecurity Specialist
NTT DATA,Associate Managed Services Information Security Analyst,Hyderābād,7.0,"Security analysis, Customer service, LAN, Windows, Information security",3.8,Cybersecurity Specialist
NTT DATA,Associate Information Security Analyst,Hyderābād,7.0,"Security analysis, LAN, Windows, Information security, Firewall",3.8,Cybersecurity Specialist
HSBC,Cybersecurity Monitoring and Threat Detection Lead Analyst/Lead Analyst,Hyderābād,4.5,"PCI, English, Local language, Quality assurance, NIST standards",3.9,Cybersecurity Specialist
Novo Nordisk,Product Security Analyst,Bengaluru,9.0,"Databases, Analysis skills, Data analytics, Data science",4.3,Cybersecurity Specialist
Altera Digital Health India,IT Cyber Defense Analyst,Pune,6.5,"FTP, TCP, Azure, PCI, Encryption",3.5,Cybersecurity Specialist
Smiths Group,Cyber Security Analyst,Pune,5.0,"Research, Information security, Firewall, Analysis skills, Cybersecurity",3.0,Cybersecurity Specialist
Exela Technologies,Security Analyst,Chennai,36.0,"Firewall, IDS, Network protocols, Scripting, SIEM",3.6,Cybersecurity Specialist
EY,Cyber Incident Response - Junior Incident Coordinator,India,10.875,"Incident management, Customer service, Windows, Information security, Splunk",3.7,Cybersecurity Specialist
Western Union,Information Security Analyst (SOC Analyst),Pune,13.714285714285714,"Information security, Firewall, SSL, Organizational skills, SIEM",3.6,Cybersecurity Specialist
Unisys,Cybersecurity Sr. Analyst,Bengaluru,7.0,,3.6,Cybersecurity Specialist
Visa,"Sr. Cybersecurity Analyst, Cyber Security Analyst (global scam campaigns & Payments)",Bengaluru,6.0,"PCI, Information security, Customer relationship management, Data analytics, Fraud prevention and detection",3.9,Cybersecurity Specialist
NetApp,Network Security Engineer / Incident response engineer / SOC Analyst,Bengaluru,8.0,"TCP, Customer service, Microsoft Office, Information security, SQL",4.1,Cybersecurity Specialist
Hella,Cyber Security Analyst,Gurgaon,5.5,"Windows, IDS, Scripting, Computer networking, Linux",4.0,Cybersecurity Specialist
PwC,Cyber - TDR Associate L1 India__Migrated - Associate - Operate,Bengaluru,12.37037037037037,"TCP, PCI, Information security, Firewall, IDS",3.8,Cybersecurity Specialist
TriNet,Senior Security Analyst,Hyderābād,6.5,"English, Analysis skills, ServiceNow, SIEM, Cybersecurity",3.6,Cybersecurity Specialist
Jobbycart Technologies,Sr . Cyber Security Engineer(VAPT),Coimbatore,12.0,"Penetration testing, Cloud infrastructure, PCI, Information security, Firewall",0.0,Cybersecurity Specialist
Simeio Solutions,Lead Identity Engineer - CyberArk,India,6.5,"Microsoft Windows Server, ServiceNow, Active Directory, Workday, Identity & access management",4.5,Cybersecurity Specialist
KPMG,Technology Consulting-DT Cyber Defense Analyst,Mumbai,5.0,"Penetration testing, TCP, Oracle, SAP, NoSQL",3.7,Cybersecurity Specialist
Deloitte,T&T-Cyber-D&R-SOC-Consultant-Mumbai,Mumbai,7.5,"TCP, Project management, IDS, DNS, TCP/IP",4.0,Cybersecurity Specialist
Crypto Mize,Information Security Analyst,Delhi,13.5,"Operating systems, iOS, Encryption, Windows, Information security",4.8,Cybersecurity Specialist
Crypto Mize,Cyber Forensics Expert,Delhi,13.5,"Information security, Supervising experience, Computer forensics, Chef, Communication skills",4.8,Cybersecurity Specialist
Omnissa,Senior Information Security Analyst,Bengaluru,7.0,"Azure, PCI, Information security, Scripting, SIEM",4.1,Cybersecurity Specialist
Deloitte,T&T-Cyber-Defense & Resilience-SOAR-DM-Bengaluru,Bengaluru,12.038461538461538,"PCI, Information security, IDS, Splunk, Agile",4.0,Cybersecurity Specialist
"Advanced Micro Devices, Inc",Sr. Information Security Analyst,Hyderābād,5.0,"Azure, IT service management, Information security, AWS, NIST standards",4.0,Cybersecurity Specialist
