company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
VWorker Solutions India Pvt Ltd,Data Analyst,Remote,1.8,"Power BI, Data mining, Business intelligence, Relational databases, Tableau",0.0,Data Analyst
Epsilon,Data Analyst 1,Bengaluru,10.0,"Cognos, Power BI, Big data, R, Tableau",3.9,Data Analyst
Smiths Group,Data Analyst,Pune,7.0,"Power BI, Microsoft Excel, Business intelligence, Relational databases, Databases",3.0,Data Analyst
Techtiera Sdn Bhd,Data Analyst - Dataiku,India,21.5,"Spark, Data analysis skills, Apache Hive, Research, SQL",3.3,Data Analyst
Institutional Shareholder Services,Junior Data Analyst,Mumbai,6.0,"English, Microsoft Office, Analysis skills, Data collection",3.5,Data Analyst
Mordor Intelligence,Research Associate - Data Analyst,India,8.216129032258063,"Power BI, R, Research, Tableau, SQL",3.7,Data Analyst
The Night Marketer,Data Analyst Intern,Remote,0.9,"Power BI, Business intelligence, Data analysis skills, Analysis skills, Scripting",0.0,Data Analyst
Nithminds Private limited,Data analyst - immediate joiner,Remote,40.0,"Power BI, Data modeling, Azure, Data analysis skills, Microsoft SQL Server",0.0,Data Analyst
Axion Ray,Data Analyst,Bengaluru,7.0,"R, Machine learning, Natural language processing, Data science, Manufacturing",3.9,Data Analyst
Indxo.AI,Junior Data Analyst,Bengaluru,2.1,"Power BI, Data modeling, Microsoft Excel, R, Tableau",0.0,Data Analyst
Hewlett Packard,Data Analyst,Bengaluru,8.5,"Power BI, Operating systems, Data analysis skills, English, Windows",4.1,Data Analyst
SMA Solar India,Data Analyst,Hyderābād,5.5,"Power BI, Business intelligence, Relational databases, Salesforce, R",4.0,Data Analyst
GP Strategies Corporation,Business Data Analyst 2,Chennai,8.5,"Microsoft Powerpoint, Power BI, Business intelligence, Business analysis, Data entry",3.4,Data Analyst
Increasingly,Data Analyst,Bengaluru,7.0,"Power BI, Microsoft Excel, Data mining, Business intelligence, R",4.9,Data Analyst
Boston Consulting Group,"Data Analyst, Client Ops, Predictive, India- X Delivery",Gurgaon,6.5,"Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.3,Data Analyst
Boston Consulting Group,Global Data Analyst Senior Specialist,Gurgaon,6.5,"Power BI, Business intelligence, Tableau, SQL, Agile",4.3,Data Analyst
Tricon Energy,Data Analyst - Night Shift,Mumbai,42.0,"Statistics, Microsoft Excel, English, Databases, Data entry",3.7,Data Analyst
Priceline.com,Data Analyst,Mumbai,4.5,"Microsoft Excel, Oracle, Business intelligence, Relational databases, Tableau",3.8,Data Analyst
Dr. Design Pvt. Ltd.,Data Analyst,India,4.5,"ArcGIS, Data analysis skills, SQL, Analysis skills, Database management",0.0,Data Analyst
Institutional Shareholder Services,Junior Data Analyst (PGDM Finance Freshers),Mumbai,6.0,"English, Microsoft Office, Analysis skills, Data collection",3.5,Data Analyst
S&P Global,Data Analyst,Ahmedabad,5.0,"Analysis skills, Computer skills, Communication skills",4.1,Data Analyst
Exillar Infotech Private Limited,Data Analyst,India,4.935726495726496,"Power BI, Business intelligence, Tableau, Machine learning",0.0,Data Analyst
RP2,Data Analyst Intern,Cochin,0.6,"Big data, SQL, Analysis skills, Data analytics, Python",0.0,Data Analyst
Naresh I Technologies,Data Analyst Faculty,Hyderābād,8.0,"Statistics, Big data, R, Tableau, SQL",3.7,Data Analyst
Nineleaps,Data Analyst,Bengaluru,8.0,"Power BI, Business intelligence, Tableau, SQL, Data visualization",4.2,Data Analyst
Zeta Global,Data Analyst,Hyderābād,9.5,"SFTP, Oracle, SAP, Microsoft SQL Server, Databases",3.5,Data Analyst
Expertrons,Data Analyst,Hyderābād,11.5,"Power BI, Data modeling, Azure, R, Data analysis skills",4.0,Data Analyst
DB CONSUMER PRODUCTS,Data Analyst,Calicut,1.92,"Microsoft Excel, Data analysis skills, English, Tamil, Analysis skills",0.0,Data Analyst
Stantec,Data Analyst,Pune,4.5,"Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Data analysis skills",3.8,Data Analyst
iCIMS Talent Acquisition,Data Analyst,Hyderābād,48.0,"Microsoft Excel, Tableau, SQL, Data analytics, Communication skills",3.8,Data Analyst
Ollion,Data Analyst,Bengaluru,6.0,"Power BI, Data modeling, Azure, R, Data analysis skills",3.4,Data Analyst
Shubhashray Housing India,Data Analyst,Gurgaon,30.0,"Microsoft Excel, Data analysis skills, Research, Java",4.4,Data Analyst
Adecco Group,Reporting Analyst,Bengaluru,10.619047619047619,"Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel",3.6,Data Analyst
ASSPL - Karnataka,"Data Analyst, FCGT, Local Shops on Amazon",Bengaluru,7.0,"Microsoft Excel, Data mining, Business intelligence, SAS, Business analysis",3.6,Data Analyst
Novisync,Data Analyst,Visakhapatnam,4.0,"Data mining, Customer service, Spark, Java, SQL",3.4,Data Analyst
Microsoft,Scaled Solutions and Insights Data Analyst,Bengaluru,6.0,"Program management, Business intelligence, Data analysis skills, Financial analysis, Agile",4.2,Data Analyst
ANSHIKA FASTENERS PRIVATE LIMITED,Business Data Analyst,Nāgpur,1.5,"CRM software, Statistics, Computer science, Power BI, Data modeling",0.0,Data Analyst
TechnipFMC,Data Analyst II,Hyderābād,6.0,"Jira, Power BI, SAFe, Data modeling, Business intelligence",4.2,Data Analyst
Winsmart Jobs,Data Analyst,Delhi,3.5,"Power BI, Business intelligence, R, Data analysis skills, Tableau",0.0,Data Analyst
Zessta,Data Analyst,Hyderābād,5.0,"Power BI, Business intelligence, R, NoSQL, Tableau",4.6,Data Analyst
Group 8A,Data Analyst,India,6.24,"Microsoft Powerpoint, Facebook Advertising, Enterprise Software, SQL, Presentation skills",2.5,Data Analyst
ICON Plc,"Data Analyst I - Radiography, CT & MRI exp.",Chennai,5.0,"Microsoft Excel, Microsoft Access, Oracle, XML, Quality assurance",3.7,Data Analyst
