company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Warrior tech solutions,SQL Developer,Remote,5.0,"Relational databases, Data structures, Databases, SQL, Database design",0.0,Data Base Administrator
Metaphor Consulting,SQL Fresher Developer,Jamshedpur,5.0,SQL,5.0,Data Base Administrator
Corporate Hierarchy Solutions Pvt. Ltd,SQL Developer,India,18.0,"Microsoft SQL Server, Databases, SQL, Analysis skills, Database management",0.0,Data Base Administrator
KJ Systems India,DataBase Developer (SQL),India,24.0,"SQL, Analysis skills, Communication skills",3.8,Data Base Administrator
Jinendra infotech pvt ltd.,T-SQL Developer.,Remote,8.5,"Power BI, Data modeling, Azure, Microsoft SQL Server, Databases",0.0,Data Base Administrator
Dream Tekis Software,SQL Developer,Hyderābād,5.0,"Relational databases, Microsoft SQL Server, SQL, Database design, Debugging",3.7,Data Base Administrator
Tru View,SQL Developer / Analyst,India,5.5,"Oracle, SQL, Analysis skills, PL/SQL",4.4,Data Base Administrator
Chai Waale,SQL Developer,Remote,14.5,"Performance tuning, Power BI, Azure, Oracle, Microsoft SQL Server",0.0,Data Base Administrator
Corporate Hierarchy Solutions,SQL Developer,Hyderābād,20.5,"Microsoft SQL Server, Databases, SQL, Database management, PL/SQL",0.0,Data Base Administrator
Dinero Solutions,Senior SQL Developer,Hyderābād,17.5,"Microsoft SQL Server, SQL, Analysis skills, SSIS",0.0,Data Base Administrator
Cherri Technologies,SQL Developer,India,2.1,"Relational databases, Databases, SQL",3.4,Data Base Administrator
Admin Looks,SQL Developer,Remote,9.9,"Power BI, Oracle, DB2, Microsoft SQL Server, SSRS",0.0,Data Base Administrator
Wellpoint IT Solutions,SQL Developer,India,12.429545454545455,"Performance tuning, Microsoft SQL Server, SQL, SSIS",4.6,Data Base Administrator
Flipkoins,Database Developer – SQL - Remote - Indian Timezone,Remote,4.98,"Microsoft SQL Server, SQL, PostgreSQL, SSIS, Communication skills",4.7,Data Base Administrator
Dinero Solutions,SQL Developer,Pune,17.5,"Java, Databases, SQL, Analysis skills",0.0,Data Base Administrator
rccenterprises,SQL Developer,India,8.406841132075472,"Microsoft Access, Oracle, Business intelligence, Microsoft SQL Server, SQL",0.0,Data Base Administrator
Technoforte Software Pvt. Ltd,Oracle PL/SQL Developer,India,3.5,"Oracle, SQL, Analysis skills, PL/SQL, Shell Scripting",0.0,Data Base Administrator
Jiza Hiring Solutions,Junior SQL Developer,Ponda,3.5,"Power BI, Azure, Tableau, Databases, SQL",0.0,Data Base Administrator
CAPCO,PL/SQL Developer,Bengaluru,5.5,"Data modeling, Oracle, Tableau, Databases, SQL",3.7,Data Base Administrator
rccenterprises,MS SQL Developer,India,2.4,"Microsoft SQL Server, Databases, SQL, Analysis skills",0.0,Data Base Administrator
Zensar Technologies,Sr. PL/SQL Developer,Hyderābād,16.0,"Microsoft SQL Server, SQL, Database administration, Database management, Data management",3.9,Data Base Administrator
Moksha Softlabs,SQL Developer,India,8.0,"Oracle, Microsoft SQL Server, SQL, Analysis skills, PL/SQL",0.0,Data Base Administrator
Novatech Software,Junior Database Developer,Nāgpur,6.0,"Performance tuning, Data modeling, Oracle, Microsoft SQL Server, SQL",3.1,Data Base Administrator
Ivalueplus Services Private Limited,SQL Developer,Haryāna,5.5,"Performance tuning, SQL, Database design, Analysis skills, Agile",4.8,Data Base Administrator
Citta Solutions,SQL Developer,Remote,5.298846153846155,"C#, Microsoft SQL Server, .NET, SQL, Scripting",3.4,Data Base Administrator
Dicetek LLC,Engineer - ETL and PL/SQL Developer,Remote,12.554,"Oracle, Microsoft SQL Server, SQL, SSIS, Informatica",4.3,Data Base Administrator
Renous Consulting,PL/SQL Developer,Gurgaon,8.5,"Performance tuning, Data modeling, Oracle, Software troubleshooting, Databases",3.2,Data Base Administrator
Mani India Technologies,SQL Server Developer with Power Apps Expertise,Remote,1.5,"Database development, Encryption, Microsoft SQL Server, SQL, Database design",0.0,Data Base Administrator
HealthAsyst,SQL Developer,Bengaluru,7.0,"Buffer, C#, Microsoft SQL Server, .NET, SQL",3.7,Data Base Administrator
KALP SOLUTIONS,SQL Developer,Gurgaon,13.5,"Java, Databases, SQL, Analysis skills",3.6,Data Base Administrator
Sarah Digital Studio,SQL Developer,Nāgpur,8.406841132075472,"Power BI, Visual Studio, SQL",0.0,Data Base Administrator
Cylsys Software Solution Pvt. Ltd.,My SQL & PostgreSQL Developer,India,7.5,"Performance tuning, Data modeling, SQL, Database management, PostgreSQL",0.0,Data Base Administrator
"Intelliswift Software, Inc.",PL/SQl Developer,Gurgaon,8.251938775510204,"Azure, DevOps, SQL, Linux, PL/SQL",3.8,Data Base Administrator
Aliqan Technologies,Database Developer,Remote,18.0,"Data modeling, Relational databases, SQL, Database management",4.6,Data Base Administrator
Thomsun Infocare,SQL Developer,India,4.890625,"Performance tuning, SQL, Analysis skills, Database management, Data collection",4.5,Data Base Administrator
Vaspp Technologies,SQL Developer,Bengaluru,42.0,"Performance tuning, Oracle, Software troubleshooting, Relational databases, Microsoft SQL Server",4.0,Data Base Administrator
ICT Infracon,PL/SQL Developer,Bengaluru,6.5,"Oracle, SQL, PL/SQL, Communication skills",2.7,Data Base Administrator
