company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
ACT2HIRE,python data scientist,Remote,28.0,"Data analysis skills, English, Analysis skills, Data science, AI",0.0,Data Scientist
Avathon,Data Scientist (Supply Chain),Bengaluru,7.5,"TensorFlow, MATLAB, Procurement, Supply chain, R",3.1,Data Scientist
Wise Monk,Data Scientist,Gurgaon,12.47,"TensorFlow, Image processing, Big data, Data analysis skills, Research",4.0,Data Scientist
Krea University,Assistant Professor / Associate Professor / Professor of Data Science,India,23.571428571428573,"Computer science, Machine learning, Data science, AI",3.8,Data Scientist
Aganitha AI,Full Stack Data Scientist,Hyderābād,48.0,"TensorFlow, CI/CD, Image processing, Computer vision, R",3.9,Data Scientist
Flytxt Mobile Solutions,Data Science Manager-R&D,Thiruvananthapuram,8.5,"Ontology, TensorFlow, Spark, R, Research",3.5,Data Scientist
SS&C,Data Scientist,Hyderābād,5.5,"Jira, TensorFlow, Statistics, Microsoft Excel, Data mining",3.1,Data Scientist
Ideapoke,Sr. Data Scientist,Bengaluru,4.5,"Statistics, Data mining, XML, Big data, R",4.0,Data Scientist
Elsevier,Senior Data Scientist I,India,18.142857142857142,"TensorFlow, CI/CD, Azure, Data mining, DevOps",3.9,Data Scientist
Elevate Services,Senior Manager Data Science (India),India,17.5,"TensorFlow, Azure, Big data, Research, AWS",3.7,Data Scientist
RELX,Senior Data Scientist I,India,13.9375,"TensorFlow, CI/CD, Azure, Data mining, DevOps",4.1,Data Scientist
[x]cube LABS,Senior Data Engineer,Hyderābād,7.0,"Spark, Data analysis skills, Tableau, AWS, Analysis skills",4.4,Data Scientist
Act2hire,Python Data Scientist,Remote,28.0,"Data analysis skills, English, Analysis skills, Data science, AI",0.0,Data Scientist
Simple Solutions HRD Services,Data Engineer,Remote,19.0,"Performance tuning, Data modeling, Tableau, SQL, AWS",0.0,Data Scientist
Voiant,Data Consultant,Remote,23.571428571428573,"Data analysis skills, Java, SQL, Communication skills, Data warehouse",3.8,Data Scientist
ADCI HYD 13 SEZ,"Data Engineer I, Business Data Technologies",Hyderābād,14.088,"Data modeling, Big data, Spark, Apache Hive, SQL",3.6,Data Scientist
Marcellotech,Machine Learning Artificial Intelligence Developer Data Science Developer,Tiruchchirāppalli,0.78,"Machine learning, Natural language processing, Data science, AI, Python",0.0,Data Scientist
Concentrix,Data Engineer,Remote,12.47,"Azure, Google Cloud Platform, Java, SQL, Database design",4.0,Data Scientist
Integrin Enterprise Solutions,Cloud Data Engineer,Coimbatore,0.78,"TensorFlow, Software troubleshooting, XML, Java, SQL",0.0,Data Scientist
MetLife,Associate Big Data Engineer,Hyderābād,7.5,"Azure, Big data, DevOps, Spark, Apache Hive",4.2,Data Scientist
NexusLinkservices,Data Scientist – AI/ML Developer (Fresher to 5 Years Experience),Ahmedabad,2.5,"TensorFlow, Image processing, Azure, Computer vision, Big data",3.4,Data Scientist
Google,"AI Safety Protections Data Scientist, Trust and Safety",Bengaluru,8.0,"R, Data analysis skills, Java, SQL, C++",4.3,Data Scientist
Prisio Technologies Pvt Ltd,Sr. Data Scientist,Remote,17.5,"SAS, R, SQL, Machine learning, Natural language processing",0.0,Data Scientist
Intellismith,Data Scientist,Gurgaon,16.5,"Power BI, Data mining, Business intelligence, Alteryx, Tableau",4.3,Data Scientist
SandVcapitals Private Limited,Sr. Data Engineer,Remote,23.0,"Azure, SQL, AWS, Analysis skills, Distributed systems",0.0,Data Scientist
Micron,"DATA SCIENCE ENGINEER,SMART MFG & AI",Hyderābād,48.0,"Statistics, CSS, Big data, Google Cloud Platform, Responsive web design",3.8,Data Scientist
ServiceNow,Staff Data Engineer,Hyderābād,5.0,"Statistics, Business intelligence, Java, Databases, OOP",4.4,Data Scientist
hireskills,Data scientist jobs,India,10.0,"Statistics, R, Tableau, Java, SQL",0.0,Data Scientist
Wadhwani AI,Data Specialist,Delhi,8.9,"Computer science, Power BI, Data structures, R, Data analysis skills",3.2,Data Scientist
NextJobHunt.com,Associate Data Scientist,Mumbai,14.0,"Statistics, Data mining, D3.js, R, Tableau",0.0,Data Scientist
Accenture,S&C Global Network - AI - Life Sciences -Data Science Analyst,Bengaluru,23.571428571428573,"Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel",3.8,Data Scientist
Infogain,Data Science Analyst (Lead),Mumbai,42.0,"Statistics, Azure, R, Data analysis skills, SQL",3.7,Data Scientist
InvestCloud,Data Scientist,Karnataka,4.0,"TensorFlow, Statistics, Azure, Oracle, Git",2.3,Data Scientist
HTD Careers Pvt Ltd,Jr. Data Engineer,Bengaluru,12.5,"CI/CD, Azure, Cassandra, Big data, DevOps",0.0,Data Scientist
Sciera,Jr Data Scientist,Chennai,5.5,"TensorFlow, Statistics, Data mining, R, Tableau",4.4,Data Scientist
Navit Software Solutions,Senior Analyst Data Science,Hyderābād,48.0,"Analysis skills, Deep learning, Data science, Data visualization, AI",4.4,Data Scientist
Course5,Data Scientist SRM,Bengaluru,4.5,"Machine learning, Agile, Data science, AI, Communication skills",4.2,Data Scientist
Adobe,Data Engineer,Noida,8.5,"Azure, Business intelligence, Data analysis skills, Microsoft SQL Server, SQL",4.2,Data Scientist
PwC,"Data Engineer (AWS)-Data, & Analytics aaS Associate - Operate",Bengaluru,8.5,"Knowledge management, Incident management, Relational databases, DevOps, Spark",3.8,Data Scientist
Koch Global Services,Data Engineer,Bengaluru,48.0,"CI/CD, Power BI, Data modeling, Business intelligence, Kubernetes",3.8,Data Scientist
S&P Global,Data engineer,Hyderābād,24.0,"Azure, Oracle, Big data, Google Cloud Platform, .NET",4.1,Data Scientist
Enviri Corporation,Azure Data Engineer,Hyderābād,6.0,"CI/CD, Power BI, Data modeling, Azure, Business intelligence",4.0,Data Scientist
Avantor,Data Scientist,Pune,4.5,"TensorFlow, Pricing, Power BI, R, Tableau",3.2,Data Scientist
S&P Global,Data Scientist - ML Engineer,Gurgaon,6.0,"English, SQL, Machine learning, Agile, Predictive analytics",4.1,Data Scientist
Providence Global Center,Principal Data Engineer,Hyderābād,9.5,"Power BI, Azure, Oracle, Windows, Tableau",3.5,Data Scientist
ADCI - Karnataka,"Data Engineer I, WWGS Data & Analytics",Bengaluru,6.5,"Business intelligence, Big data, Java, SQL, AWS",3.6,Data Scientist
Saaki Argus & Averil Consulting,Snowflake Data Engineer,Pune,6.0,"Azure, Spark, SQL, AWS, AI",3.4,Data Scientist
Ericsson,Senior Data Scientist,Bengaluru,6.5,"Statistics, R, SQL, Product development, Machine learning",4.0,Data Scientist
Novisync,Data Engineer,Visakhapatnam,5.5,"Data mining, Customer service, Spark, Java, SQL",3.4,Data Scientist
Riveron,Technology and Innovation - AWS Data Engineer,Pune,6.5,"Spark, SQL, AWS, S3, Redshift",4.0,Data Scientist
Zelis,Sr. Engineer Data Engineering,Hyderābād,23.571428571428573,"CI/CD, Data modeling, Azure, Kubernetes, Ansible",3.8,Data Scientist
Neoarchi India,Cloud Data Engineer,Pune,16.0,"Azure, Spark, Google Cloud Platform, SQL, AWS",0.0,Data Scientist
Apple,Cloud Data Engineer,Hyderābād,13.9375,"Cloud infrastructure, Azure, Cassandra, Database development, Big data",4.1,Data Scientist
Baker Hughes,AWS Cloud Data Engineer,Bengaluru,18.142857142857142,"Data modeling, Big data, AWS, Data management, Apache Pig",3.9,Data Scientist
Calibery Software LLC,Cloud Data Engineer (Spark/Databricks),Remote,10.5,"CI/CD, Data modeling, Azure, SAP, DevOps",3.0,Data Scientist
Infocepts,Cloud Data Engineer- AWS (#40889),India,8.203571428571427,"AWS, Python",3.4,Data Scientist
JPMorganChase,"Security Engineer II - Data Engineer, AWS/Cloud",Hyderābād,8.5,"CI/CD, Software troubleshooting, Big data, Spark, Apache Hive",4.0,Data Scientist
AVS LLC,Data Engineer/Cloud Architect/DBA/Devops Engineer/,Remote,16.0,"Power BI, Azure, Cloud architecture, SQL, Database design",0.0,Data Scientist
IMPILOS ANALYTICS PRIVATE LIMITED,Data Engineer,Remote,11.0,"Power BI, Azure, Spark, NoSQL, Git",0.0,Data Scientist
Vtricks Technologies,AWS Cloud Data Engineer,Bengaluru,22.0,"Data modeling, Big data, SAP, Spark, Tableau",0.0,Data Scientist
Optim Hire (LAD Software Solutions Pvt LTd),"Data Engineer-Snowflake + SQL (hybrid , remote, Bangalore, chennai)",Bengaluru,12.5,"Data modeling, SQL, Database design, Agile, Data visualization",3.6,Data Scientist
Jubilant consulting,Data Engineer (Azure Data Lake,Remote,22.5,"Data modeling, Azure, Big data, Spark, SQL",0.0,Data Scientist
ixceeed,Data Engineer,Remote,14.0,"Azure, Big data, Spark, SQL, AWS",0.0,Data Scientist
Boston Consulting Group,Data Engineer - X Delivery,Gurgaon,5.0,"Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",4.3,Data Scientist
Helius Technologies,Cloud Data Engineer,India,7.2,"Data modeling, Spark, Google Cloud Platform, SQL, AWS",4.2,Data Scientist
A2Z Hire,Junior Data Engineer,Bengaluru,12.5,"CI/CD, Data modeling, Big data, Software deployment, DevOps",0.0,Data Scientist
Jobstop Solutions Pvt Ltd,Data Engineer,Remote,20.0,"Azure, SQL, AWS, Project management, Mentoring",3.2,Data Scientist
Barclays,Data Engineer,Pune,9.5,"Tableau, Java, SQL, AWS, Redshift",3.9,Data Scientist
money tracker services,Azure Data Engineer,India,19.0,"Data modeling, Azure, Cloud architecture, Business intelligence, PaaS",0.0,Data Scientist
Infocepts,Sr. Cloud Data Engineer- AWS (#39234),India,8.203571428571427,"AWS, Redshift, Python",3.4,Data Scientist
Microsoft,Data Engineer,Hyderābād,7.2,"CI/CD, Data modeling, Cloud infrastructure, Azure, Business intelligence",4.2,Data Scientist
MindTrilogy IT Solutions Pvt. Ltd,Data Engineer,Remote,7.8,"Git, SQL, Machine learning, Scrum, Agile",0.0,Data Scientist
Hashone Careers,Azure Data Engineer,Bengaluru,9.0,"CI/CD, Data modeling, Azure, SQL, Quality assurance",5.0,Data Scientist
Applogiq,BI Data Engineer,Remote,6.0,"SAP, English, Google Cloud Platform, Tableau, Java",4.6,Data Scientist
Google,"Strategic Cloud Data Engineer, Google Cloud",Bengaluru,8.0,"TensorFlow, Data mining, Software troubleshooting, Ansible, Big data",4.3,Data Scientist
Warrior tech solutions,GCP Data Engineer,Remote,13.5,"Business intelligence, Big data, Spark, Google Cloud Platform, Tableau",0.0,Data Scientist
PeopleXM Technologies,Data Engineer,India,12.5,"CI/CD, Performance tuning, Data modeling, Spark, SQL",0.0,Data Scientist
EXLARISE SOFTWARE SOLUTIONS LLC,AI data engineer,Remote,4.8,"TensorFlow, CI/CD, Azure, C#, Spark",0.0,Data Scientist
Acrocede Technologies Pvt. Ltd.,Data Engineer,Bengaluru,15.5,"CI/CD, Data modeling, Azure, Enterprise Software, DevOps",4.8,Data Scientist
Anahat Solutions Private Ltd,AI/Data Engineer,India,10.5,"MongoDB, Sentiment analytics, Machine learning, Natural language processing, APIs",0.0,Data Scientist
Client of Peopleplease Consluting,Python Data Engineer,India,2.7,"SQL, Kafka, Data warehouse, Python",0.0,Data Scientist
McKinsey & Company,Data Engineer - Periscope,Gurgaon,9.5,"Pricing, Power BI, English, B2B sales, Direct sales",4.1,Data Scientist
i2e Consulting,Data engineer,Remote,7.2,"Data modeling, Azure, Spark, Alteryx, Databases",4.2,Data Scientist
Career Path HR Solution,Cloud Data Engineer,Pune,16.5,"Jira, CI/CD, Power BI, Azure, Big data",0.0,Data Scientist
DGN Technologies,Python Data Integration Engineer,Remote,14.406,"CI/CD, Azure, Kubernetes, SQL, AWS",4.5,Data Scientist
JPMorganChase,Data Engineer II,Bengaluru,9.0,"Data modeling, Oracle, Software troubleshooting, Spark, Microsoft SQL Server",4.0,Data Scientist
FinStrat Management,Data Engineer,Remote,11.576574074074074,"Data analysis skills, SQL, AWS, Analysis skills, Docker",0.0,Data Scientist
Coder Talent,Data Engineer - Mid range to Senior Role(s),Remote,16.5,"Data modeling, Azure, Spark, Microsoft SQL Server, SQL",0.0,Data Scientist
Sarvajith Infotech,Jr Data Engineer,Bengaluru,12.5,"Power BI, Azure, Oracle, Software deployment, Data analysis skills",0.0,Data Scientist
