company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Dehazelabs,Junior Python Developer,Remote,3.0,"CI/CD, Data modeling, Azure, Software troubleshooting, NoSQL",3.0,Developer Roles
Pulse Tech Digital,Java/J2EE Developer,Remote,9.0,"Git, J2EE, MongoDB, Java, OOP",0.0,Developer Roles
client in excellent opportunity,Python Developer,Remote,11.0,"English, Research, Analysis skills, Quality assurance, Technical writing",0.0,Developer Roles
Finpoint,Junior Front End Developer,Bengaluru,78.0,"Web design, CSS, Bootstrap, React, Git",5.0,Developer Roles
Metaphor Consulting,SQL Fresher Developer,Jamshedpur,60.0,SQL,5.0,Developer Roles
KREATIV WEB SOLUTION,Junior Java Developer.,Hyderābād,66.0,"CSS, J2EE, Java, SQL, JavaScript",5.0,Developer Roles
Notchup (formerly codemonk.ai),Front End Developer,Remote,36.0,"CSS, React, Responsive web design, JavaScript, Redux",3.8,Developer Roles
Warrior tech solutions,C/C++ Developer,Remote,12.5,"English, C++, C, Software development, AI",0.0,Developer Roles
Zoof Software Solutions,Junior Python Developer,Remote,57.6,"Kubernetes, AWS, Docker, PostgreSQL, REST",4.6,Developer Roles
Grex Innovation,ReactJS Developer,Hyderābād,15.0,"CSS, Software troubleshooting, React, Analysis skills, JavaScript",0.0,Developer Roles
Barclays,ADM - Developer (Backend),Pune,96.0,"Oracle, Gradle, JUnit, Kubernetes, Java",3.9,Developer Roles
Citi,Full Stack Java Developer- 4-10Years - CHENNAI,Chennai,78.0,"CI/CD, Oracle, Software deployment, DevOps, Tomcat",3.7,Developer Roles
Ai India Innovations,Jr. Java Developer,Remote,27.5,"Azure, Software troubleshooting, Big data, Spark, Google Cloud Platform",0.0,Developer Roles
Shloklabs,Junior Developer (Backend),Coimbatore,90.0,"Node.js, Git, MongoDB, PostgreSQL, REST",4.0,Developer Roles
Begig,ReactJS Developer,Remote,5.76,"CSS, Software troubleshooting, React, Git, JavaScript",0.0,Developer Roles
REIZEND PRIVATE LIMITED,Python Developer ( For Night Shifts),Thiruvananthapuram,60.0,"Jira, Computer science, Power BI, Data mining, Data structures",3.6,Developer Roles
