company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Finpoint,Junior Front End Developer,Bengaluru,6.5,"Web design, CSS, Bootstrap, React, Git",5.0,Front-End Developer
Notchup (formerly codemonk.ai),Front End Developer,Remote,36.0,"CSS, React, Responsive web design, JavaScript, Redux",3.8,Front-End Developer
Grex Innovation,ReactJS Developer,Hyderābād,15.0,"CSS, Software troubleshooting, React, Analysis skills, JavaScript",0.0,Front-End Developer
Begig,ReactJS Developer,Remote,5.76,"CSS, Software troubleshooting, React, Git, JavaScript",0.0,Front-End Developer
"Arch Systems, LLC",Front End Developer - India,Remote,14.0,"CSS, React, Git, MongoDB, Responsive web design",4.2,Front-End Developer
MAKE MY ADDRESS,ReactJS Developer,India,9.3,"Adobe Photoshop, React, Web development, Graphic design, Analysis skills",0.0,Front-End Developer
Heart It Out,Frontend Developer Intern,Remote,13.832380952380953,"CSS, Bootstrap, React, WordPress, JavaScript",4.3,Front-End Developer
Solutions 1313,REACT DEVELOPER,Remote,5.7,"CSS, React, Software deployment, Git, JavaScript",0.0,Front-End Developer
Diago Technologies,Angular Developer,Remote,1.5,"JavaScript, REST, Angular, APIs, HTML",0.0,Front-End Developer
Domain Expansion,Frontend Developer Internship,Remote,0.12,"Web design, Bootstrap, React, Web development, Graphic design",0.0,Front-End Developer
Decabits,ReactJS Developer - ReactJS/Javascript,Janakpuri,13.0,"CSS, React, Git, JavaScript, Redux",4.1,Front-End Developer
Rite Technologies,Front End Developer,Remote,8.5,"Web accessibility, Web design, CSS, Git, Responsive web design",5.0,Front-End Developer
Atalef.ai,JavaScript Developer,Remote,3.0,"Node.js, CSS, React, Web development, Git",0.0,Front-End Developer
d3v Cloud Technology Services Private Limited,Associate Frontend Developer,Remote,3.5,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Front-End Developer
Hirein5,ReactJS Developer,Remote,5.910692399999999,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Front-End Developer
Daejoo automotive pvt india ltd,Junior Front End Developer,India,2.4,"CSS, Web development, Software deployment, JavaScript, jQuery",0.0,Front-End Developer
Arting Digital Private Limited,Frontend Developer,Hyderābād,10.0,"Node.js, CSS, Software troubleshooting, React, Git",4.7,Front-End Developer
WisdmLabs,WordPress Developer,Remote,42.0,"WordPress, Git, PHP, Analysis skills, Communication skills",3.9,Front-End Developer
EnactOn Technologies,"Front End Developer (HTML, CSS, Tailwind)",Surat,36.0,"Web accessibility, Web design, CSS, English, Responsive web design",4.5,Front-End Developer
Technocrats Horizons Compusoft Pvt. Ltd.,WordPress Developer,India,4.2,"CI/CD, Azure, CSS, Bootstrap, WordPress",0.0,Front-End Developer
APPNEURAL Pvt. Ltd.,Freelance Frontend Developer,Remote,2.7,"Software deployment, Mobile applications, Git, Responsive web design, UX",0.0,Front-End Developer
SutiSoft Pvt Ltd,ReactJS Developer,Hyderābād,1.2,"CSS, Software troubleshooting, React, JavaScript, UX",0.0,Front-End Developer
Onevibe Technologies,React Developer,India,7.0,"CI/CD, CSS, Software troubleshooting, React, Software deployment",0.0,Front-End Developer
AriveGuru Technology Solutions Pvt. Ltd,Backend Developer ReactJS,India,6.0,"CI/CD, Node.js, React, Software deployment, Google Cloud Platform",0.0,Front-End Developer
Starlabs Technologies,Front End Developer Intern,Remote,5.910692399999999,"CSS, React, Git, JavaScript, Angular",0.0,Front-End Developer
Ontrack,Frontend Developer (with JavaScript proficiency),Bengaluru,6.5,"Adobe Photoshop, CSS, JavaScript, SEO, Communication skills",3.7,Front-End Developer
Globewick,ReactJS Developer,Remote,0.42,"CSS, Bootstrap, React, Git, English",0.0,Front-End Developer
Vaishnavi Support Services LLP,ReactJS Developer,Remote,13.5,"CSS, React, JavaScript, REST, Redux",0.0,Front-End Developer
first phoenics solutions inc,Front End Developer,Remote,17.5,"CSS, React, Git, English, Responsive web design",0.0,Front-End Developer
Dicetek LLC,Frontend Developer,Remote,13.832380952380953,"AJAX, CSS, Bootstrap, React, Git",4.3,Front-End Developer
Gravton Motors Private Limited,Website Developer,Hyderābād,3.6,"CSS, WordPress, Web development, Git, Responsive web design",0.0,Front-End Developer
Pentabell,Front-end Developer,Remote,0.54,"React, Web development, Responsive web design, Quality assurance, JavaScript",0.0,Front-End Developer
Nithminds Private limited,Python with Javascript Developer -Immediate Joiner,Remote,12.5,"SQL, Database design, OOP, AWS, JavaScript",0.0,Front-End Developer
Weblink Solutions,Frontend Developer,Hyderābād,5.5,"Node.js, CSS, React, Test-driven development, Express.js",4.2,Front-End Developer
Atticbits,Front End Developer,Remote,0.9,"CSS, REST, Angular, UX, APIs",0.0,Front-End Developer
elPixala,Front End Developer,Remote,0.9,"CSS, Responsive web design, JavaScript, Adobe XD, SEO",0.0,Front-End Developer
Creative Web Solutions,ReactJs Front-end Developer Junior,Remote,17.505625,"MVC, Node.js, CSS, React, OOP",5.0,Front-End Developer
Digital Innovations,Front End Developer (Contract),Remote,3.6,"CSS, Bootstrap, React, Git, JavaScript",0.0,Front-End Developer
MAEER's MIT Vishwaprayag University,Website Developer,India,1.8,"ASP.NET, CSS, Relational databases, Application development, PHP",0.0,Front-End Developer
Appening Infotech,React Developer,Remote,16.785714285714285,"MVC, React, JavaScript, REST, APIs",3.8,Front-End Developer
Hyqoo,Front End Developer,Remote,20.625,"Web accessibility, CSS, React, Visual Studio, Git",4.5,Front-End Developer
Aidewiser Soltek,ReactJS Developer,Calcutta,9.0,"CSS, React, Web development, Software deployment, Data structures",0.0,Front-End Developer
CloudHouse Technologies Pvt.Ltd,Front End Developer Intern,India,3.96,"Web accessibility, CSS, Bootstrap, React, Git",0.0,Front-End Developer
Wooplix Technologies Pvt. Ltd.,Website Developer trainee,India,18.0,"Node.js, CSS, Bootstrap, React, Web development",5.0,Front-End Developer
REIZEND PRIVATE LIMITED,REACT JS DEVELOPER (Experienced),India,12.0,"CSS, React, Git, Application development, JavaScript",3.6,Front-End Developer
Machinellium Mavericks Projects and Consultants,FRONT-END DEVELOPER,Hyderābād,5.5,"CSS, Bootstrap, JavaScript, jQuery, HTML",0.0,Front-End Developer
One Window Overseas Education,Front End Developer,India,21.6,"CSS, React, Git, Responsive web design, JavaScript",4.0,Front-End Developer
Invictus DigiSoft,Angular Developer,Remote,13.832380952380953,"CSS, Git, Responsive web design, Project management, JavaScript",4.3,Front-End Developer
CAI,Frontend Developer,Remote,6.75,"CI/CD, CSS, React, Git, Analysis skills",3.2,Front-End Developer
Tech Easy Solutions,Frontend Developer,Lucknow,17.505625,"Backbone.js, AJAX, CSS, React, JavaScript",5.0,Front-End Developer
fabmark,Front End Developer,Remote,3.3,"Jira, React, Ansible, Java, OOP",0.0,Front-End Developer
Dicetek LLC,JAVASCRIPT DEVELOPER- Offshore,Hyderābād,13.832380952380953,"Microsoft Access, Azure, Node.js, CSS, Software troubleshooting",4.3,Front-End Developer
Coherent Market Insights.,PHP Frontend and backend Developer Freelancer Freelancing,India,17.392592592592592,"CSS, Software troubleshooting, Web development, Git, PHP",4.1,Front-End Developer
Eazr,Front End Developer,Mumbai,3.6,"CSS, Bootstrap, React, Git, JavaScript",0.0,Front-End Developer
Potla Group of Companies.,Website Developer,Hyderābād,48.0,"CSS, HTML",5.0,Front-End Developer
E-Revbay Private Limited,Front End Developer,India,7.5,"Web accessibility, Node.js, CSS, React, Git",0.0,Front-End Developer
Codeprism Technologies Private Limited,Front End Developer,Hyderābād,5.910692399999999,"React, Mobile applications, English, JavaScript, REST",0.0,Front-End Developer
Approwess Technologies,ReactJS Developer,Mumbai,5.0,"Software troubleshooting, React, Git, English, Responsive web design",0.0,Front-End Developer
ConnectIN Jobs Global,PHP Developers (Codeigniter/Jquery/SQL/Bootstrap/AngularJS),Remote,6.0,"Software troubleshooting, Bootstrap, SQL, PHP, Angular",0.0,Front-End Developer
Exdera,Junior Front End Developer,Bengaluru,4.0,"Web design, CSS, Bootstrap, React, WordPress",0.0,Front-End Developer
Aumento Group,Front End Developer,Remote,5.910692399999999,"CSS, Software troubleshooting, React, Git, Responsive web design",0.0,Front-End Developer
Growisto,Junior React Developer,Mumbai,6.5,"CSS, React, Data structures, JavaScript, SCSS",4.3,Front-End Developer
ClassHose India Pvt. Ltd.,Front End Developer,Haryāna,48.0,"CSS, Bootstrap, React, Git, Responsive web design",5.0,Front-End Developer
Immenso tech,REACT DEVELOPER,Amarnāth,48.0,"React, OOP, JavaScript, jQuery",4.5,Front-End Developer
TechWebLabs,ReactJS Developer,India,36.0,"Web design, CI/CD, CSS, React, DevOps",3.7,Front-End Developer
Contenterra,REACT DEVELOPER,India,19.951724137931034,"Azure, CSS, Bootstrap, React, Web development",4.0,Front-End Developer
Aarohiinfo FI Management,Wordpress Developer,Pune,4.5,"CSS, WordPress, JavaScript, Content management, Communication skills",3.2,Front-End Developer
Quick Recruit,ReactJS Developer,Bengaluru,6.5,"CSS, Software troubleshooting, React, Web development, Git",0.0,Front-End Developer
Saperelabs,JavaScript Developer,India,2.0,JavaScript,0.0,Front-End Developer
Invictus DigiSoft,React Developer,Remote,13.832380952380953,"CSS, React, Git, Responsive web design, Project management",4.3,Front-End Developer
Enlighten Schola,ReactJS Developer,Vadodara,3.3,"CSS, React, Git, Performance testing, JavaScript",0.0,Front-End Developer
Novora Technologies India Pvt. Ltd,ReactJS Developer,India,9.0,"React, Software deployment, Git, AWS, JavaScript",0.0,Front-End Developer
Transnational Business Solutions,Wordpress Frontend Developer,Remote,1.86,"CSS, Bootstrap, WordPress, Git, English",0.0,Front-End Developer
HiringGo,Frontend Developer,Delhi,7.5,"CI/CD, CSS, React, Software deployment, DevOps",0.0,Front-End Developer
Provanic,Front-End Developer,Remote,5.910692399999999,"Backbone.js, Adobe Photoshop, AJAX, CSS, React",0.0,Front-End Developer
Relinns Technologies,AngularJS Developer,Mohali,5.4,"AJAX, CSS, English, JavaScript, REST",4.3,Front-End Developer
REALTHINK TECHNOLOGY,Front End Developer Intern,India,1.08,,0.0,Front-End Developer
Atomicwork Inc,Frontend Developer,Bengaluru,6.5,"Cloud infrastructure, Go, React, Java, APIs",0.0,Front-End Developer
