company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Accern Technologies,Lead Fullstack Developer,Bengaluru,14.740909090909092,"Jira, Elasticsearch, Node.js, React, Web development",3.6,Full-Stack Developer
Reveleer,Full Stack Software Engineer,Chennai,13.933333333333332,"CI/CD, Azure, React, Mobile applications, .NET Core",3.7,Full-Stack Developer
Citi,Full Stack Java Developer- 4-10Years - CHENNAI,Chennai,6.5,"CI/CD, Oracle, Software deployment, DevOps, Tomcat",3.7,Full-Stack Developer
Tech Concierge Pro,PHP Web Developer,Remote,18.0,"CI/CD, AJAX, CSS, Software troubleshooting, DevOps",0.0,Full-Stack Developer
Vividco,Junior Web Developer,Remote,2.5,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Full-Stack Developer
Infoorigin Inc,MERN Stack Developer,Noida,20.0,"Node.js, CSS, React, DevOps, SQL",0.0,Full-Stack Developer
WellnessZ,Full Stack Developer,Remote,1.62,"Node.js, React, MongoDB, Express.js, JavaScript",0.0,Full-Stack Developer
Creative Web Solutions,Next.Js Developer Fresher,Remote,12.653846153846153,"React, English, Express.js, JavaScript, REST",5.0,Full-Stack Developer
Techno Exponent,MERN Stack Developer,Remote,5.1,"Node.js, CSS, Software development",0.0,Full-Stack Developer
Teqlawn,Freelance Full Stack Developer,Remote,6.0,"Software troubleshooting, MongoDB, APIs, MySQL",0.0,Full-Stack Developer
FS Business Solution,Full Stack Developer,India,3.0,"Node.js, React, Databases, Analysis skills, JavaScript",0.0,Full-Stack Developer
Weshare,Senior Backend Web Developer,Remote,5.0,"MVC, Node.js, Software troubleshooting, React, MongoDB",0.0,Full-Stack Developer
Ruddo education,Java Full Stack Developer,Remote,3.8415,"Node.js, CSS, React, NoSQL, Java",0.0,Full-Stack Developer
Mind map IT Solutions,Backend Web Developer,India,4.0,"Operating systems, Software troubleshooting, Web development, Process improvement, Java",0.0,Full-Stack Developer
Wrabtech,ASP.NET Web Developer,Remote,2.7,"ASP.NET, CSS, Software troubleshooting, Relational databases, Microsoft SQL Server",0.0,Full-Stack Developer
Zentosys Solutions Pvt Ltd,Full Stack Developer,Pune,10.5,"CI/CD, Cloud infrastructure, Node.js, CSS, Software troubleshooting",0.0,Full-Stack Developer
Anexas Europe,Web developer,Bengaluru,3.0,"Social media marketing, WordPress, MongoDB, .NET, PHP",0.0,Full-Stack Developer
Autuskey,MERN Stack Developer,Remote,2.4,"Node.js, Software troubleshooting, React, Software deployment, Git",0.0,Full-Stack Developer
