company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Xogar Games,Unreal Game Developer (Freelancer),Bengaluru,7.0,"Unreal Engine, C++, Math, C, AI",0.0,Game Developer
Xogar Games,Unreal Game Developer,Bengaluru,7.0,"Unreal Engine, C++, C, AI, Debugging",0.0,Game Developer
Helius Technologies,Unity Developer (Hyper Casual),India,25.78333333333333,"CI/CD, TCP, C#, iOS, Git",4.2,Game Developer
[x]cube LABS,Game Designer,Hyderābād,5.0,"Research, AWS, Communication skills",4.4,Game Developer
Logical Soft Tech Private Limited,Game Developer,Indore,2.58,"2D animation, CSS, Unreal Engine, C#, iOS",3.4,Game Developer
Associative,Game Developer,Pune,0.3,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",0.0,Game Developer
[x]cube LABS,HTML5 Game Developer,Hyderābād,36.0,"AJAX, CSS, XML, iOS, OOP",4.4,Game Developer
[x]cube LABS,Unity 3D Engineer,Hyderābād,42.0,"Jira, CI/CD, Authentication, TCP, XML",4.4,Game Developer
M365Connect,Internship Opportunity: Microsoft Exchange Administrator,Bengaluru,4.0359375,"Encryption, English, Microsoft Exchange, Administrative experience, Analysis skills",0.0,Game Developer
Datalogy Software Pvt Ltd,Unity Game Developer,Remote,5.0,"Computer science, React, C#, iOS, Git",0.0,Game Developer
Paoyaila Animation Studios LLP,Game Developer,Remote,0.6,"2D animation, Software troubleshooting, Unreal Engine, C#, English",0.0,Game Developer
Duoples,Game Developer,Remote,4.2,"2D animation, Unreal Engine, C#, Git, .NET",0.0,Game Developer
Infocom,Associate Game Developer(Exp: 0-1 yr)(Freshers can apply),Cochin,48.0,"iOS development, C#, iOS, .NET, Unity",3.8,Game Developer
Gammastack,Unity Game Developer,Indore,7.5,"CSS, C#, Git, .NET, OOP",3.8,Game Developer
Jambox Games,Unity Game Developer,Delhi,5.875,"C#, .NET, OOP, SDKs, Unity",5.0,Game Developer
VizExperts,"Game Developer (Unreal Engine, UE4, Unity3D)",Delhi,5.0,"Unreal Engine, Unity",2.7,Game Developer
Codebey Technologies Private Limited,Unity Game Developer,Calcutta,4.02,"C#, .NET, OOP, Analysis skills, Unity",0.0,Game Developer
Photontadpole,Junior Game Developer,India,5.875,"Unreal Engine, C#, iOS, .NET, Java",5.0,Game Developer
HFG Entertainments Private Limited,Unity Game Developer-Fresher,Chennai,12.0,"2D animation, C#, Scripting, Unity, Communication skills",3.3,Game Developer
GameiFun,Unity Game Developer,Ahmedabad,2.1,"C#, Git, .NET, OOP, Software development",0.0,Game Developer
Playdawn Consulting,Unity Game Developer,Bengaluru,7.0,"C#, .NET, Scripting, Unity, Debugging",5.0,Game Developer
