company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Sophos,IT Service Desk Analyst,Ahmedabad,6.0,"Azure, Windows, Microsoft Office, IT support, Computer networking",4.0,IT Specialist
Sabre,IT Operations Analyst I,Bengaluru,7.0,"Operating systems, Windows, AWS, Virtualization, Agile",3.8,IT Specialist
OakNorth Bank,IT Support Service Desk- Senior Analyst,Gurgaon,5.0,"Customer service, IT support, ServiceNow, Communication skills",3.5,IT Specialist
Lucy Electric,Global IT Service Desk Analyst,Gujarat,20.38888888888889,"Power BI, Azure, Operating systems, Incident management, Software troubleshooting",3.9,IT Specialist
Pearl Technologies Ltd.,"IT Infrastructure Engineer - (Virtualization, Storage and Backup)",Remote,3.0,"CI/CD, SSO, Cloud infrastructure, Azure, AWS",2.2,IT Specialist
Apertum Online Pvt Ltd,Jr. IT Engineer,Gurgaon,5.0,"Network administration, SSO, Operating systems, Software troubleshooting, IT service management",3.7,IT Specialist
Grubbrr System PVT LTD,IT Infrastructure Engineer,India,14.0,"Cloud infrastructure, Azure, Ansible, Big data, Encryption",0.0,IT Specialist
TheSqua.re,IT Support L2,Delhi,3.0,"Microsoft Windows Server, Software troubleshooting, LAN, English, Windows",0.0,IT Specialist
Nepra Resource Management Private Limited,IT Manager,Ahmedabad,8.4,"Microsoft Windows Server, System administration, IT management, Software troubleshooting, Enterprise Software",0.0,IT Specialist
Concepts India HR Services,IT Administrator,Hyderābād,4.5,"Network administration, TCP, System administration, IIS, LAN",0.0,IT Specialist
Larsen & Toubro,IT Engineer,Vadodara,15.0,"Microsoft Windows Server, 2D animation, Oracle, .NET Core, Windows",3.4,IT Specialist
TechUnity Software Systems India Pvt Ltd,Level 1/Level 2 Tech Support - SAS Administrator,Coimbatore,5.0,"Jira, Performance tuning, Operating systems, Oracle, Software troubleshooting",4.1,IT Specialist
Helius Technologies,Director of IT Operations,India,13.966666666666667,"AWS, VMWare, Linux, Leadership, Communication skills",4.2,IT Specialist
