company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Pulse Tech Digital,Java/J2EE Developer,Remote,9.0,"Git, J2EE, MongoDB, Java, OOP",0.0,Java Developer
KREATIV WEB SOLUTION,Junior Java Developer.,Hyderābād,5.5,"CSS, J2EE, Java, SQL, JavaScript",5.0,Java Developer
Primejob services,Java Intern,Hyderābād,1.5,Java,0.0,Java Developer
Ai India Innovations,Jr. Java Developer,Remote,27.5,"Azure, Software troubleshooting, Big data, Spark, Google Cloud Platform",0.0,Java Developer
Giftech Software Solutions,Java Developer,India,7.851489361702127,"Java, OOP, Content development, Communication skills",0.0,Java Developer
Skysecure Technologies Private Limited,Java Developer,Remote,9.0,"JUnit, Kubernetes, Git, Java, Docker",0.0,Java Developer
IFS India Mercantile,Jr. JAVA Developer,Pune,42.0,"CSS, Struts, J2EE, Java, JSP",4.6,Java Developer
Technoworld Softwares,Java Developer,Pune,2.5,"React, Java, JavaScript, PostgreSQL, Angular",0.0,Java Developer
Warrior tech solutions,Java Developer,Remote,11.0,"English, Java, Microservices, Quality assurance, Communication skills",0.0,Java Developer
Tagrem India Pvt Ltd,Java Developer,Pune,6.5,"Oracle, Software troubleshooting, Struts, Microsoft SQL Server, J2EE",0.0,Java Developer
Ethon Health Care Solutions,Junior Java Developer,Hyderābād,5.5,"AJAX, Struts, Java, JavaScript, JSP",2.8,Java Developer
Navayuga Infotech,Java Developer - Fresher,Hyderābād,5.0,"Oracle, J2EE, Java, Analysis skills, JSP",3.9,Java Developer
LinkedLoops,JAVA Developer-Junior Engineer,Pune,42.0,"Java, C++, C, Communication skills",4.0,Java Developer
Hajana Technologies Pvt Ltd,Java Developer,Remote,7.5,"English, Java, Docker, JavaScript, APIs",0.0,Java Developer
Antino Labs,Java Developer Intern,Gurgaon,4.5,"Relational databases, Git, Java, Databases, OOP",3.5,Java Developer
WITS INNOVATION LAB,Java Developer,Noida,10.0,"TestNG, Ant, CSS, JUnit, Struts",4.1,Java Developer
PureSoftware Technologies Pvt Ltd,Junior Java Developer,India,9.5,"Data structures, J2EE, Java, OOP, Analysis skills",3.4,Java Developer
Notchup (formerly codemonk.ai),Java Developer,Remote,6.0,"Software troubleshooting, MongoDB, Java, PostgreSQL, APIs",3.8,Java Developer
Diago Technologies,Java Spring Boot Developer,Remote,1.8,"Software troubleshooting, MongoDB, Java, PostgreSQL, REST",0.0,Java Developer
Countless services private limited,Java Developer,Pune,9.0,"Java, JSP, Python",0.0,Java Developer
CognitiveClouds,JAVA Developer Bangalore,Bengaluru,3.0,"MVC, Gradle, Ant, Spark, Git",3.0,Java Developer
IntelliSavvy LLC,Java Developer,Remote,7.851489361702127,"Node.js, Microsoft SQL Server, J2EE, Java, Databases",0.0,Java Developer
Digivantage Solutions Pvt Ltd,JuniorJava Developer,Aurangābād,5.0,"Relational databases, Tomcat, Java, Analysis skills, REST",0.0,Java Developer
Dhatsol,Java Developer,Hyderābād,5.5,"Struts, J2EE, Java, JSP, JDBC",3.9,Java Developer
Motorola Solutions,Java Developer,Bengaluru,7.0,"Microsoft Access, Java, Application development, REST, Recruiting",4.3,Java Developer
Web Data Technologies,Java Developer,Remote,6.5,"Software troubleshooting, React, Java, C++, C",0.0,Java Developer
Aikyne Technology,Junior Java Developer,Chennai,9.0,"CI/CD, JUnit, Ansible, Data structures, Git",4.5,Java Developer
Vesra software services,Java Intern,Hyderābād,1.5,Java,0.0,Java Developer
Vertical Software,Java Developer Intern,Pune,17.666666666666668,"AJAX, CSS, Bootstrap, Java, JavaScript",4.4,Java Developer
ABZER Technology Solutions,Junior Java Developer (JJD),Cochin,18.0,"Oracle, Git, Java, Databases, SQL",4.0,Java Developer
Kloudone,Golang and Java Developer,Remote,9.5,"Go, Software deployment, Java, Databases, JSP",3.4,Java Developer
Brentwood Infoscribe,Java Developer,Remote,12.0,"MongoDB, Java, Microservices, SQL, AWS",0.0,Java Developer
the LCF group,"Java Microservices Developer , Hybrid ,Bangalore ONLY",Bengaluru,30.0,"Azure, Software deployment, Java, Microservices, AWS",3.2,Java Developer
