company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Recode Minds,Research Associate – Artificial Intelligence,Hyderābād,5.5,"TensorFlow, MATLAB, Data mining, R, Math",0.0,Machine Learning Engineer
Microsoft,Researcher - Machine Learning and AI,Bengaluru,7.0,"Machine learning, Natural language processing, AI",4.2,Machine Learning Engineer
Club Malwa pvt ltd,Senior Deep Learning Engineer,Mohali,1.35,"TensorFlow, Image processing, Azure, Big data, Software deployment",0.0,Machine Learning Engineer
Meslova Systems,Artificial Intelligence (AI) Researchers and Developers,Hyderābād,4.0,"TensorFlow, React, Calculus, Encryption, English",2.8,Machine Learning Engineer
Council for Robotics & Automation (AICRA),Director - National Mission of Artificial Intelligence,Delhi,48.0,"English, Business development, Presentation skills, B2B, AI",3.9,Machine Learning Engineer
Crypto Mize,Artificial Intelligence Expert,Delhi,5.5,"Microsoft Powerpoint, Microsoft Word, Computer science, Image processing, Microsoft Excel",4.8,Machine Learning Engineer
Tesseract Imaging,Associate Director of Artificial Intelligence - XR,Maharashtra,19.311666666666667,"OS Kernels, Machine learning, APIs, Data science, AI",4.2,Machine Learning Engineer
Arkose Labs,Machine Learning Researcher,Pune,10.5,"TensorFlow, R, Data analysis skills, Java, Analysis skills",4.1,Machine Learning Engineer
Google,"Machine Learning Research Engineer, Health AI",Bengaluru,11.555555555555555,"TensorFlow, Data mining, Data structures, Research, Machine learning",4.3,Machine Learning Engineer
Arkose Labs - India,Machine Learning Researcher,Pune,10.5,"TensorFlow, R, Data analysis skills, Java, Analysis skills",4.1,Machine Learning Engineer
Tecnia Institute of Advanced Studies,Assistant Professor for Artificial Intelligence,Delhi,7.74,"TensorFlow, Azure, R, Google Cloud Platform, Research",0.0,Machine Learning Engineer
Narsee Monjee Institute of Management Studies (NMIMS),Associate Professor/Assistant Professor-MPSTME-Artificial Intelligence,Mumbai,9.642857142857142,"Image processing, Computer vision, Research, Deep learning, Natural language processing",4.1,Machine Learning Engineer
Ideapoke,Lead Artificial Intelligence,Bengaluru,6.5,"Statistics, Data mining, XML, Big data, R",4.0,Machine Learning Engineer
Daten & Wissen,Computer Vision Engineer,Mumbai,4.0,"TensorFlow, Statistics, Computer science, Image processing, Azure",0.0,Machine Learning Engineer
Thermo Fisher Scientific,"Engineer II, Artificial Intelligence",Bengaluru,14.166666666666666,"Azure, React, Kubernetes, Java, Microservices",3.6,Machine Learning Engineer
Thermo Fisher Scientific,"Staff Engineer, Artificial Intelligence",Bengaluru,14.166666666666666,"Azure, React, Test-driven development, Java, Microservices",3.6,Machine Learning Engineer
Friends Color Images,PROMPT ENGINEER,Noida,7.0,"Git, JavaScript, Natural language processing, Software development, GitHub",3.8,Machine Learning Engineer
Adobe,Machine Learning Engineer 5 - Platform Engineer,Noida,5.34,"TensorFlow, Computer science, Cloud architecture, Kubernetes, Java",4.2,Machine Learning Engineer
OptiSol,Machine Learning – Practice Head,Coimbatore,10.0,"TensorFlow, Image processing, Azure, Computer vision, Spark",3.4,Machine Learning Engineer
Nayan India Science and technologies,Computer Vision Engineer,Delhi,7.5,"TensorFlow, MATLAB, Image processing, Computer vision, R",3.3,Machine Learning Engineer
"Keysight Technologies, Inc.",Machine Learning Engineer 3,Gurgaon,14.7,"TensorFlow, Statistics, Power BI, Data mining, Spark",3.9,Machine Learning Engineer
Narsee Monjee Institute of Management Studies (NMIMS),Lead Machine Learning,Mumbai,36.0,"Statistics, Sentiment analytics, Machine learning, Natural language processing, Data science",4.1,Machine Learning Engineer
Calix,Senior Machine Learning Engineer,Bengaluru,6.5,"TensorFlow, Azure, Go, Kubernetes, R",4.6,Machine Learning Engineer
client in excellent opportunity,LLM - SQL Developer,Remote,27.5,"English, SQL, Communication skills, Time management",0.0,Machine Learning Engineer
client in excellent opportunity,LLM - C# / C Developer,Remote,32.0,"C#, Git, English, .NET, Software development",0.0,Machine Learning Engineer
