company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Vmoksha Technologies Pvt. Ltd,SOC Network Engineer,Bengaluru,7.5,"TCP, Azure, Windows, Firewall, Analysis skills",0.0,Network Engineer
Airowire Networks Pvt Ltd,Network Engineer Intern,Bengaluru,1.68,"TCP, Azure, Ansible, Git, AWS",0.0,Network Engineer
Amazon Web Services India Private Limited - Andhra Pradesh,Network Engineer,Hyderābād,19.0125,"Network administration, TCP, Operating systems, Software troubleshooting, OSPF",3.6,Network Engineer
Norstella,NOC Engineer,Remote,5.714285714285714,"Azure, Incident management, PaaS, AWS, Machine learning",3.4,Network Engineer
Nexapp Technologies,Network Engineer-NOC-L1 Support,Pune,48.0,"TCP, Operating systems, Customer service, Windows, Firewall",4.1,Network Engineer
Arting Digital Private Limited,Network Engineer (L2),Noida,7.0,"Virtualization, IT support, Network engineering",4.7,Network Engineer
NAVNIT GROUP,Network Engineer (Proxy),Thāne,5.7,"SSO, Network engineering",0.0,Network Engineer
ACE INFOTEXiS PVT.LTD .,Network Engineer,India,2.7,"Microsoft Windows Server, LAN, Network infrastructure, Analysis skills, Project management",0.0,Network Engineer
Hewlett Packard Enterprise,Network Engineer,Chennai,5.5,"TCP, DevOps, English, Local language, Analysis skills",4.2,Network Engineer
RamSoft,Network and System Administrator,Bengaluru,5.0,"Network administration, TCP, Azure, Operating systems, Software troubleshooting",3.6,Network Engineer
Sourcedesk Global,System Admin/ Hardware Networking Administrator,Calcutta,36.0,"Software troubleshooting, LAN, Windows, WAN, Data entry",4.5,Network Engineer
Pixentia,Network Administrator,Vijayawāda,4.5,"Software troubleshooting, IIS, Microsoft SQL Server, Research, Windows",3.6,Network Engineer
Famic Technologies,Network Administrator,Pune,4.05,"System administration, Microsoft Outlook, Microsoft SQL Server, English, Windows",3.3,Network Engineer
SITA Switzerland Sarl,Infrastructure Specialist (Network Administrator),Delhi,21.125,"Azure, Network infrastructure, Firewall, Analysis skills, Computer networking",3.7,Network Engineer
Pyramid Global Technologies,Computer Network and Systems Engineer,Mohali,5.05,"Operating systems, Network infrastructure, Network management, Splunk, Computer networking",5.0,Network Engineer
Capgemini,Connectivity & Network Engineer - B,Chennai,4.5,"5G, Embedded software",3.8,Network Engineer
Capgemini,Connectivity & Network Engineer - A,Chennai,4.5,"5G, Embedded software",3.8,Network Engineer
Capgemini,Connectivity & Network Engineer - C,Chennai,4.5,"5G, Embedded software",3.8,Network Engineer
Qualcomm,Wlan Networking Software Engineer,Bengaluru,19.513636363636365,"TCP, Data structures, LAN, OS Kernels, C",3.9,Network Engineer
Qualminds,Network Engineer,Hyderābād,5.0,"Network installation, OSPF, LAN, Firewall, DHCP",4.7,Network Engineer
Capgemini Engineering,Connectivity & Network Engineer - B,Chennai,4.5,"5G, Embedded software",3.5,Network Engineer
Dexcel Electronics,Network Engineer,Bengaluru,30.0,"TCP, OS Kernels, C, Computer networking, Linux",4.1,Network Engineer
Capgemini Engineering,Connectivity & Network Engineer - C,Coimbatore,4.5,"5G, Embedded software",3.5,Network Engineer
"Take-Two Interactive Software, Inc.",NOC Engineer,Bengaluru,4.5,"Microsoft Windows Server, Azure, Windows, AWS, ITIL",3.8,Network Engineer
Photon,Network Support,Chennai,5.5,"QoS, Load balancing, OSPF, LAN, IDS",4.0,Network Engineer
THE RRKS,Network Administrator,Remote,3.0,"Microsoft Access, Firewall",0.0,Network Engineer
