company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Optum,Program Manager - AIML,Bengaluru,6.0,"Project management, Quality assurance, Natural language processing, Data analytics, Data science",3.5,Product Manager
Seedify,AI Product Manager,Remote,6.25,"TensorFlow, Image processing, Computer vision, Analysis skills, Product management",3.1,Product Manager
Wadhwani AI,Program Manager - Health,Delhi,6.083333333333333,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Software deployment",3.2,Product Manager
ARMMAN,Product Manager - Mumbai / Hyderabad,Mumbai,7.0,"Analysis skills, Machine learning, Product management, Public health, User research",4.8,Product Manager
Wadhwani AI,Senior Program Manager / Deputy Chief of Party (USAID - TB),Kālkāji Devi,6.5,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Research",3.2,Product Manager
Polygon,Technical Product Manager,Remote,6.909090909090909,"Management, Git, Research, Project management, Team management",3.3,Product Manager
Coinbase,"Senior Product Manager, Accounting Books & Records",Remote,11.735294117647058,"Product management, Accounting, APIs",3.8,Product Manager
Coinbase,"Senior Product Manager, Platform",Remote,11.735294117647058,"Product development, Machine learning, Product management, Relationship management, Leadership",3.8,Product Manager
[x]cube LABS,Product Manager,Hyderābād,7.0,"React, Java, AWS, Product management, Usability",4.4,Product Manager
UST Global,Product Manager I,Bengaluru,7.0,"Jira, Management, Internet of things, Kanban, Research",3.9,Product Manager
Oracle,Principal Product Manager/Strategy - OCI,India,11.735294117647058,"Oracle, Presentation skills, Product management, Middleware, Communication skills",3.8,Product Manager
Gamemano,Game Product Manager,Noida,37.5,"Unreal Engine, DevOps, C#, iOS, .NET",0.0,Product Manager
Playdawn Consulting,Product Manager,Bengaluru,6.0,"Jira, Trello, SQL, Analysis skills, Project management",5.0,Product Manager
Electronic Arts,Lead Game Product Manager,Hyderābād,9.5,"Mobile applications, R, Data analysis skills, Tableau, SQL",4.1,Product Manager
Kwalee,Product Manager,Bengaluru,6.5,"Market analysis, Product management, A/B testing, Communication skills, Negotiation",3.6,Product Manager
Skillz Inc.,"Product Manager - Live Ops (Bangalore, India)",Bengaluru,5.5,"Microsoft Excel, Tableau, SQL, Wireframing, Calendar management",2.7,Product Manager
Diligent Corporation,Product Manager (Dashboard & Visualisations),Bengaluru,6.931818181818182,"Big data, Product management, Scrum, Agile, Communication skills",3.5,Product Manager
Contentstack,Product Manager,Bengaluru,7.0,"Business analysis, Customer segmentation, Software development, Agile, SaaS",4.2,Product Manager
Zessta,Product Manager,Hyderābād,8.0,"Web development, Databases, Project management, Product development, Scrum",4.6,Product Manager
Microsoft,Senior Product Manager,Hyderābād,18.0,"Windows, Application development, Analysis skills, Product management, Software development",4.2,Product Manager
Reliance Games,Product Manager,Pune,5.0,"Big data, Databases, SQL, Analysis skills, Product management",3.3,Product Manager
Simplify360 (A Nextiva Company),Product Manager (Web Front),Bengaluru,5.0,"Jira, CRM software, Kanban, Analysis skills, Continuous improvement",4.5,Product Manager
BNY,"Vice President, Technology Product Manager I",Pune,6.5,"Bloomberg, Agile, Communication skills",3.5,Product Manager
Aktok Inc,Product Manager,Remote,13.0,"English, Project management, Market research, Product development, Leadership",0.0,Product Manager
"Deltek, Inc.",Product Manager,Remote,5.928571428571429,"Research, Supervising experience, Product development, Product management, Accounting",4.5,Product Manager
Flipkart,Product Manager I,Bengaluru,48.0,,3.8,Product Manager
Boston Consulting Group,Global Product Manager – ES Executive Support,Gurgaon,30.0,"Jira, Microsoft Powerpoint, Microsoft Excel, Customer service, Spark",4.3,Product Manager
BookMyShow,Product Manager,Mumbai,6.0,"E-Commerce, Product management, Agile, Communication skills, Analytics",4.0,Product Manager
EverBee,Product Manager,Remote,9.911466666666668,"Jira, E-Commerce, Confluence, Product management, Agile",0.0,Product Manager
OrangeSiri India Private Limited,Sr. Product Manager,Remote,20.0,"Analysis skills, Product development, Product management, B2B, Communication skills",0.0,Product Manager
Exambazaar,Junior Product Manager,Remote,18.0,"Product development, Product management, UX, UI, Document management",4.3,Product Manager
ZF,Product Manager - Control Systems/Braking,Pune,4.5,"Business development, Product development, Product management, Relationship management, Negotiation",3.9,Product Manager
Cosun,Product Manager Feed - Transylvania Area,Haryana,10.05,"Sales, English, Romanian, Apache Pig, Communication skills",4.4,Product Manager
Whitefield Careers,Commerce - Product Manager,Remote,26.5,"SAFe, Product management, Agile, Technical project management",0.0,Product Manager
Spektra Syestems LLC,Product Manager,Remote,13.0,"Azure, DevOps, Analysis skills, Project management, Product management",0.0,Product Manager
Learn2Code.Live,Product Manager,Remote,5.5,"Web development, Writing skills, Public speaking, Analysis skills, Product management",4.4,Product Manager
UBS,Product Manager,Hyderābād,11.735294117647058,"Data analysis skills, Six Sigma, Analysis skills, Project management, Agile",3.8,Product Manager
Easyship,Product Manager,Bengaluru,5.5,"Supply chain, Logistics, E-Commerce, Analysis skills, Project management",2.7,Product Manager
BlackRock Investments,"Technical Product Manager, Associate",Gurgaon,7.0,,3.9,Product Manager
Inkle,Product Manager,Bengaluru,5.5,"Pricing, Product management, Communication skills",5.0,Product Manager
Google,"Product Manager, Backup and Disaster Recovery",Hyderābād,12.653846153846153,"Google Cloud Platform, Product management, Communication skills",4.3,Product Manager
Egnify Technologies,Associate Product Manager / Product Manager,Hyderābād,6.0,"Mobile applications, Product management, Communication skills, Analytics",3.1,Product Manager
Tech Mahindra,Product Manager,Hyderābād,7.0,"Azure, DevOps, Business analysis, Data analysis skills, Project management",3.5,Product Manager
Uengage Services,Product Manager,Chandigarh,5.928571428571429,Quality assurance,4.5,Product Manager
Hewlett Packard,Product Manager,Bengaluru,7.0,"Program management, Business analysis, Process improvement, Project management, Project management methodology",4.1,Product Manager
Onelab ventures,Associate Product Manager,India,5.0,"Jira, Business analysis, Trello, Analysis skills, Confluence",0.0,Product Manager
Upraised Technology,Associate Product Manager,Bengaluru,6.0,"SQL, APIs, Communication skills",3.8,Product Manager
NetApp,Senior Product Manager (Virtualization),Bengaluru,11.88,"Jira, Electrical experience, Confluence, Product management, Virtualization",4.1,Product Manager
ShepHertz,Product Manager,India,6.931818181818182,,3.5,Product Manager
Appen,Product Manager,Hyderābād,6.5,"Salesforce, Business analysis, Process improvement, Analysis skills, Project management",3.8,Product Manager
Careers at Tide,Product Manager,Hyderābād,6.0,"Jira, Employee orientation, Confluence, Product management, Risk management",4.3,Product Manager
OmnniTron Solution Pvt. Ltd.,Product Manager,Bhubaneshwar,4.2,"Analysis skills, Product development, Product management, Software development, APIs",0.0,Product Manager
TVS ELECTRONICS LIMITED,Product Manager - (Keyboard Vertical),Bengaluru,20.0,,4.1,Product Manager
Oracle,Product Manager/Strategy 1-ProdDev,Bengaluru,8.0,,3.8,Product Manager
Insomniacs,Product Manager,Bengaluru,10.2,"Jira, Trello, Analysis skills, Product development, Confluence",0.0,Product Manager
Wildnet Technologies,Technical Product Manager,Remote,17.5,"Hospitality, English, Analysis skills, Product development, Product management",4.6,Product Manager
NetApp,Senior Product Manager,Bengaluru,11.88,"Electrical experience, Product management, Leadership",4.1,Product Manager
Apple,Operations Program Manager - Product Operations,Bengaluru,7.491428571428571,"Program management, Supply chain management, Manufacturing, Leadership, Communication skills",4.1,Product Manager
WATI.io,Product Manager,Remote,10.05,"Presentation skills, Product management, Data analytics, B2B, APIs",4.4,Product Manager
Ergos,Product Manager,India,11.735294117647058,,3.8,Product Manager
BuzzBoard,Product Manager/Associate Product Manager,Remote,12.653846153846153,"Business development, Product development, Machine learning, Product management, B2B",4.3,Product Manager
Microsoft,Product Manager II,India,9.595238095238095,"Software deployment, Field sales, Analysis skills, Product management, Software development",4.2,Product Manager
Sun King,Associate Product Manager,Remote,9.595238095238095,"Microsoft Excel, SQL, Product management, Software development, Figma",4.2,Product Manager
Cixcent Technologies Pvt Ltd,Assistant Product Manager,India,5.5,"Business analysis, Analysis skills, Project management, Quality assurance, Product management",0.0,Product Manager
Outsized,Associate Product Manager,Mumbai,7.0,"Analysis skills, Product management, Agile, Communication skills",4.8,Product Manager
Basebiz Private Limited,Senior Product Manager,Remote,14.0,"Power BI, Analysis skills, Product management, B2B, Direct sales",0.0,Product Manager
Synaptic,Product Manager,Gurgaon,7.5,"SQL, Wireframing, Product management, Balsamiq, Figma",3.9,Product Manager
Mastercard,Product Manager - Technical II,Pune,6.5,Information security,4.2,Product Manager
BEIING,Product Manager,Bengaluru,65.0,"Product development, Product management",3.7,Product Manager
PayU,Product Manager - Card Tokenization,Pune,42.0,"Analysis skills, Product management, Agile, Communication skills",3.7,Product Manager
Tanla Platforms,Product Manager,Hyderābād,6.0,"UX, B2B, Communication skills",3.7,Product Manager
Kapture,Associate Product Manager,Bengaluru,6.0,,3.5,Product Manager
Real,Product Manager,Maharashtra,26.5,"Analysis skills, Product management, Organizational skills, Agile, Communication skills",4.6,Product Manager
TensorGo Technologies,Product Manager,Hyderābād,7.0,"Pricing, Project management, Project management methodology, Communication skills",2.8,Product Manager
ZF,Product Manager- Chassis,Pune,4.5,"Business development, Product development, Product management, Relationship management, Negotiation",3.9,Product Manager
Deloitte,Product Manager (I&T - Deloitte Engineering),Bengaluru,36.0,,4.0,Product Manager
Microsoft,Senior Product Manager,India,9.595238095238095,"Data analysis skills, Product development, Communication skills",4.2,Product Manager
Infocepts,Product Manager - AI (#40860),India,6.266666666666667,AI,3.4,Product Manager
Zinnov,Product Manager-Bangalore,Bengaluru,5.0,User acceptance testing,3.9,Product Manager
Super Effective,0-1 Product Manager for Rapid-growth Consumer Startup - GENEROUS EQUITY,India,1.5,"Analysis skills, Product management, Data analytics",0.0,Product Manager
Unlimited WP Pvt. Ltd.,Product Manager ( Ai ),Ahmedabad,5.0,"Market analysis, Product management, Data analytics, Agile, AI",4.5,Product Manager
Wells Fargo,Product Manager,Bengaluru,6.5,"SAFe, Product development, Product management, Communication skills",3.6,Product Manager
Ocrolus,Sr. Product Manager,Remote,6.931818181818182,"Product management, APIs, Data science, Banking",3.5,Product Manager
Authenticate,Product Manager,Remote,6.785714285714286,"Analysis skills, Project management, Product management, UX, Agile",5.0,Product Manager
UBS,"Product Manager, Customer Success, Digital Capabilities Crew",Hyderābād,5.5,"Analysis skills, Product management, Agile, Communication skills",3.8,Product Manager
