company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Dehazelabs,Junior Python Developer,Remote,3.0,"CI/CD, Data modeling, Azure, Software troubleshooting, NoSQL",3.0,Python Developer
client in excellent opportunity,Python Developer,Remote,11.0,"English, Research, Analysis skills, Quality assurance, Technical writing",0.0,Python Developer
Zoof Software Solutions,Junior Python Developer,Remote,4.8,"Kubernetes, AWS, Docker, PostgreSQL, REST",4.6,Python Developer
REIZEND PRIVATE LIMITED,Python Developer ( For Night Shifts),Thiruvananthapuram,5.0,"Jira, Computer science, Power BI, Data mining, Data structures",3.6,Python Developer
FIN Infocom,Python Developer Intern,India,9.0,"Data modeling, CSS, NoSQL, Git, Databases",0.0,Python Developer
STR Softwares,Python Developer,Remote,5.0,"Data modeling, Azure, NoSQL, Git, Google Cloud Platform",0.0,Python Developer
Notchup (formerly codemonk.ai),Python Developer,Remote,36.0,"Software troubleshooting, SQL, Django, Agile, Python",3.8,Python Developer
Madhav Technologies,Sr. Python Developer,Surat,7.2,"Content management systems, English, Django, APIs, Communication skills",0.0,Python Developer
Andrew's Group,Junior Python Developer,India,4.5,"Jira, CI/CD, Azure, CSS, Kubernetes",0.0,Python Developer
DevLopLab,Python Developer Intern,Remote,1.2,"Python, MySQL",0.0,Python Developer
Aura Bizcom,Python Developer Intern,Remote,6.5927999999999995,"Azure, CSS, React, Web development, Git",0.0,Python Developer
R. Wadiwala Security Pvt Ltd,Junior Python Developer,India,22.0,"C++, C, Network protocols, Software development, Python",0.0,Python Developer
REIZEND PRIVATE LIMITED,Python Developer,India,5.0,"Jira, CSS, Data structures, NoSQL, Git",3.6,Python Developer
datanomist,Python Developer,Hyderābād,5.0,"Authentication, CSS, Git, Databases, SVN",3.7,Python Developer
Emerinter,PYTHON DEVELOPER,India,6.5927999999999995,"English, Python",0.0,Python Developer
Gairme Solutions,Sr. Python Developer,Remote,18.5,"Quality assurance, Quality control, Python",0.0,Python Developer
Druv360°,Python Developer Intern,Cochin,0.3,"Authentication, CSS, Software troubleshooting, Relational databases, Git",0.0,Python Developer
Stackapps IT Services Pvt Ltd,Python Developer Intern,India,3.5,"Java, Python",0.0,Python Developer
rccenterprises,Junior Python Developer,India,2.1,"MongoDB, Databases, Python, MySQL",0.0,Python Developer
Shubpy Solutions Pvt. Ltd,Junior Python Developer,Remote,2.4,"Azure, CSS, Software troubleshooting, Kubernetes, OOP",0.0,Python Developer
Acumen 360°,Python Developer,Pune,15.0,"AWS, REST, Django, APIs, Python",4.8,Python Developer
Dharvi Technosoft Private Limited,Python Developer Intern,India,12.0,"Azure, CSS, Software troubleshooting, Git, AWS",0.0,Python Developer
Recrooters,Python Developer,Remote,4.5,"CI/CD, Software troubleshooting, React, Kubernetes, Software deployment",0.0,Python Developer
"Altos Technologies Tidel Park, chennai",Python developer fresher,Chennai,1.32,"MongoDB, AWS, Python, MySQL",0.0,Python Developer
Pixelstat eSolutions Development,Python Developer,Hyderābād,4.5,Python,3.9,Python Developer
Heliconia Solutions,Python Developer (Intern / Fresher),Vadodara,20.16,"Git, JavaScript, GitHub, Linux, Python",3.5,Python Developer
Benchmark Education Solutions,Python Developer to Optimize AI Microservices,Remote,3.5,"Microservices, Docker, Distributed systems, APIs, S3",0.0,Python Developer
Enlighten Schola,Python Developer,Hyderābād,13.5,"CI/CD, Azure, Software troubleshooting, Software deployment, DevOps",0.0,Python Developer
Oracle,Python Developer,Hyderābād,8.0,"Oracle, CSS, Relational databases, Enterprise Software, ERP systems",3.8,Python Developer
IQZ Systems,Python Developer,Remote,15.0,"CSS, NoSQL, Databases, SQL, OOP",4.8,Python Developer
Kramah Software India,Python Developer,Bengaluru,5.0,"English, PHP, Data entry, Hindi, Communication skills",4.0,Python Developer
BYTESAR Technologies,Python Developer,Remote,7.0,"Data modeling, CSS, NoSQL, SQL, AWS",0.0,Python Developer
WebDesignCochin.in,Python Developer,Cochin,4.5,"CSS, Web development, JavaScript, Django, Communication skills",0.0,Python Developer
