company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
LESTARS MANAGEMENT CONSULTANCY L.L.C,Quality Engineer,Remote,6.37235294117647,"CI/CD, Test automation, Selenium, Continuous integration",0.0,Quality-Assurance Engineer
[x]cube LABS,QA Engineer,Hyderābād,6.5,"Writing skills, Mobile applications, Selenium, AWS, Quality assurance",4.4,Quality-Assurance Engineer
Vegavid Technology,QA Engineer,Noida,5.5,"Jira, Mobile applications, Selenium, Machine learning, APIs",4.9,Quality-Assurance Engineer
Collins Aerospace,Associate QA Analyst,Hyderābād,9.407692307692308,"Jira, CI/CD, TestNG, JUnit, Big data",3.8,Quality-Assurance Engineer
"Mercari, Inc. (India)",QA Engineer,Bengaluru,5.5,"CI/CD, Go, Mobile applications, iOS, E-Commerce",3.9,Quality-Assurance Engineer
Collins Aerospace,Associate IT QA Analyst,Hyderābād,9.407692307692308,"Jira, CI/CD, Big data, C#, Test automation",3.8,Quality-Assurance Engineer
ITH Technologies,Quality Assurance Engineer,Kanpur Nagar,8.5,"Mobile applications, Java, Quality assurance, Machine learning, Software testing",3.5,Quality-Assurance Engineer
BitGo,Senior QA Engineer,Bengaluru,5.5,"Jira, CI/CD, Node.js, Cucumber, Selenium",4.5,Quality-Assurance Engineer
Tech Alchemy,Automation QA Engineer,Pune,4.5,"Jira, CI/CD, Software troubleshooting, Mobile applications, iOS",4.2,Quality-Assurance Engineer
[x]cube LABS,QA Automation Engineer,Hyderābād,4.5,"CI/CD, Cucumber, Selenium, Functional testing, AWS",4.4,Quality-Assurance Engineer
xalts,"Quality Assurance Engineer, Automation",Bengaluru,5.0,"Jira, CI/CD, TestNG, JUnit, Cucumber",4.2,Quality-Assurance Engineer
Seminal,Senior QA Lead,Chennai,7.5,"Cucumber, Test automation, Selenium, Build automation, Java",4.0,Quality-Assurance Engineer
State Street,Quality Assurance - Assistant Manager,Bengaluru,6.0,"Jira, TestNG, Azure, JUnit, LoadRunner",3.5,Quality-Assurance Engineer
Collins Aerospace,Lead IT QA Analyst,Hyderābād,9.407692307692308,"Jira, SAFe, XML, Test management tools, Big data",3.8,Quality-Assurance Engineer
iNautical Software,Software Quality Assurance (QA) Analyst with Automated Testing Experience,Chandigarh,14.431999999999999,"Live chat, Jira, Web design, Pricing, Operating systems",4.2,Quality-Assurance Engineer
IBI Group,Quality Analyst - Manual,Hyderābād,5.5,"Jira, Test automation, Selenium, Quality assurance, Confluence",3.7,Quality-Assurance Engineer
Citeline,QA Analyst,Remote,6.5,"Jira, CI/CD, Computer science, SAFe, Azure",2.7,Quality-Assurance Engineer
Sapiens,Quality Analyst,Bengaluru,8.0,"Business intelligence, SQL",3.6,Quality-Assurance Engineer
Fresh Gravity,Analyst / Consultant - QA Testing (2025),Pune,48.0,"SQL, Analysis skills, Product development, Data management, Organizational skills",3.5,Quality-Assurance Engineer
SpringerNature,Quality Analyst,Pune,5.5,"Jira, Selenium, Java, REST, Scrum",4.0,Quality-Assurance Engineer
Smart Data Solutions LLC,Quality Assurance Analyst,India,5.333333333333333,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, EDI, Visio",3.2,Quality-Assurance Engineer
Guidehouse,Quality Analyst,Chennai,4.5,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook",3.6,Quality-Assurance Engineer
Tapsoft Tech Labs Pvt Ltd,Quality Analyst,India,2.5,"Marathi, Backbone.js, JUnit, Test automation, Selenium",0.0,Quality-Assurance Engineer
Rubrik Job Board,Customer Solutions System QA Analyst,Bengaluru,7.0,"Sales, Research, Machine learning, Data management, Product management",3.7,Quality-Assurance Engineer
nimble International,"Quality Analyst, Coder",Hyderābād,48.0,"Pricing, Microsoft Excel, Medical coding, Windows, Microsoft Office",4.1,Quality-Assurance Engineer
Cogitate Technology,Quality Analyst,Navi Mumbai,48.0,"Waterfall, LoadRunner, Test automation, Selenium, Java",4.3,Quality-Assurance Engineer
Deloitte,Senior Analyst - ETL QA,Hyderābād,6.0,"Azure, Business intelligence, SAP HANA, DB2, SAP",4.0,Quality-Assurance Engineer
Compile,QA for RWD,Bengaluru,6.0,"Jira, LoadRunner, Test automation, Selenium, Git",4.0,Quality-Assurance Engineer
Yash Technologies,QA Engineer,Bengaluru,5.0,"Azure, Software deployment, Test automation, AWS, Analysis skills",3.7,Quality-Assurance Engineer
Yash Technologies,Test Engineer - Selenium,Pune,7.5,"Cucumber, Test automation, Selenium, Java, OOP",3.7,Quality-Assurance Engineer
McKesson,QA for RWD,Bengaluru,5.5,"Jira, LoadRunner, Test automation, Selenium, Git",3.8,Quality-Assurance Engineer
Smart Data Solutions LLC,Quality Assurance and Documentation Specialist,India,5.333333333333333,"Microsoft Powerpoint, Microsoft Word, EDI, English, Research",3.2,Quality-Assurance Engineer
BizTecno,Data Quality Analyst - Data Governance,Chandigarh,42.0,"Statistics, Oracle, SAP, Tableau, Databases",4.7,Quality-Assurance Engineer
S&P Global,Senior SQA Analyst,Hyderābād,6.5,"Azure, Cucumber, Selenium, Git, Java",4.1,Quality-Assurance Engineer
Elevate Services,Senior Engineer - QA (India),India,12.428571428571429,"Jira, Performance tuning, Test management tools, Test automation, Selenium",3.7,Quality-Assurance Engineer
Buckzy Payments Private Limited,QA Automation Engineer,Remote,16.0,"CI/CD, Azure, Selenium, Git, Google Cloud Platform",2.9,Quality-Assurance Engineer
Twisted Mountain Animation,"QA Engineer - (Bangalore, India)",Bengaluru,5.0,"CI/CD, Software deployment, Test automation, Git, English",4.0,Quality-Assurance Engineer
Apple,Software Quality Engineer,Hyderābād,21.4,"CI/CD, Gradle, iOS development, iOS, Selenium",4.1,Quality-Assurance Engineer
SecureKloud,Quality Assurance Engineer,Remote,9.407692307692308,"Cloud infrastructure, Test automation, Quality assurance, Continuous integration, Test cases",3.8,Quality-Assurance Engineer
Relatient,"Quality Engineer, Manual Tester",Pune,6.0,"Jira, SQL, AWS, Analysis skills, Quality assurance",3.4,Quality-Assurance Engineer
ServiceNow,Software Quality Engineer,Hyderābād,6.5,"TestNG, JUnit, Software troubleshooting, Test automation, Selenium",4.4,Quality-Assurance Engineer
RSquareSoft Technoloiges India Pvt Ltd,Test Engineer,India,12.5,"CI/CD, Computer science, Azure, Software deployment, DevOps",0.0,Quality-Assurance Engineer
