company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Polygon,Site Reliability Engineer,Remote,7.0,"Software troubleshooting, Ansible, Software deployment, Load balancing, DevOps",3.3,Site-Reliability Engineer
NetApp,"Site Reliability Engineer (Python, Golang, Terraform, Ansible)",Bengaluru,16.08,"Jira, Elasticsearch, Cloud infrastructure, Go, Incident management",4.1,Site-Reliability Engineer
NetApp,Site Reliability Engineer,Bengaluru,16.08,"Computer science, Elasticsearch, Azure, Operating systems, Cassandra",4.1,Site-Reliability Engineer
Alkira,Software Engineer - SRE (India),Remote,10.346153846153847,"CI/CD, Cloud infrastructure, Azure, Kubernetes, AWS",4.2,Site-Reliability Engineer
Calibery Software LLC,Site Reliability Engineer,Remote,9.36,"Cloud infrastructure, Azure, Load balancing, openSUSE, PaaS",3.0,Site-Reliability Engineer
Microsoft,Site Reliability Engineer,Hyderābād,10.346153846153847,"Microsoft Windows Server, CI/CD, Azure, DevOps, Microsoft SQL Server",4.2,Site-Reliability Engineer
InOrg Global,Site Reliability Engineer (SRE),Remote,9.066666666666666,"Elasticsearch, Azure, Operating systems, Kubernetes, Ansible",0.0,Site-Reliability Engineer
Masabi,Site Reliability Engineer (remote),Maharashtra,8.0,"CI/CD, Cloud infrastructure, PCI, Git, AWS",4.5,Site-Reliability Engineer
Axelerant,Software Engineer - Site Reliability,Remote,8.0,"CI/CD, Cloud infrastructure, Go, Kubernetes, Ansible",4.5,Site-Reliability Engineer
Oracle,Site Reliability Engineer,Bengaluru,8.0,"TCP, Azure, Oracle, Kubernetes, Software deployment",3.8,Site-Reliability Engineer
PhonePe,SRE,Bengaluru,4.145,"Software troubleshooting, Relational databases, NoSQL, Git, Databases",3.9,Site-Reliability Engineer
Apple,Site Reliability Engineering Manager,Bengaluru,8.252972972972973,"Authentication, SFTP, Data modeling, Azure, Kubernetes",4.1,Site-Reliability Engineer
UKG,Lead Database Reliability Engineer,Noida,7.665,"Cloud infrastructure, Azure, Operating systems, Oracle, Go",3.4,Site-Reliability Engineer
Token Metrics,DevOps/Site Reliability Engineer (Remote),Remote,6.223214285714286,"Cloud infrastructure, System administration, Oracle, Software troubleshooting, Google Cloud Platform",3.4,Site-Reliability Engineer
Phenom People,SRE/ Devops Engineer II,Hyderābād,6.0,"CI/CD, Cloud infrastructure, Operating systems, Software troubleshooting, Salt",4.0,Site-Reliability Engineer
Adroit Vantage Technologies Inc.,SRE / DevOPS Specialist,Bengaluru,6.5,"Kubernetes, DevOps, Server management",3.0,Site-Reliability Engineer
client in excellent opportunity,DEvops/SRE Senior Engineer,Bengaluru,27.5,"Jira, CI/CD, Kubernetes, Software deployment, DevOps",0.0,Site-Reliability Engineer
ByteSprint Talent Search LLP,Devops SRE Engineer,Bengaluru,15.0,"CI/CD, TCP, Cloud infrastructure, System administration, Azure",0.0,Site-Reliability Engineer
Tech Prescient,SRE Devops Engineer,Bengaluru,7.5,"DevOps, AWS, Terraform, SDKs, Scripting",4.5,Site-Reliability Engineer
Deqode,DevOps/SRE Engineer,Pune,48.0,"CI/CD, Cloud infrastructure, Node.js, Kubernetes, Ansible",3.9,Site-Reliability Engineer
Syndr,Site Reliability Engineer (DevOps),Delhi,11.0,"CI/CD, Go, Node.js, Salt, Kubernetes",5.0,Site-Reliability Engineer
innData Analytics,Devops Engineer / Site reliability engineer,Visakhapatnam,5.5,"Go, Cassandra, Salt, Kubernetes, Ansible",4.4,Site-Reliability Engineer
Exeter Premedia Services Pvt Ltd,Devops SRE Engineer,Chennai,7.5,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",3.4,Site-Reliability Engineer
ExxonMobil,Reliability Engineer,Bengaluru,7.0,"Oil & gas, Electrical experience, Leadership, Communication skills, Mechanical knowledge",3.6,Site-Reliability Engineer
Zelis,Site Reliability Engineer-1,Hyderābād,7.354166666666667,"CI/CD, Node.js, AWS, PostgreSQL, Continuous integration",3.8,Site-Reliability Engineer
EIL Global It Solutions and Services Pvt Ltd,Desktop Network Onsite Engineer,Telugūdam,9.066666666666666,"Desktop support, Network installation, LAN, English, Local language",0.0,Site-Reliability Engineer
ElementSkill,Site Reliability Engineer,Bengaluru,4.5,"Software troubleshooting, Internet of things, Software deployment, Electrical experience, Product demos",0.0,Site-Reliability Engineer
MERIDIAN INTERNATIONAL,MECHANICAL ENGINEER FOR ISREAL,Remote,2.0,"AutoCAD, Mechanical engineering, CAD, English, SolidWorks",0.0,Site-Reliability Engineer
JPMorganChase,Software Engineer II - Site Reliability Engineer,Bengaluru,18.0,"CI/CD, Oracle, Software troubleshooting, Microsoft SQL Server, Git",4.0,Site-Reliability Engineer
Citi,Software Development Engineer in Test (SDET) & SRE - C12 - PUNE,Pune,6.5,"CI/CD, MVC, Go, CSS, JUnit",3.7,Site-Reliability Engineer
Photon,Site Reliability Engineer,India,13.155999999999999,DevOps,4.0,Site-Reliability Engineer
NetApp,"Software Engineer SRE (Observability, Incident Management)",Bengaluru,5.5,"Jira, Elasticsearch, Cloud infrastructure, Azure, Go",4.1,Site-Reliability Engineer
Apple,Site Reliability Engineer,Bengaluru,8.252972972972973,"Go, Kubernetes, DevOps, Encryption, Java",4.1,Site-Reliability Engineer
PhonePe,SRE,Bengaluru,48.0,"Software troubleshooting, Relational databases, NoSQL, Git, Databases",3.9,Site-Reliability Engineer
Rackspace,Site Reliability Engineer / Observability Engineer,Remote,9.14125,"Pricing, Software troubleshooting, Ansible, Software deployment, DevOps",3.5,Site-Reliability Engineer
Oracle,Site Reliability Developer,Bengaluru,8.0,"Jira, Oracle, Kubernetes, Git, Build automation",3.8,Site-Reliability Engineer
TotHR Solutions,Site reliability engineer,Bengaluru,6.0,"CI/CD, Elasticsearch, PCI, Microservices, AWS",5.0,Site-Reliability Engineer
ReachLocal India,Site Reliability Engineer,Remote,6.223214285714286,"CI/CD, Cloud infrastructure, Software troubleshooting, Kubernetes, NoSQL",3.4,Site-Reliability Engineer
PhonePe,Site Reliability Engineer,Bengaluru,48.0,"Go, Salt, BSD, Configuration management, NoSQL",3.9,Site-Reliability Engineer
Qualys,Site Reliability Engineer,Pune,4.5,"System design, Systems engineering, Software development",3.7,Site-Reliability Engineer
Microsoft,Site Reliability Engineering II,Hyderābād,30.0,"Customer service, Windows, Scripting, Agile, Communication skills",4.2,Site-Reliability Engineer
CME Group,Site Reliability Engineer - II,Bengaluru,8.5,"CI/CD, Software development",4.0,Site-Reliability Engineer
Hansen Technologies,Site Reliability Engineer,Pune,8.0,"CI/CD, Cloud infrastructure, Software troubleshooting, Kubernetes, AWS",4.0,Site-Reliability Engineer
Citadel Securities,Site Reliability Engineer,Gurgaon,6.0,"Performance tuning, TCP, Operating systems, Software troubleshooting, SQL",4.1,Site-Reliability Engineer
BEIING,Site Reliability Engineer,Bengaluru,15.0,"Ansible, AWS, Docker, Terraform, Python",3.7,Site-Reliability Engineer
WEX Inc.,Site Reliability Engineer,Chennai,6.0,"Software development, Cloud computing",3.6,Site-Reliability Engineer
Technology Next,Senior Site Reliability Engineer,Remote,17.0,"CI/CD, Incident management, DevOps, Java, Application development",0.0,Site-Reliability Engineer
GoGuardian,Site Reliability Engineer,Bengaluru,9.0,"CI/CD, Kubernetes, Ansible, Git, OOP",3.0,Site-Reliability Engineer
Trimble,Site Reliability Engineer,Chennai,7.5,,4.0,Site-Reliability Engineer
Tanla Platforms,SITE RELIABILITY ENGINEER,Hyderābād,6.363636363636363,"CI/CD, Knowledge management, Kubernetes, Software deployment, Configuration management",3.7,Site-Reliability Engineer
Experian,Site Reliability Engineer,Hyderābād,6.5,"Jira, Ansible, Big data, DevOps, Spark",4.2,Site-Reliability Engineer
Cimpress Technology,Site Reliability Engineer,Bengaluru,9.0,"CI/CD, DevOps, Git, English, AWS",4.1,Site-Reliability Engineer
Adobe,Site Reliability Engineer,Bengaluru,8.5,"Azure, Operating systems, Kubernetes, Ansible, DevOps",4.2,Site-Reliability Engineer
DocuSign,Site Reliability Engineer,Bengaluru,7.5,"Docusign, Software deployment, DevOps, C#, R",3.6,Site-Reliability Engineer
Everstage,Site Reliability Engineer (Remote),Chennai,9.0,"CI/CD, Software troubleshooting, DevOps, Git, AWS",4.7,Site-Reliability Engineer
Swedium Global Services AB,Site Reliability Engineer,Bengaluru,9.066666666666666,"Azure, Incident management, Git, SQL, AWS",0.0,Site-Reliability Engineer
Google,"System Engineer, Site Reliability Engineering",Bengaluru,7.25,"Software deployment, Enterprise Software, Data structures, System design, Google Cloud Platform",4.3,Site-Reliability Engineer
NatWest,Site Reliability Engineer,Bengaluru,8.5,"Oracle, Java, Microservices, PostgreSQL, Splunk",4.1,Site-Reliability Engineer
JPMorganChase,Site Reliability Engineer III,Hyderābād,36.0,"CI/CD, Cloud infrastructure, Kubernetes, Learning technology, Git",4.0,Site-Reliability Engineer
Helius Technologies,Site Reliability Engineer,India,10.346153846153847,"CI/CD, Software troubleshooting, Kubernetes, Disaster recovery, Java",4.2,Site-Reliability Engineer
JPMorganChase,Software Engineer II - Site Reliability Engineer,Mumbai,48.0,"CI/CD, Gradle, Software troubleshooting, Git, SQL",4.0,Site-Reliability Engineer
Infosys,Site Reliability Engineer/SRE,Bengaluru,9.5,"CI/CD, Elasticsearch, TCP, Azure, Go",3.6,Site-Reliability Engineer
Digantara,Site Reliability Engineer II,Bengaluru,9.066666666666666,"CI/CD, Git, AWS, Docker, Terraform",0.0,Site-Reliability Engineer
Cloudifyops,Site Reliability Engineer,Bengaluru,8.5,"CI/CD, Cloud infrastructure, Azure, Kubernetes, DevOps",3.9,Site-Reliability Engineer
Flipkart,Engineering Manager (Site Reliability Engineering),Bengaluru,8.5,,3.8,Site-Reliability Engineer
Uni Cards,Site Reliability Engineer - 2,Bengaluru,8.0,"CI/CD, Elasticsearch, Kubernetes, Ansible, Software deployment",4.1,Site-Reliability Engineer
Volancys (An ACL Digital Company),Site Reliability Engineer,India,12.5,"Incident management, Kubernetes, DevOps, Microservices, AWS",0.0,Site-Reliability Engineer
Skillspark AB,Remote Opportunity as a Windows Site Reliability Engineer,Bengaluru,8.5,"Microsoft Windows Server, CI/CD, Performance tuning, Ansible, DevOps",5.0,Site-Reliability Engineer
Arting Digital Private Limited,Site Reliability Engineer,Bengaluru,6.0,"Azure, Incident management, Google Cloud Platform, Analysis skills, Scripting",4.7,Site-Reliability Engineer
NCR,Site Reliability Engineer,Hyderābād,6.223214285714286,"CI/CD, Cloud infrastructure, Node.js, Kubernetes, Kanban",3.4,Site-Reliability Engineer
SingleStore,"Site Reliability Engg. (Go, Python, K8s, IaC)",Hyderābād,6.0,"Azure, Go, Cloud architecture, Software troubleshooting, Kubernetes",3.9,Site-Reliability Engineer
Booking Holdings,Site Reliability Engineer II - Fintech,Bengaluru,9.0,"Software deployment, System design, Design patterns",4.1,Site-Reliability Engineer
Phenom People,Site Reliability Engineer I,Hyderābād,7.5,"CI/CD, Ant, Kubernetes, Ansible, Software deployment",4.0,Site-Reliability Engineer
Neptune Retail Solutions,Site Reliability Engineer,India,6.0,"TCP, Cassandra, Kubernetes, Ansible, Java",2.3,Site-Reliability Engineer
Micron,Site Reliability Engineer,Hyderābād,7.0,"CI/CD, Azure, Go, Kubernetes, Ansible",3.8,Site-Reliability Engineer
Hexagon AB,Site Reliability Engineer,Hyderābād,7.0,"CI/CD, Cloud infrastructure, System administration, Azure, Kubernetes",4.1,Site-Reliability Engineer
BlackRock Investments,"Platform Operations/Site Reliability Engineer, Vice President",Gurgaon,8.5,"Go, Software troubleshooting, Splunk, Leadership, Python",3.9,Site-Reliability Engineer
Stratologon,Site Reliability Engineer,Remote,18.888166666666667,"CI/CD, Wiki systems, TCP, Cloud infrastructure, System administration",3.9,Site-Reliability Engineer
Equifax,Site Reliability Engineer,Pune,4.5,"CI/CD, Cloud infrastructure, Go, Kubernetes, Git",3.5,Site-Reliability Engineer
Indusface,Engineer – Site Reliability,Bengaluru,7.5,"Performance tuning, TCP, Cloud infrastructure, Software troubleshooting, Git",4.6,Site-Reliability Engineer
Kosha Technohub,Site Reliability Engineer,India,6.2,"System administration, Ruby, Python",3.2,Site-Reliability Engineer
Qualys,"Director, Site Reliability Engineer",Pune,4.5,"CI/CD, Incident management, Kubernetes, Terraform, Continuous integration",3.7,Site-Reliability Engineer
Prakat Solutions,Site Reliability Engineer,Mumbai,7.5,,4.3,Site-Reliability Engineer
Ethos Life,Site Reliability Engineer,Bengaluru,5.5,"CI/CD, Go, Kubernetes, DevOps, Git",3.6,Site-Reliability Engineer
Practo Technologies,Site Reliability Engineer - II,Bengaluru,8.0,"CI/CD, System administration, Azure, Operating systems, Oracle",3.5,Site-Reliability Engineer
Codash Solutions,Site Reliability Engineer,Remote,6.0,"CI/CD, Azure, Incident management, Kubernetes, Ansible",0.0,Site-Reliability Engineer
Pitney Bowes,Enterprise Operations Center Site Reliability Engineer,Pune,6.0,"Jira, Ansible, English, Analysis skills, Product development",3.3,Site-Reliability Engineer
Thinkproject Holding GmbH,Site Reliability Engineer (m/f/d),Pune,4.0,"CI/CD, Azure, Go, Software troubleshooting, Ansible",3.4,Site-Reliability Engineer
CRED,site reliability engineer,Bengaluru,13.155999999999999,"CI/CD, System administration, Go, Kubernetes, Ansible",4.0,Site-Reliability Engineer
Kyndryl,Site Reliability Engineer,Gurgaon,48.0,"Performance tuning, Operations management, Incident management, Kubernetes, Ansible",3.9,Site-Reliability Engineer
SS&C,Site Reliability Engineer,Hyderābād,4.0,"TCP, Oracle, Software troubleshooting, Kubernetes, Enterprise Software",3.1,Site-Reliability Engineer
C3 AI,Site Reliability Engineer,Bengaluru,8.0,"Azure, Cassandra, Kubernetes, Ansible, DevOps",3.4,Site-Reliability Engineer
Altera Digital Health India,Expert Site Reliability Engineer- Req no- 1883,Pune,4.5,Systems engineering,3.5,Site-Reliability Engineer
TechVerito Software Solutions,Site Reliability Engineer,Pune,6.0,"CI/CD, Cloud infrastructure, Azure, Go, Software troubleshooting",4.6,Site-Reliability Engineer
DXC Technology,SRE - Site Reliability Engineer,Bengaluru,6.0,"TensorFlow, Software deployment, Incident response, Machine learning, Distributed systems",3.5,Site-Reliability Engineer
Microsoft,Senior Site Reliability Engineer,Hyderābād,30.0,"System administration, Azure, Kubernetes, PaaS, Agile",4.2,Site-Reliability Engineer
Element Skills,Site Reliability Engineer,Mumbai,2.5,"Software troubleshooting, Internet of things, Software deployment, Electrical experience, Product demos",0.0,Site-Reliability Engineer
Altizon Systems,Site Reliability Engineer,Pune,7.5,"Cloud infrastructure, Azure, Ansible, R, AWS",3.5,Site-Reliability Engineer
Netradyne,Site Reliability Engineer (SRE),Bengaluru,9.0,"Image processing, Go, Cloud architecture, NoSQL, Java",3.5,Site-Reliability Engineer
Infor,"Site Reliability Engineer, Senior",Hyderābād,7.0,"Jira, Incident management, DevOps, System design, English",4.0,Site-Reliability Engineer
Rapid Circle,Site Reliability Engineer (SRE),Bengaluru,6.5,"SAFe, Azure, Kubernetes, DevOps, SQL",4.3,Site-Reliability Engineer
Qualys,"Lead, Site Reliability Engineer",Pune,4.5,"System design, Systems engineering, Software development",3.7,Site-Reliability Engineer
Realign LLC,Site Reliability Engineer-3,Gurgaon,6.5,"System administration, Azure, DevOps, AWS, Systems engineering",0.0,Site-Reliability Engineer
LSEG (London Stock Exchange Group),Site Reliability Engineer,Bengaluru,8.0,"Cloud infrastructure, Azure, Go, DevOps, Data structures",3.8,Site-Reliability Engineer
Oracle,Site Reliability Engineer - Database,Bengaluru,8.0,"Oracle, Build automation, SQL, Terraform, Perl",3.8,Site-Reliability Engineer
First Advantage,Engineer - Site Reliability Engineering,Bengaluru,8.0,"Azure, Management, Ansible, R, Google Cloud Platform",3.5,Site-Reliability Engineer
Whitefield Careers,Site Reliability Engineer (SRE),Bengaluru,15.0,"CI/CD, TCP, Load balancing, System architecture, Windows",0.0,Site-Reliability Engineer
Priceline.com,Associate Site Reliability Engineer,Mumbai,18.0,"Rust, Cloud architecture, Kubernetes, Ansible, Load balancing",3.8,Site-Reliability Engineer
Infosys,Infra Site Reliability Engineer,Bengaluru,6.733333333333333,"Jira, System administration, Operating systems, Node.js, Kubernetes",3.6,Site-Reliability Engineer
Brainworks Solutions Pvt Ltd,Site Reliability Engineer,India,9.066666666666666,"FTP, SFTP, DB2, Microsoft SQL Server, Windows",0.0,Site-Reliability Engineer
Barclays,Site Reliability Engineer - Specialized Infrastructure,Pune,7.5,"CI/CD, Kubernetes, Ansible, System architecture, Git",3.9,Site-Reliability Engineer
Equifax,Site Reliability Engineer - Intermediate,Thiruvananthapuram,6.5,"CI/CD, System administration, Go, Node.js, Kubernetes",3.5,Site-Reliability Engineer
Amgen,Site Reliability Engineer,Hyderābād,7.0,"CI/CD, Power BI, System administration, Azure, Kubernetes",4.1,Site-Reliability Engineer
Bizzhype HR,Site Reliability Engineer - 5+ Experience,Pune,18.5,"CI/CD, Cloud infrastructure, Kubernetes, Ansible, DevOps",5.0,Site-Reliability Engineer
ACV Auctions,Site Reliability Engineer III - Infrastructure,Chennai,6.5,"Cloud infrastructure, System administration, Kubernetes, Load balancing, System design",3.1,Site-Reliability Engineer
Synopsys,Site Reliability Engineering - Staff Engineer (Hyderabad),Hyderābād,10.8,"CI/CD, Cloud infrastructure, Go, Kubernetes, Ansible",4.0,Site-Reliability Engineer
PepsiCo,Architect - Site Reliability Engineer- Networks,Hyderābād,10.0,"TCP, OSPF, Analysis skills, Network protocols, BGP",3.9,Site-Reliability Engineer
Tally Solutions,Site Reliability Engineer (Contract) - Bangalore,Bengaluru,7.5,"Jira, Cloud infrastructure, Azure, Tally, Sales",4.3,Site-Reliability Engineer
UBS,Application Support & Reliability Engineer,Hyderābād,6.0,"CI/CD, Azure, Go, Kubernetes, DevOps",3.8,Site-Reliability Engineer
Synopsys,Site Reliability Staff Engineer,Hyderābād,13.155999999999999,"CI/CD, Cloud infrastructure, Go, Kubernetes, Ansible",4.0,Site-Reliability Engineer
Synopsys,Senior Site Reliability Engineer,Hyderābād,10.8,"Performance tuning, Go, Node.js, Ansible, Git",4.0,Site-Reliability Engineer
Morningstar,Site Reliability Engineer,Navi Mumbai,5.5,"Azure, Ansible, DevOps, Windows, AWS",4.0,Site-Reliability Engineer
Neuron,Site Reliability Engineer,Chennai,6.0,"TensorFlow, CI/CD, Azure, Go, Cloud architecture",3.9,Site-Reliability Engineer
DigiCert,Site Reliability Engineer – Platform,Bengaluru,8.0,"CI/CD, Azure, Salt, Kubernetes, Encryption",3.9,Site-Reliability Engineer
Fubo India,Senior Site Reliability Engineer,Bengaluru,4.5,"Cloud infrastructure, System administration, Azure, Go, Kubernetes",3.8,Site-Reliability Engineer
NatWest,"Lead Site Reliability Engineer, IAM, AVP",Bengaluru,8.5,"Azure, Oracle, Ansible, DevOps, Java",4.1,Site-Reliability Engineer
Acceldata,Associate Site Reliability Engineer - Hadoop,Bengaluru,5.5,"Software troubleshooting, Apache Hive, Debian, Data management, Distributed systems",4.1,Site-Reliability Engineer
DronaHQ,Site Reliability Engineer,Remote,7.0,"ASP.NET, TCP, Oracle, Go, Node.js",3.3,Site-Reliability Engineer
Morningstar,Senior Site Reliability Engineer,Navi Mumbai,5.5,"CI/CD, Software deployment, DevOps, Spark, Research",4.0,Site-Reliability Engineer
Okta,Senior Site Reliability Engineer,Bengaluru,5.5,"CI/CD, Elasticsearch, Cloud infrastructure, Go, PKI",3.6,Site-Reliability Engineer
Aerospike,Site Reliability Engineer,Bengaluru,8.0,"Jira, CI/CD, Elasticsearch, Azure, Go",3.3,Site-Reliability Engineer
