company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Microsoft,Senior Software Engineer,Bengaluru,6.0,"TensorFlow, C++, C, Deep learning, SDKs",4.2,Software Engineer
Goldman Sachs,Software Engineer - Vice President - Core Engineering,Hyderābād,9.950357142857143,"CI/CD, React, Kubernetes, Relational databases, DevOps",3.9,Software Engineer
Trellix,Senior Software Development Engineer,Bengaluru,7.5,"Oracle, SAP HANA, DB2, Microsoft SQL Server, NoSQL",3.4,Software Engineer
Oracle,Software Developer,Hyderābād,8.0,"Oracle, JUnit, XML, Enterprise Software, J2EE",3.8,Software Engineer
infiniti soft system,Software Developer,Bengaluru,14.0,"Relational databases, Microsoft SQL Server, SSRS, English, Java",0.0,Software Engineer
InfoMatrix Digital Solutions,Software Developer Intern,Remote,0.48,"Node.js, React, APIs",0.0,Software Engineer
Twinsway Technologies,Junior Software Developer,Thiruvananthapuram,3.0,"CSS, React, JavaScript, Communication skills, HTML",0.0,Software Engineer
PropertyGuru Pte Ltd,Software Engineer,Bengaluru,7.0,"Elasticsearch, Node.js, React, Kubernetes, Git",3.5,Software Engineer
"Signimus Technolgies: Hiring Python, MERN, React Native and other Devs",Software Developer Training internship,Remote,5.763074324324324,"Git, MongoDB, .NET, Java, Application development",0.0,Software Engineer
AerialBorne,Junior Software Developer,Pilani,2.82,"Computer science, Node.js, React, Web development, OOP",0.0,Software Engineer
EXR Systems LLC,Software Developer,Remote,3.3,"Authentication, Node.js, CSS, React, MongoDB",0.0,Software Engineer
Xanika Infotech,Enterprise Software Developer,Remote,6.0,"CI/CD, Go, Software deployment, Enterprise Software, English",4.0,Software Engineer
KRYFS Technologies Pvt Ltd,Junior Software Developer,India,2.0,"CSS, Software troubleshooting, Git, PHP, Analysis skills",0.0,Software Engineer
Digital Upward Pvt Ltd,Software Developer Intern,Bengaluru,10.5,"Node.js, Mobile applications, Application development, OOP, Analysis skills",0.0,Software Engineer
Logic Research Labs,Software Developer,Thanjāvūr,5.5,,3.7,Software Engineer
Avidian Technologies,Software Developer,Remote,36.0,"Azure, Microsoft Outlook, React, DevOps, .NET Core",4.0,Software Engineer
Indo-Thai Securities Ltd,Software Developer Intern,Indore,1.02,"CSS, React, Git, Databases, SQL",0.0,Software Engineer
SOTI Inc.,Junior Software Developer,Cochin,11.582631578947368,"Data modeling, Node.js, CSS, C#, .NET",3.6,Software Engineer
Meltronics Systemtech,Application software developer,India,4.0,"Visual Studio, C#, .NET, SQL, C++",0.0,Software Engineer
HyScaler,Junior Software Developer,India,7.0,"Node.js, Databases, SQL, PHP, Docker",4.7,Software Engineer
Actify Business,Software Developer Intern,Thāne,1.5,"CSS, React, Data structures, J2EE, Java",0.0,Software Engineer
Technource (Techno Source Web Pvt. Ltd.),Jr. Software Developer,India,1.5,"Node.js, CSS, React, NoSQL, Git",0.0,Software Engineer
Crypto PMS,Flash crypto software developer,Remote,1.5,"Rust, Node.js, React, .NET, Java",0.0,Software Engineer
LCX,Senior Software Developer,Gurgaon,14.5,"Node.js, Kubernetes, Encryption, NoSQL, SQL",4.1,Software Engineer
nLineAxis,Senior Software Developer,Gurgaon,23.5,"Node.js, Kubernetes, Encryption, NoSQL, SQL",0.0,Software Engineer
Coinbase,"Staff Software Engineer, Infrastructure - Developer Productivity",Remote,12.906976744186046,"Machine learning, Communication skills, SDLC",3.8,Software Engineer
Oracle,Software Development Snr Manager,Bengaluru,7.0,"Performance tuning, Oracle, Go, Node.js, Kubernetes",3.8,Software Engineer
The Liechtenstein Cryptoassets Exchange,Senior Software Developer,Gurgaon,5.5,"Node.js, Kubernetes, Encryption, NoSQL, SQL",4.1,Software Engineer
S&P Global,Software Developer/Engineer III,Noida,8.0,"Azure, Node.js, React, Test-driven development, Java",4.1,Software Engineer
Accenture,Software Development Engineer,Bengaluru,12.906976744186046,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Load balancing",3.8,Software Engineer
Collins Aerospace,Lead Software Developer,Bengaluru,12.906976744186046,"Oracle, CAD, Big data, Pro/ENGINEER, Java",3.8,Software Engineer
"Mercari, Inc. (India)","Software Engineer, Platform Engineering (Mercari India)",Bengaluru,7.0,"CI/CD, Elasticsearch, Azure, Go, Kubernetes",3.9,Software Engineer
Ultrapro Blockchain Tech Private Limited,Senior Software Engineer,India,5.763074324324324,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Software Engineer
Simform,Sr. Software Engineer (Innovation),Ahmedabad,6.0,"Azure, Cloud architecture, Internet of things, Kubernetes, Google Cloud Platform",4.1,Software Engineer
RockWallet,Senior Software Engineer,Noida,5.5,"CI/CD, Ant, JUnit, Cassandra, Kubernetes",3.1,Software Engineer
Chubb,Senior Software Engineer,Telangana,12.906976744186046,"Cucumber, Salesforce, C#, Selenium, Test-driven development",3.8,Software Engineer
General Mills,Software Engineer II – Sites & Services,Mumbai,7.0,"CI/CD, ASP.NET, Cloud infrastructure, Kubernetes, Kanban",4.1,Software Engineer
JPMorganChase,Software Engineer III - Java,Bengaluru,6.0,"CI/CD, Software troubleshooting, Relational databases, System design, Java",4.0,Software Engineer
ZoomRx,Software Development Engineer,India,10.23151515151515,"Software deployment, iOS, System design, Git, REST",3.7,Software Engineer
NASDAQ,Software Developer Specialist - AI/ML,Bengaluru,48.0,"TensorFlow, CI/CD, Azure, Big data, DevOps",4.1,Software Engineer
Coinbase,"Software Engineer, Emerging Talent",Remote,13.5,"Go, React, iOS, MongoDB, AWS",3.8,Software Engineer
Mastercard,"Vice President, Software Engineering",Pune,15.136379310344827,"Oracle, Big data, Spark, Git, Information security",4.2,Software Engineer
Sadhana IT Solutions,Software Engineer (Entry-level/Fresher),Pune,48.0,"Azure, Go, Node.js, React, Web development",4.0,Software Engineer
Vividco,Entry Level Software Engineer,Remote,2.5,"Software troubleshooting, Relational databases, Git, Databases, SQL",0.0,Software Engineer
Nbyula,Software Engineer-Summer Internship,Bengaluru,8.5,Distributed systems,3.9,Software Engineer
Experian,Associate Software Engineer,Hyderābād,5.5,"CI/CD, XML, NoSQL, Information security, Java",4.2,Software Engineer
Edvak Technologines Inc,Software Engineer,India,11.0,"Elasticsearch, Node.js, Kubernetes, Web development, System design",0.0,Software Engineer
Optum,Software Engineer,Hyderābād,9.0,"Performance testing, AI",3.5,Software Engineer
BP Energy,Staff Software Development Engineer for Test,Pune,6.0,"CI/CD, Azure, Kubernetes, iOS, Business analysis",3.9,Software Engineer
Frenzopay,Software Engineer,Noida,6.6,"System administration, DevOps, .NET, Java, AWS",0.0,Software Engineer
Notops Software Pvt Ltd.,Software Engineer,India,3.5,"Kubernetes, Java, AWS, JavaScript, Distributed systems",0.0,Software Engineer
NetApp,Software Engineer,Bengaluru,5.5,"Test cases, Communication skills, Python, PowerShell",4.1,Software Engineer
Boston Consulting Group,Software Engineer - X Delivery,Gurgaon,6.0,"Microsoft Powerpoint, CI/CD, Azure, Oracle, Cloud architecture",4.3,Software Engineer
Boston Consulting Group,Global IT Software Engineer Specialist,Gurgaon,6.0,"Salesforce Marketing Cloud, TestNG, Microsoft Excel, Microsoft Outlook, Test management tools",4.3,Software Engineer
Windfall Production Pvt Ltd,Junior Software Engineer,India,1.5,"CI/CD, Azure, Software troubleshooting, React, Kubernetes",0.0,Software Engineer
BrowserStack,Software Development Engineer in Test (SDET),Remote,6.205882352941177,"Node.js, Selenium, Ruby, Software testing, SaaS",4.3,Software Engineer
"Deltek, Inc.",Software Engineer,Remote,16.09090909090909,"CI/CD, Program management, Node.js, React, C#",4.5,Software Engineer
Fio technologies,Software Engineer,Remote,0.42,"React, .NET, Java, AI, MySQL",0.0,Software Engineer
Distinct Infotech Solutions,Software Engineer,Remote,2.1,"Azure, CSS, React, Kubernetes, .NET Core",0.0,Software Engineer
Ecolab,Associate Software Engineer,Bengaluru,9.5,"Software troubleshooting, Salesforce",3.7,Software Engineer
NOKIA,Software Engineer,India,12.645833333333334,"CI/CD, Kubernetes, DevOps, Git, Bloomberg",4.0,Software Engineer
NetApp,Software Engineer,Bengaluru,5.5,"Go, Kubernetes, Databases, Microservices, C++",4.1,Software Engineer
Microsoft,Software Engineer,Hyderābād,42.0,"Azure, Machine learning, Software development",4.2,Software Engineer
PayPal,Software Engineer 2,Chennai,6.0,"Performance tuning, Data modeling, Big data, Spark, Apache Hive",3.7,Software Engineer
Visionary Recruitment Service Private Limited,Software Engineer,Hyderābād,10.0,"CI/CD, Software troubleshooting, React, DevOps, MongoDB",0.0,Software Engineer
OrangeSiri India Private Limited,Software Engineer-Bot,Remote,17.5,"Node.js, English, Google Cloud Platform, Java, Natural language processing",0.0,Software Engineer
NetApp,Software Engineer (Python),Bengaluru,5.5,"Node.js, MongoDB, Databases, Microservices, Analysis skills",4.1,Software Engineer
Turing,Software Engineer (vetting),Remote,12.645833333333334,"Data modeling, Cloud infrastructure, Node.js, React, Google Cloud Platform",4.0,Software Engineer
Akamai,Software Development Engineer in Test II_Remote,Remote,12.706666666666669,Distributed systems,4.6,Software Engineer
Zeta Global,Software Engineer,Bengaluru,6.0,"Cassandra, English, Java, Digital marketing, PostgreSQL",3.5,Software Engineer
"Anthology, Inc.",Associate Software Engineer I,Chennai,6.5,"Software troubleshooting, Data structures, Test-driven development, English, Java",3.6,Software Engineer
Herbspro.com,Software Engineer I,Remote,2.5,"CI/CD, Power BI, Azure, Web development, Database development",0.0,Software Engineer
Accenture,Software Development Engineer,Hyderābād,12.906976744186046,"Performance tuning, Azure, Cassandra, NoSQL, MongoDB",3.8,Software Engineer
Hashedin,Software Engineer,Karnataka,15.136379310344827,"Blogging, Cloud infrastructure, DevOps, Data structures, Java",4.2,Software Engineer
DHL,Software Engineer,Indore,5.5,"CI/CD, Azure, Node.js, React, Kubernetes",3.9,Software Engineer
Shalom World TV,Junior Software Engineer,Kerala,5.763074324324324,"CI/CD, Azure, Software troubleshooting, React, Kubernetes",0.0,Software Engineer
Finewebarts Web Solutions,Software Engineer,Remote,12.5,"Azure, Oracle, React, WordPress, MongoDB",0.0,Software Engineer
infiniti soft system,Software Developer,Bengaluru,13.04,"Relational databases, Microsoft SQL Server, SSRS, English, Java",0.0,Software Engineer
Allstate,Software Engineer II,Pune,7.265,"Oracle, SQL, Supervising experience, Quality assurance, Scripting",3.5,Software Engineer
SIXT India,Software Development Engineer I (Salesforce),Bengaluru,8.3,"Cloud infrastructure, Ant, XML, Customer service, Salesforce",3.5,Software Engineer
NORAH CLINICAL SOLUTION,Software Developer,India,7.823529411764706,"JBoss, Oracle, CSS, Software troubleshooting, Tomcat",3.4,Software Engineer
"Red Hat, Inc.",Software Engineer,Pune,7.455,"Jira, Oracle, CSS, Kubernetes, Web development",4.2,Software Engineer
ARM,Embedded /Frimware Senior Software Engineer,Bengaluru,6.5,"CSS, Firmware, OS Kernels, C, Embedded software",4.4,Software Engineer
QUEST INNOVATIVE SOLUTIONS,Software Engineer - Freshers,Thiruvananthapuram,4.86,".NET, Java, PHP, Data science, AI",0.0,Software Engineer
unnayan defence technologies,Junior Software Engineer,Hyderābād,5.0,"TensorFlow, Statistics, Software troubleshooting, Calculus, Quality assurance",0.0,Software Engineer
Infosys,Embedded Software Developers,Bengaluru,5.5,"ADAS, Pricing, Embedded software, Agile, SDLC",3.6,Software Engineer
Apple,Embedded Power Software Engineer,Bengaluru,9.426848484848485,"5G, iOS, C++, Electrical experience, C",4.1,Software Engineer
Ceremorphic,"Software Engineer, Embedded Systems",Hyderābād,5.833333333333333,"FPGA, OOP, OS Kernels, C++, C",2.8,Software Engineer
ValetEZ,Software Engineer - Embedded,Bengaluru,5.763074324324324,"Software troubleshooting, C++, C, Embedded software, Software development",0.0,Software Engineer
embedUR systems,Embedded Software Development Engineer,Chennai,5.0,"Software troubleshooting, Internet of things, Firmware, OS Kernels, Analysis skills",3.8,Software Engineer
Nordson,Software Engineer I,Bengaluru,7.0,"Software troubleshooting, React, Linux",3.3,Software Engineer
ZF,Senior Software Engineer,Bengaluru,7.5,Embedded software,3.9,Software Engineer
TestCore IT Solutions,Software Engineer,Hyderābād,10.0,"Git, .NET, Java, C++, C",0.0,Software Engineer
vTitan Corporation,Embedded ​ Software Engineer,Chennai,42.0,"Software troubleshooting, English, C++, C, Software development",3.9,Software Engineer
Google,"Software Engineer, Kernel and Firmware, Silicon",Hyderābād,6.205882352941177,"Schematics, Software deployment, Firmware, System design, OS Kernels",4.3,Software Engineer
Vir Innovations Private Limited,Software Engineer,India,7.0,"TCP, Image processing, OOP, C++, C",0.0,Software Engineer
Accenture,Software Development Engineer,Bengaluru,12.906976744186046,"OOP, Embedded software, Communication skills",3.8,Software Engineer
Aptiv plc,Software Engineering - Intern,Bengaluru,10.404583333333333,"Embedded software, Software development",3.5,Software Engineer
Oracle,Software Developer,Bengaluru,7.0,"Oracle, Kubernetes, System design, Java, Application development",3.8,Software Engineer
NVIDIA,Software Engineer,Bengaluru,5.5,"Go, Kubernetes, Data structures, Windows, Java",4.5,Software Engineer
Speed Engineering Solutions,System Software engineer - (Electronics - Embedded Skills),Pune,5.0,"Visio, Programmable logic controllers, Embedded software",3.8,Software Engineer
Susan Future Technologies Private Limited,Graduate Software Engineer,India,0.9,"MATLAB, Data structures, System design, Java, C++",0.0,Software Engineer
Arista Networks,Software Engineer (Systems),Bengaluru,6.5,"Test automation, DHCP, C++, C, Computer networking",4.1,Software Engineer
Microsoft,Software Engineer,Noida,5.5,"Statistics, Data modeling, Azure, Customer service, C#",4.2,Software Engineer
kinara,"Software Engineer, Embedded",Hyderābād,9.426848484848485,"TensorFlow, Image processing, Windows, Analysis skills, C++",4.1,Software Engineer
Google,"Software Engineering III, Embedded",Bengaluru,6.205882352941177,"Data structures, System design, OS Kernels, C++, C",4.3,Software Engineer
Medtronic,Software Engineer II,India,12.906976744186046,"MATLAB, Signal processing, English, C++, Electrical experience",3.8,Software Engineer
Barracuda Networks Inc.,Software Engineer,India,10.404583333333333,"Software troubleshooting, Git, Windows, Analysis skills, C++",3.5,Software Engineer
Spectrum Talent Management,Embedded Software Developer,Bengaluru,6.5,"System design, Git, OOP, OS Kernels, C++",3.3,Software Engineer
QuEST Global,Software Development Engineer,Hyderābād,5.0,"Operating systems, English, Analysis skills, C++, C",3.7,Software Engineer
Bosch Group,IN_RBAI_Software Engineer,Bengaluru,6.0,"Automotive electrical systems, Power BI, Oracle, CSS, C#",4.1,Software Engineer
Arista Networks,Software Engineer (Wifi/ Embedded),Bengaluru,9.426848484848485,"QoS, Computer science, LAN, Test automation, OS Kernels",4.1,Software Engineer
Inceptial Tech,Software Engineer,Remote,6.205882352941177,"TCP, Internet of things, REST, APIs, Linux",4.3,Software Engineer
Tesco Technology,Software Development Engineer II,Bengaluru,4.5,"Azure, NoSQL, Java, SQL, APIs",3.8,Software Engineer
Tesco,Software Development Engineer II,Bengaluru,42.0,Agile,3.8,Software Engineer
Yash Technologies,Software Engineer - IoT,Pune,10.23151515151515,"CI/CD, Software deployment, DevOps, Continuous integration, UI",3.7,Software Engineer
Robosoft,Software Engineer (Model-Based Testing),Bengaluru,7.0,"MATLAB, Test automation, Unit testing",3.9,Software Engineer
Avin Systems,Software Engineer,Bengaluru,6.5,"Unit testing, Root cause analysis",4.0,Software Engineer
Strix Systems,Software Development Engineer,Mumbai,5.5,"LAN, C++, C, Software development, Linux",2.8,Software Engineer
"Advanced Micro Devices, Inc",Software Development Engineer 2,Hyderābād,12.645833333333334,"FPGA, Data structures, C++, Quality assurance, C",4.0,Software Engineer
Liebherr CMCtec India Private Limited,Engineer - Embedded Software Testing,Pune,12.906976744186046,"Jira, MATLAB, Azure, DevOps, Git",3.8,Software Engineer
Vruthii,Software Engineer,Bengaluru,4.0,"TCP, Microsoft Access, Software troubleshooting, XML, Visual Studio",0.0,Software Engineer
TeamF1 Networks,Software Engineer (OpenWRT),India,10.23151515151515,"C++, C, Network management, Network protocols, Linux",3.7,Software Engineer
Consort Digital,Software Engineer _ Embedded Developer,Farīdābād,4.5,"Schematics, Software troubleshooting, C++, C, Software development",4.0,Software Engineer
Microsoft,Senior Software Engineer,Bengaluru,6.0,"Cloud infrastructure, Azure, Operating systems, Microsoft Office, C++",4.2,Software Engineer
Analog Devices,Associate Software Engineer – Embedded Testing,Bengaluru,7.0,Python,3.9,Software Engineer
Qualcomm,WLAN Software Engineer,Bengaluru,5.5,"Analysis skills, C, Embedded software, Test cases, Communication skills",3.9,Software Engineer
NVIDIA,System Software Engineer,Pune,7.5,"Operating systems, System architecture, Windows, OS Kernels, C++",4.5,Software Engineer
Enfabrica,Embedded Functional Test Software Engineer,Hyderābād,42.0,"TensorFlow, CI/CD, TCP, Git, OS Kernels",5.0,Software Engineer
Arista Networks,Software Engineer ( DPDK),Bengaluru,6.5,"QoS, Test automation, C++, C, Computer networking",4.1,Software Engineer
Aptiv plc,Advanced Software Engineer,Bengaluru,7.5,"Product development, Telecommunication, IT",3.5,Software Engineer
Panasonic,Software Engineer - COMS/ Loyalty,Pune,7.0,"TCP, Project planning, Application development, OS Kernels, C++",3.8,Software Engineer
Embedded Technology Labs,System Software Engineer,Mumbai,4.0,"Application development, Ethernet, Linux",1.0,Software Engineer
Axiado,Senior Software Engineer,Hyderābād,5.0,"Node.js, Software troubleshooting, R, Encryption, C++",4.1,Software Engineer
Maruti Suzuki India Ltd,Software Engineer (C#),Gurgaon,6.5,"Software deployment, Visual Studio, C#, .NET, SQL",3.8,Software Engineer
Google,"Software Engineer, Power and Performance Software",Bengaluru,6.205882352941177,"Software deployment, Firmware, System design, Android, OS Kernels",4.3,Software Engineer
Arista Networks,Software Engineer (Routing),Bengaluru,6.5,"Computer science, Data center experience, Kubernetes, C++, C",4.1,Software Engineer
Accenture,Advanced Embedded System Engineering-Software Development Engineer,Bengaluru,12.906976744186046,"System architecture, System design, Git, C++, C",3.8,Software Engineer
Grundfos Holding A/S,Senior Software Development Engineer- Embedded C,Chennai,7.0,"MATLAB, Test automation, DHCP, Embedded software, Continuous integration",4.0,Software Engineer
Aptiv plc,Radar Resim Software Engineer,Bengaluru,7.5,"Jira, ADAS, Signal processing, Git, C++",3.5,Software Engineer
"Advanced Micro Devices, Inc",MTS Software Development Eng.,Hyderābād,6.0,"FPGA, C++, C, Communication skills, Python",4.0,Software Engineer
Grundfos Holding A/S,Software Development Engineer,Chennai,7.0,"Visual Studio, C#, Visio, Windows, .NET",4.0,Software Engineer
Molex,Embedded Software Developer,Bengaluru,4.5,"Computer science, 5G, Git, English, C++",3.6,Software Engineer
Analog Devices,Software Engineer – Embedded Testing,Bengaluru,12.0,"MATLAB, Quality assurance, C, Embedded software, Software testing",3.9,Software Engineer
QuEST Global,BLE - Software Engineer,Thiruvananthapuram,6.5,"Software troubleshooting, C, Embedded software, APIs",3.7,Software Engineer
Arista Networks,Software Engineer (Platform),Bengaluru,5.5,"Test automation, C++, C, Computer networking, Software development",4.1,Software Engineer
Lekha Wireless,Software Engineer PHY JD,Bengaluru,4.5,"Signal processing, 5G, Firmware, English, Analysis skills",4.2,Software Engineer
Tesco Technology,Software Development Manager,Bengaluru,30.0,"Java, Product development, Agile",3.8,Software Engineer
Apple,Software Development Engineer - Factory Test Station,Bengaluru,9.426848484848485,"TCP, Internet of things, Big data, Firmware, Objective-C",4.1,Software Engineer
Ambetronics Engineers Pvt. Ltd.,Embedded Software Developer,Mumbai,3.0,"FTP, TCP, Software troubleshooting, Internet of things, Embedded software",2.5,Software Engineer
Reventech Engineering Services,Software Engineer- HMI,Bengaluru,5.763074324324324,"Jira, Git, English, Java, C++",0.0,Software Engineer
nVent,Sr. Software Engineer – Embedded Systems,Bengaluru,8.5,"Jira, TCP, Software troubleshooting, Firmware, Git",3.7,Software Engineer
INTEL,GPU Network Software Engineer,Bengaluru,5.5,"CI/CD, TCP, Go, C, Network management",3.9,Software Engineer
Testcore Solutions,Software Development Validation,Bengaluru,10.0,"Java, Assembly, Embedded software, Software development, Unit testing",0.0,Software Engineer
Qualcomm,GNSS - Location Tech Software Engineer,Bengaluru,5.5,"MATLAB, Signal processing, Data analysis skills, Java, C++",3.9,Software Engineer
Cogoport,Software Development Engineer - I / II / III (Front-end),Mumbai,8.0,"React, JavaScript, Angular, UX, Scalability",2.9,Software Engineer
NVIDIA,System Software Engineer - GPU Profiling,Pune,7.5,"Operating systems, C++, C, Assembly, APIs",4.5,Software Engineer
Arista Networks,Software Engineer- SONiC,Bengaluru,6.5,"Test automation, C++, Docker, C, Redis",4.1,Software Engineer
Onevega system India Pvt Ltd,Senior Software Engineer,Bengaluru,5.5,"Java, Assembly, JavaScript, Embedded software",0.0,Software Engineer
AGCO,Software Engineer - Autosar,Pune,6.5,"Software troubleshooting, Electrical experience, Embedded software, Ethernet, Debugging",3.9,Software Engineer
Boston Consulting Group,Global IT Software Engineer Senior Manager & Chapter Lead,Gurgaon,6.0,"Node.js, CSS, React, DevOps, Information security",4.3,Software Engineer
Zettaone Technologies,Software Engineer,Bengaluru,8.0,"FPGA, Laboratory experience, Git, C++, C",4.1,Software Engineer
Larsen & Toubro,Sr. Software Engineer â€“ Radar UI Design (JD#RSW02),Bengaluru,6.0,"Operating systems, Windows, C++, C, UI",3.4,Software Engineer
Sun King,"Software Engineer, Infrastructure",Remote,15.136379310344827,"CI/CD, Performance tuning, Elasticsearch, TCP, Kubernetes",4.2,Software Engineer
Raja Bahadur International Ltd,OCPP Software Engineer,Pune,5.763074324324324,"Software troubleshooting, Load balancing, Git, Java, Analysis skills",0.0,Software Engineer
unnayan defence technologies,Senior Software Engineer,Hyderābād,8.0,"Image processing, Software troubleshooting, Computer vision, Calculus, SQL",0.0,Software Engineer
Ciena,Software Engineer,Gurgaon,8.0,"Embedded software, Software development, Linux",4.2,Software Engineer
Hewlett Packard Enterprise,Senior Systems/Software Engineer,Bengaluru,15.136379310344827,"TCP, DevOps, English, Local language, Analysis skills",4.2,Software Engineer
Light & Wonder,Software Engineer,Bengaluru,9.0,"CI/CD, TCP, Rust, Internet of things, R",4.0,Software Engineer
Tesco Bengaluru,Software Development Engineer III,Bengaluru,9.950357142857143,"Agile, Communication skills",3.9,Software Engineer
"Advanced Micro Devices, Inc",SMTS Software Development Eng.,Hyderābād,6.0,"5G, Firmware, Git, OOP, C++",4.0,Software Engineer
Western Digital,"Senior Engineer, Software Engineering (Firmware Development)",Bengaluru,6.0,"SAFe, FPGA, System design, OOP, Analysis skills",3.7,Software Engineer
NielsenIQ,Senior Software Engineer - IBMi,Pune,12.906976744186046,"Node.js, WebSphere, DB2, SQL, JavaScript",3.8,Software Engineer
Synaptics Inc.,"Software Engineer, Wireless Connectivity MCU",Bengaluru,9.0,"Firmware, English, Analysis skills, C, Machine learning",3.2,Software Engineer
Ericsson,Software Development Engineer III,Bengaluru,7.5,"Operating systems, System architecture, Firmware, Git, OS Kernels",4.0,Software Engineer
Synaptics Inc.,"Staff Software Engineer, Embedded & Edge AI MCU Software",Bengaluru,9.0,"Firmware, Analysis skills, C++, C, Machine learning",3.2,Software Engineer
SMARTPADDLE TECHNOLOGY,Software Engineer II,Bengaluru,7.0,"Data modeling, NoSQL, Java, Databases, REST",3.4,Software Engineer
MapuSoft Technologies,Software Development Engineer,Chennai,6.0,"Windows, Java, C++, C, Software development",3.3,Software Engineer
Motorola Solutions,Sr Software Engineer,Bengaluru,5.5,"TCP, Microsoft Access, Mobile applications, iOS, Application development",4.3,Software Engineer
vTitan Corporation,Software Test ​ Engineer,Chennai,29.16,"C++, Quality assurance, C, Software development, Software testing",3.9,Software Engineer
Castus Info,Software Developer - Intern (Python),Hyderābād,15.136379310344827,"CSS, Databases, JavaScript, Django, Communication skills",4.2,Software Engineer
CrelioHealth,Junior Software Developer,Pune,6.0,"React, Git, Databases, JavaScript, REST",4.1,Software Engineer
ATHMIN,Software Developer,Noida,12.906976744186046,"Oracle, Microsoft SQL Server, Java, PHP, C++",3.8,Software Engineer
