company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Eightfold.AI,UX Designer,Bengaluru,5.0,"iOS, Visual design, Machine learning, UX, User research",3.2,UX Designer
Wadhwani AI,UI/UX Intern,Delhi,5.871666666666667,"Research, User research, Hindi, AI, Figma",3.2,UX Designer
SAP,User Experience Design Specialist,Bengaluru,7.0,"SAP, ERP systems, English, Machine learning, UX",4.2,UX Designer
Micron,Senior UX designer – IT TBMO,Hyderābād,7.0,"CSS, Research, Adobe Creative Suite, Project management, JavaScript",3.8,UX Designer
SAP,User Experience Design Expert,Bengaluru,7.0,"Enterprise Software, SAP, ERP systems, English, Adobe Creative Suite",4.2,UX Designer
Wadhwani AI,Senior UI/UX Designer,Delhi,5.871666666666667,"Typography, Research, Colour theory, UX, UI",3.2,UX Designer
SAP,Senior User Experience Design Specialist,Bengaluru,7.0,"SAP, ERP systems, English, Machine learning, UX",4.2,UX Designer
cyber hospitality private limited,Front End/UI Developer,Remote,21.0,"Web accessibility, Adobe Photoshop, CSS, React, Adobe Illustrator",0.0,UX Designer
Remunance,Front-end UI Developer – AI Worker Interface,Remote,11.718823529411765,"React, UI, AI",4.5,UX Designer
Dicetek LLC,UI UX Developer,Remote,8.996956521739131,"Jira, Web accessibility, Ant, CSS, React",4.3,UX Designer
Travel Magnet Infotech Private Limited,UI Developer,Hyderābād,12.5,"CSS, Bootstrap, Git, JavaScript, SASS",0.0,UX Designer
Shamlatech,UI Developer,India,10.226190476190476,"CSS, D3.js, JavaScript, Angular, UI",3.7,UX Designer
Fire Bee Techno Services,UI/UX Design Team,India,10.161111111111111,"Graphic design, Usability, User research, Communication skills, Information architecture",4.6,UX Designer
Payatu,Embedded Linux Firmware Developer,Pune,7.5,"Schematics, Firmware, PCB, Analysis skills, Product development",3.8,UX Designer
Rain Infotech,UI/UX Designer,Surat,6.5,,5.0,UX Designer
[x]cube LABS,UI/UX Designer,Hyderābād,6.5,"Adobe Photoshop, Adobe Illustrator, AWS, Adobe XD, MacOS",4.4,UX Designer
Nadcab Technology,UI/UX Developer,Allahabad,3.3,"CSS, Responsive web design, JavaScript, Adobe XD, UX",0.0,UX Designer
Whitefield Careers,UI/UX Lead,Bengaluru,17.5,"CI/CD, Node.js, React, Kubernetes, Git",0.0,UX Designer
Shamlatech,UI Designer,India,10.226190476190476,"Typography, CSS, React, WordPress, Colour theory",3.7,UX Designer
inuksukdigitalmedia,UI/UX Designer,India,2.5,"Adobe Photoshop, Adobe Illustrator, English, Graphic design, Visual design",0.0,UX Designer
Xogar Games,Senior UI/UX Designer,Bengaluru,6.5,"CSS, Responsive web design, Visual design, Adobe XD, Usability",0.0,UX Designer
The Liechtenstein Cryptoassets Exchange,Lead UI/UX Designer,Gurgaon,7.5,"CSS, Axure, Adobe Creative Suite, Continuous improvement, Team management",4.1,UX Designer
Simeio Solutions,UI Developer,Bengaluru,6.0,"AJAX, MVC, Node.js, CSS, JavaScript",4.5,UX Designer
Simeio,UI Developer,Bengaluru,6.0,"AJAX, MVC, Node.js, CSS, JavaScript",4.5,UX Designer
Accenture,Linux-Cloud Operations Engineer,Bengaluru,16.54074074074074,"Cloud infrastructure, AWS, Linux",3.8,UX Designer
NetApp,"Software Engineer (Scala, Python, Linux)",Bengaluru,5.5,"Azure, Go, Node.js, Kubernetes, Data structures",4.1,UX Designer
Mathisys QuantCap LLP,Linux Engineer,Gurgaon,5.0,"System administration, Scripting, Linux, Communication skills, Python",0.0,UX Designer
NTT DATA,Linux Engineer,Hyderābād,30.0,"Cloud infrastructure, Azure, NFS, openSUSE, English",3.8,UX Designer
Accenture,Linux Operations-Cloud Platform Engineer,Bengaluru,16.54074074074074,"Cloud infrastructure, Azure, Linux, IaaS",3.8,UX Designer
Anblicks,Linux Engineer,Hyderābād,6.5,"System administration, Incident management, NFS, Ansible, Software deployment",4.4,UX Designer
Gowra Bits & Bytes,Linux Engineer,Hyderābād,6.0,"NFS, openSUSE, OS Kernels, DHCP, AWS",4.6,UX Designer
Orient Technologies,Sr Cloud Engineer - Linux,Mumbai,5.871666666666667,"Software deployment, AWS, S3, Linux, High availability",3.2,UX Designer
iq infotech,Linux Administrator,India,14.27,"openSUSE, Linux, NGINX",4.4,UX Designer
I2K2 Networks Private Limited,Linux Administrator,Noida,9.0,"Kubernetes, LAN, Databases, Database management, Docker",0.0,UX Designer
Carmatec IT Solutions,Linux System Administrator,Bengaluru,4.5,"System administration, AWS, Scripting, Computer networking, DNS",2.7,UX Designer
Gamemano Pvt .LTD,Linux System Administrator,India,12.0,"System administration, Node.js, Load balancing, Disaster recovery, Git",0.0,UX Designer
Kyndryl,Linux Administrator,Mumbai,5.045,"Microsoft Windows Server, Windows, Embedded software, Linux",3.9,UX Designer
Chi Networks,LINUX ADMINISTRATOR,Delhi,5.903636363636363,"System administration, Software troubleshooting, Load balancing, Tomcat, PHP",3.3,UX Designer
MNJ Software,Linux Administrator with VMware,Remote,13.702499999999999,"System administration, NFS, Load balancing, DevOps, Tomcat",3.6,UX Designer
Shunya Ekai Technologies,Linux Server Administrator,Gurgaon,43.08,"Microsoft Windows Server, FTP, SFTP, TCP, Oracle",4.1,UX Designer
Weblink.In,Urgent Hiring Linux Administrator in Delhi,Delhi,4.5,"Cloud infrastructure, Technical support, AWS, Analysis skills, Database management",4.0,UX Designer
Fullestop / Gempulse Infotech Pvt. Ltd.,Linux Server Administrator,Jaipur,8.5,"FTP, Cloud infrastructure, Azure, DevOps, MongoDB",0.0,UX Designer
Semifront Technologies Private Limited,Linux/System/IT Administrator,India,1.8,"Computer science, NIS, Software troubleshooting, NFS, LAN",0.0,UX Designer
Network People Services Technologies,Linux Administration,Bengaluru,5.585,"Ansible, Tomcat, PostgreSQL, DNS, Linux",3.9,UX Designer
Taragana,Linux System Administrator,Calcutta,3.7,"Database administration, Perl, Scripting, Linux, MySQL",0.0,UX Designer
Propellum Infotech Private Limited.,Linux Administrator,India,6.0,"FTP, TCP, NFS, Tomcat, MongoDB",0.0,UX Designer
Somnetics,System Administrator - Linux,Calcutta,4.84,"Software troubleshooting, NFS, Tomcat, Firewall, Samba",4.4,UX Designer
Prishal technolabs pvt ltd,Linux System Administrator,India,2.1,"System administration, Azure, Kubernetes, Ansible, Firewall",0.0,UX Designer
Carmatec,Linux System Administrator,Bengaluru,4.5,"System administration, AWS, Scripting, Computer networking, DNS",2.7,UX Designer
Stratbeans Consulting,AWS Linux Administrator (ALA),Bengaluru,4.175,"TensorFlow, Elasticsearch, Ansible, openSUSE, Configuration management",3.6,UX Designer
DDigify,Linux Administrator,India,1.8,"Telephony, System administration, VoIP, Database management, Ubuntu",0.0,UX Designer
Resulticks,Linux administrator,Chennai,45.6,"FTP, English, .NET, Information security, PHP",4.2,UX Designer
Arya Omnitalk,Linux Administrator,Pune,4.05,"FTP, System administration, Operating systems, NFS, LAN",3.7,UX Designer
Tivona Global Technologies,Linux Administrator,Chennai,10.161111111111111,"CI/CD, System administration, Software troubleshooting, Kubernetes, Ansible",4.6,UX Designer
Mobzway Technologies,Linux & AWS Intern,Jaipur,16.54074074074074,"Security analysis, Software troubleshooting, AWS, Linux",3.8,UX Designer
Vitel Global Communications,Sr Linux Administrator,India,11.701052631578946,"FTP, System administration, Azure, Software troubleshooting, NFS",3.5,UX Designer
Workmates Core2cloud,Linux Administrator,Calcutta,5.035,"SFTP, Drupal, TCP, Cloud infrastructure, System administration",5.0,UX Designer
Inspirisys Solutions,Linux Admin,Hyderābād,47.28,"Software troubleshooting, Microsoft SQL Server, Japanese, Windows, SQL",3.6,UX Designer
Fullestop,Linux Server Administrator,Rajasthan,13.702499999999999,"FTP, Cloud infrastructure, Azure, MongoDB, OS Kernels",3.6,UX Designer
IIW Hosting,Linux System Admin L1 to L3,Bengaluru,4.125,"Software troubleshooting, Customer service, Word processing, English, PHP",5.0,UX Designer
Anblicks,Linux Engineer,Hyderābād,6.65,"System administration, Incident management, NFS, Ansible, Software deployment",4.4,UX Designer
Motorola Solutions,IT Cloud Operations and DevOps with Linux Admin,Bengaluru,4.75,"System administration, Microsoft Access, Azure, Software troubleshooting, Kubernetes",4.3,UX Designer
ExcelPTP,Linux System Administrator Trainer,India,9.36,"JBoss, System administration, Tomcat, Firewall, SSL",5.0,UX Designer
Apple,Apple Store Online Systems Engineer - Linux DevOps,Hyderābād,17.98952380952381,"CI/CD, Cloud infrastructure, Ansible, Encryption, Git",4.1,UX Designer
Sphinx Solutions,DevOps Engineer with Linux Admin,Pune,6.0,"CI/CD, Cloud infrastructure, System administration, Azure, Kubernetes",3.4,UX Designer
SoCtronics,Embedded Linux Engineer,Hyderābād,6.0,"OS Kernels, C, Linux, Debugging",3.6,UX Designer
A-1 Technology,Embedded Linux development Engineer,Bengaluru,6.5,"OOP, OS Kernels, C++, C, Linux",3.3,UX Designer
techmplish consultancy services,Embedded Linux Kernel Engineer,Bengaluru,20.0,"OOP, OS Kernels, C++, C, Linux",0.0,UX Designer
"Advanced Micro Devices, Inc",Software Development Engineer 2 ( Embedded Linux Kernel development Engineer ),Hyderābād,6.0,"FPGA, Windows, OS Kernels, C++, C",4.0,UX Designer
L&T Technology Services,Embedded Linux development Engineer,Bengaluru,6.5,"OOP, OS Kernels, C++, C, Linux",3.2,UX Designer
MobileProgramming,Embedded Linux development Engineer,Bengaluru,6.5,"OOP, OS Kernels, C++, C, Linux",3.6,UX Designer
Sasken Technologies Limited,SENIOR ENGINEER - KERNEL&DRIVER-LINUX,India,16.54074074074074,"Git, OS Kernels, Linux",3.8,UX Designer
Qualcomm,Customer Success Engineer - Embedded Linux,Hyderābād,13.966521739130435,"Jira, Operating systems, Git, English, Technical support",3.9,UX Designer
Luxoft,Embedded Linux Development Engineer,Bengaluru,5.5,"English, OS Kernels, C++, C, Virtualization",3.7,UX Designer
NVIDIA,Linux Kernel System Software Engineer,Hyderābād,7.0,"Performance tuning, OS Kernels, SoC, C, Embedded software",4.5,UX Designer
CNC Hospitality Pvt Ltd,Linux Engineer - System,Farīdābād,4.5,"TCP, OS Kernels, DHCP, Analysis skills, C",0.0,UX Designer
Dexcel Electronics,Embedded Linux,Bengaluru,48.0,"FPGA, OS Kernels, Embedded software, Linux, Debugging",4.1,UX Designer
Lucy Electric,Embedded Software Engineer - C++ Linux,Vadodara,42.0,"Jira, Microsoft Powerpoint, Microsoft Word, TCP, Operating systems",3.9,UX Designer
Qualcomm,"Linux Kernel Development, Engineer",Hyderābād,42.0,"Data structures, OS Kernels, Linux, ARM",3.9,UX Designer
Dell,"Software Principal Engineer(C, Linux, PLDM, SNMP, Firmware)",Bengaluru,7.5,"FPGA, System architecture, Firmware, C++, C",3.9,UX Designer
Morse Micro,Linux Wi-Fi Driver / Firmware Engineer,Bengaluru,6.0,"Computer science, Firmware, Test automation, Analysis skills, C++",3.8,UX Designer
Hyundai Mobis,Linux BSP - Board Support Package Engineer,Hyderābād,7.0,"OOP, OS Kernels, C++, C, Virtualization",3.3,UX Designer
Timesys Corporation,Embedded Linux BSP/Platform Software Engineer,Chennai,8.0,"Git, OS Kernels, Ethernet, Scripting, Computer networking",2.3,UX Designer
Qualcomm,Principal Engineer - Embedded Linux,Bengaluru,42.0,"5G, Data analysis skills, Java, C++, C",3.9,UX Designer
Motionzen Services,Embedded Software Engineer - Linux Platform,Chennai,3.0,"Schematics, LAN, GPS, Embedded software, WAN",0.0,UX Designer
Pixxel,Sr. Embedded Linux Engineer,Bengaluru,4.5,"FPGA, Data structures, Git, OS Kernels, C++",4.7,UX Designer
NVIDIA,Linux Memory Management Engineer – Tegra SoCs,Pune,5.5,"OS Kernels, Electrical experience, Linux, ARM, AI",4.5,UX Designer
Microvision Electronics Pvt Ltd,Linux Device Development Engineer,India,11.0,"English, OS Kernels, SoC, Driving, Kannada",0.0,UX Designer
ADCI - Karnataka,"Embedded Software Development Engineer - C/C++/Linux-Kernel, Ring",Bengaluru,36.0,"Firmware, OS Kernels, C++, Quality assurance, C",3.6,UX Designer
Vayavya Labs,Linux Multimedia Application Engineer,Bengaluru,48.0,"Application development, OS Kernels, Analysis skills, C++, C",4.1,UX Designer
Vertiv,Team Lead Firmware (Embedded C/C++ And Linux),Pune,6.0,"English, C++, C, Embedded software, Software development",3.6,UX Designer
Beta Soft Technology,Frontend UI Developer,Delhi,5.009090909090909,HTML,3.4,UX Designer
Virtusa,ReactJS Frontend UI Developer,Chennai,6.0,"CSS, Software troubleshooting, React, Performance testing, Java",3.7,UX Designer
Convergint Technologies,Frontend/UI Developer,Bengaluru,8.5,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Azure, Microsoft Outlook",3.7,UX Designer
Yashaa Digital,Freelance UI/UX Developer,Remote,34.56,"Web design, Adobe Photoshop, Typography, CSS, Adobe Creative Suite",5.0,UX Designer
Infoane,UI Developer,Hyderābād,42.0,"Adobe Photoshop, CSS, Bootstrap, JavaScript, Adobe XD",3.8,UX Designer
"E-Motive India Online Limited,",UI Developer,Remote,5.4,"Software troubleshooting, React, Test automation, Git, JavaScript",0.0,UX Designer
