company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Flytxt Mobile Solutions,AI Engineer R&D,Delhi,0.0,"Machine learning, APIs, AI",3.5,AI Engineer
Google,"Staff Machine Learning Engineer, Generative AI",Bengaluru,0.0,"Data structures, System design, Machine learning, Distributed systems, Natural language processing",4.3,AI Engineer
SAP,Chief Architect - SAP AI Core / Generative AI Hub,Bengaluru,0.0,"CI/CD, Azure, Go, Kubernetes, SAP",4.2,AI Engineer
[x]cube LABS,AI Engineer,Hyderābād,550000.0,"TensorFlow, Azure, Software deployment, Google Cloud Platform, Databases",4.4,AI Engineer
QuEST Global,AI Developer and Analyst,Bengaluru,450000.0,"TensorFlow, Azure, Software deployment, Java, Analysis skills",3.7,AI Engineer
HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED,AI Innovation Engineer,Bengaluru,700000.0,"TensorFlow, Azure, CSS, English, Analysis skills",4.1,AI Engineer
Accenture,GN - SONG - Service - Google Gen AI - Analyst,Gurgaon,0.0,"Business intelligence, Avaya, Spark, Analysis skills, Agile",3.8,AI Engineer
Accenture,S&C Global Network - AI - GenAI - Insurance Analytics - Sr.Analyst,Hyderābād,0.0,"Statistics, Azure, Data analysis skills, SQL, AWS",3.8,AI Engineer
Accenture,S&C Global Network - AI - Software & Platform - Gen AI - Specialist,Bengaluru,0.0,"PaaS, Data science, AI",3.8,AI Engineer
TEROBOTS ENTERPRISES AI PVT LTD,FREELANCER - AI ENGINEER,Remote,450000.0,"TensorFlow, Image processing, Azure, Computer vision, Software deployment",,AI Engineer
Patoliya Infotech,Backend Engineer - AWS Generative AI and Cloud Services,India,0.0,"Node.js, NoSQL, Java, Databases, SQL",4.8,AI Engineer
Statfinity Pvt. Ltd.,Conversational AI Engineer,Remote,540000.0,"Authentication, Google Cloud Platform, SQL, AWS, APIs",,AI Engineer
Boston Consulting Group,Global IT Platform Engineer Expert Senior Manager - Gen AI/ LLM Ops,Gurgaon,850000.0,"CI/CD, Cloud infrastructure, Azure, Go, Kubernetes",4.3,AI Engineer
Duoples,AI Engineer,Remote,850000.0,"TensorFlow, Statistics, Image processing, Azure, Computer vision",,AI Engineer
Hashone Careers,Gen AI Production Support Engineer,Hyderābād,600000.0,"CI/CD, Azure, Kubernetes, Software deployment, AWS",5.0,AI Engineer
Qualcomm,"Engineer GenAI,QA",Hyderābād,0.0,"Git, Java, C++, Database management, C",3.9,AI Engineer
Qualcomm,"Engineer, Staff GenAI QA",Hyderābād,0.0,"Git, Java, C++, Database management, C",3.9,AI Engineer
Cerence,Senior AI Engineer - Embedded LLM,India,0.0,"Information security, C++, C, Machine learning, Software development",3.4,AI Engineer
FPL Automobiles Pvt. Ltd.,Edge AI Engineer,India,1400000.0,"TensorFlow, CI/CD, Rust, Software deployment, DevOps",,AI Engineer
Vista Eng Solutions,AI Engineer,India,1750000.0,"CI/CD, Image processing, C#, Git, .NET",,AI Engineer
ideal,AI Developer,Cochin,462000.0,"TensorFlow, Image processing, Software troubleshooting, Internet of things, Computer vision",3.5,AI Engineer
Rapidera Technologies Pvt Ltd,Python Full Stack Developer with Generative AI,Pune,1150000.0,"React, Data structures, NoSQL, SQL, OOP",3.4,AI Engineer
Chimera Technologies,Advanced Gen AI Developer - Python,Bengaluru,0.0,"Git, MongoDB, AWS, Analysis skills, Project management",3.7,AI Engineer
