company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Webcraft It,Android Developer – Backend Libraries Specialist,Remote,950000.0,"Gradle, Android, Java, SDKs, Agile",4.4,App Developer
IT Solutions Management International Pte. Ltd.,Flutter Developer,Remote,1200000.0,"English, UX, Integration testing, GraphQL",,App Developer
Arista Consulting,Application Developer (Fresher),Hyderābād,650000.0,"Software troubleshooting, iOS, .NET, Java, PHP",5.0,App Developer
TalentXo,"IOS Developer (Swift, Cocoa)",Remote,3650000.0,"CI/CD, iOS development, Software deployment, iOS, Git",,App Developer
Teqlawn,Freelance Android Developer,Remote,600000.0,"Software troubleshooting, Java, APIs, Android Development",,App Developer
Pinnacle Global Group,iOS Developer,Remote,360000.0,"iOS development, iOS, Objective-C, Git, REST",,App Developer
Accenture,Application Developer,Hyderābād,0.0,"Database management, Telecommunication, Software development, SDLC",3.8,App Developer
Stellarhire Solutions,Android Developer,Remote,1750000.0,"MVC, Android, Application development, Analysis skills, SDKs",,App Developer
Teqlawn,Freelance App Developer,Remote,600000.0,"Software troubleshooting, iOS development, Mobile applications, iOS, APIs",,App Developer
Snapper IT,Application Developer Fresher,Hyderābād,700000.0,"CSS, React, MongoDB, PHP, OOP",4.3,App Developer
Manyatechnosys private limited,Android Developer,Remote,384067.0,"CI/CD, Gradle, Git, Android, Java",,App Developer
Gnapi Technologies Private Limited,Mobile Developer,India,1014000.0,"CI/CD, Azure, JUnit, Kubernetes, Mobile applications",,App Developer
Reevv Inc,Mobile App Developer,Remote,510000.0,"React, Mobile applications, Application development, Agile, TypeScript",,App Developer
Infoicon Technologies,ANDROID DEVELOPER,Noida,500000.0,"Android, Java, SDKs, REST",4.3,App Developer
ETechDreams Solutions,Android App developer,Remote,282000.0,"Web development, English, Java, Application development, Software development",,App Developer
Prashanthi Balamandira Trust,App Developer,Remote,150000.0,"Mobile applications, Git, Java, UX, APIs",,App Developer
Barclays,Application Developer,Pune,700000.0,"CI/CD, Elasticsearch, Oracle, Relational databases, Git",3.9,App Developer
Saffo Solution Technology,Android Developer -Remote,Remote,0.0,"Git, OOP, SVN, REST, APIs",4.2,App Developer
Pyxidia Softech Pvt Ltd,Web Application Developer (ReactJs),Pune,1850000.0,"CSS, Bootstrap, React, Software deployment, Git",,App Developer
techbeatservice,Android Application Developer,Remote,258000.0,"Performance tuning, Test automation, Git, Android, Java",,App Developer
Microsec Pte. Ltd.,Software / Backend Application Developer,Bengaluru,1000000.0,"CI/CD, Software troubleshooting, Kubernetes, DevOps, Git",4.4,App Developer
Acumont Solutions Private Limited,Application Developer,Hyderābād,1050000.0,"Computer science, Software troubleshooting, Java, Application development, Virtualization",4.2,App Developer
VISANKA TECHNOLOGIES PRIVATE LIMITED,Flutter Developer,Remote,0.0,"MVC, Node.js, Git, PHP, Analysis skills",,App Developer
Analogics Tech India Ltd,Android Developer,Hyderābād,300000.0,"Git, Android, SDKs, REST, Software development",3.3,App Developer
Best Bus,Android Developer(Fresher or Experience),Hyderābād,600000.0,"Performance tuning, Android, Java, SDKs, Business requirements",4.5,App Developer
Limish,Android Developer (1-3 yrs),Remote,0.0,"Android, Java, SDKs",,App Developer
BirlaSoft,Application Developer,Hyderābād,550000.0,"React, Java, Application development, Databases, Microservices",3.6,App Developer
Oracle,Application Developer - React JS,India,0.0,"CI/CD, Oracle, Node.js, Software troubleshooting, React",3.8,App Developer
Anblicks,Back end API application developer,Hyderābād,600000.0,"Java, Microservices, APIs, Spring",4.4,App Developer
Digital Innovations,Flutter Developer(Contract),Remote,330000.0,"CI/CD, iOS development, DevOps, Mobile applications, iOS",,App Developer
Larsen & Toubro,IT - Application Developer,Surat,600000.0,"Power BI, Oracle, CSS, .NET, Java",3.4,App Developer
AVSoft Technologies Private Limited,Application Developer,Dhārwād,480000.0,"Java, Application development, SQL, Database management, REST",,App Developer
Aliqan Technologies,Mobile Developer - Backend/Blockchain Integration Focus,Hyderābād,1200000.0,"Go, Node.js, Encryption, NoSQL, Git",4.6,App Developer
LCX,Android Developer,Gurgaon,1250000.0,"React, Mobile applications, Encryption, Application development, Project management",4.1,App Developer
