company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Antriksh Labs Private Limited,Backend Developer Intern,Remote,30000.0,"CI/CD, Computer science, Node.js, Relational databases, DevOps",,Backend-Developer
Threeway Studio,Backend Developer Trainee,Remote,0.0,"CSS, Git, JavaScript, HTML",,Backend-Developer
Finpoint,Junior Python Backend Developer,Bengaluru,600000.0,"Data modeling, Operating systems, Software deployment, Data structures, Git",5.0,Backend-Developer
Notchup (formerly codemonk.ai),NodeJs Backend Developer,Remote,900000.0,"Node.js, OOP, AWS, PostgreSQL, REST",3.8,Backend-Developer
Zonopact India Pvt. Ltd.,Junior Backend Developer (Spring Microservices),Remote,270000.0,"CI/CD, Relational databases, Git, Java, Databases",,Backend-Developer
Optivisio Infotech Pvt Ltd,Backend Developer,Remote,950000.0,"CI/CD, Node.js, CSS, Software troubleshooting, React",,Backend-Developer
TalentNest Solutions,Intermediate Backend Developer - Immediate Joiner,Remote,750000.0,"PCI, Encryption, Java, Databases, SQL",,Backend-Developer
Altius Technologies,Backend Developer,Remote,60000.0,"Web development, OOP, Software development, Front-end development",,Backend-Developer
Pixel Digital Marketing,Backend Developer,Remote,180000.0,"CI/CD, Azure, Node.js, Kubernetes, Software deployment",,Backend-Developer
Corporate Hierarchy Solutions Pvt. Ltd,Drupal Backend Developer,Remote,1400000.0,"CI/CD, Drupal, Azure, Node.js, CSS",,Backend-Developer
Nithminds Private limited,Python Backend Developer,Remote,950000.0,"Kubernetes, Databases, Docker, REST, Django",,Backend-Developer
Acowale,Backend Developer Internship Remote,Remote,720000.0,"CI/CD, Performance tuning, Azure, Node.js, Database development",4.8,Backend-Developer
connektitude pvt. ltd.,Backend Developer- Node.JS 4Years Immediate Joiners,Remote,800000.0,"Authentication, Node.js, MongoDB, AWS, Scripting",5.0,Backend-Developer
Anblicks,Backend Developer (NodeJs & MongoDB),Hyderābād,700000.0,"Data modeling, Node.js, React, MongoDB, AWS",4.4,Backend-Developer
Starlabs Technologies,Backend Developer Intern,Remote,150000.0,"CI/CD, Node.js, Bootstrap, Web development, Git",,Backend-Developer
Rapifuzz Pvt Ltd,Backend Developer,Gurgaon,1450000.0,"REST, Django, APIs, Python, MySQL",,Backend-Developer
rccenterprises,Backend Developer,India,150000.0,"Web design, Distributed systems, APIs, MySQL",,Backend-Developer
Shopflo,Software Engineer - Backend,Bengaluru,2600000.0,"Azure, Go, NoSQL, Test-driven development, Java",4.9,Backend-Developer
Zcorp,Backend developer,Remote,270000.0,"Git, MongoDB, MySQL",,Backend-Developer
Fiducia Labs Pvt. Ltd.,Backend Developer,Remote,0.0,"Node.js, MongoDB, Express.js, JavaScript, APIs",,Backend-Developer
Optim Hire (LAD Software Solutions Pvt LTd),NodeJs Backend Developer,Bengaluru,1350000.0,"Node.js, CSS, Git, Databases, SQL",3.6,Backend-Developer
Enzigma Software,Jr. Backend Developer,Pune,550000.0,"Azure, Node.js, Software troubleshooting, Git, MongoDB",4.0,Backend-Developer
ClassHose India Pvt. Ltd.,Backend Developer,Haryāna,462000.0,"Azure, Node.js, NoSQL, Git, Google Cloud Platform",5.0,Backend-Developer
NCS Pte Ltd.,Backend Developer,India,0.0,"MongoDB, Java, Application development, Kafka, Spring",3.3,Backend-Developer
Kayana World LTD,Srinagar Based Backend Developer,Jammu,750000.0,"CI/CD, Cloud infrastructure, Cassandra, Kubernetes, DevOps",,Backend-Developer
Innovazive Software PVT. LTD.,"Backend Developer - Python, Django",Remote,300000.0,"Web development, Software deployment, Git, Microservices, Docker",,Backend-Developer
GreedyGame Media,BACKEND DEVELOPER INTERN,Bengaluru,0.0,"Rust, Go, Kubernetes, DevOps, Data structures",4.0,Backend-Developer
Smart Capital Center,Python Backend Developer,Remote,0.0,"CI/CD, Azure, CSS, Software troubleshooting, Kubernetes",3.3,Backend-Developer
NovusArk,Backend Developer,Remote,1000000.0,"Writing skills, Google Cloud Platform, Java, Microservices, REST",,Backend-Developer
crowdpouch,Backend Developer,Bengaluru,600000.0,"Authentication, Node.js, CSS, Test automation, NoSQL",4.0,Backend-Developer
Gida Technologies,Backend Developer,Bengaluru,1000000.0,"Node.js, CSS, Git, JavaScript, PostgreSQL",,Backend-Developer
Codehop Interfusion Private Limited,Backend Developer Intern,Remote,6000.0,"Azure, JUnit, Git, Java, Microservices",,Backend-Developer
AkashX,Senior Backend Developer,Remote,3400000.0,"Azure, Go, Cloud architecture, Node.js, Kubernetes",,Backend-Developer
Cambridge Wealth,Backend Developer,India,400000.0,"CI/CD, AWS, Docker, Continuous integration, APIs",,Backend-Developer
Aviso AI,Backend Developer - Python/Django,Hyderābād,750000.0,"Sales, Software deployment, Data structures, Git, MongoDB",4.3,Backend-Developer
Barclays,ADM - Developer (Backend),Pune,800000.0,"Oracle, Gradle, JUnit, Kubernetes, Java",3.9,Backend-Developer
CronJ,NodeJS Backend Developer,Remote,0.0,"Backbone.js, Node.js, MongoDB, Databases, Express.js",3.3,Backend-Developer
Cyberhaven,Backend Developer - India,Remote,0.0,"Rust, Go, Kubernetes, C#, English",4.7,Backend-Developer
Advansoft,Java Backend Developer,Hyderābād,2600000.0,"Relational databases, DevOps, Java, Databases, PostgreSQL",3.9,Backend-Developer
Auxesis Infotech Private Limited,Drupal Backend Developer,Remote,550000.0,"Drupal, WordPress, Conversion optimization",4.2,Backend-Developer
Virtusa,Java Backend Developer,Bengaluru,550000.0,"Oracle, Test-driven development, MongoDB, Java, Databases",3.7,Backend-Developer
MyWays,Backend Developer,Gurgaon,1350000.0,"Elasticsearch, Git, MongoDB, Databases, Python",,Backend-Developer
INK IN CAPS MEDIA & MARKETING LLP,Backend Developer,Mumbai,1000000.0,"Data modeling, Node.js, Software troubleshooting, Git, MongoDB",,Backend-Developer
Aboveo Services Pvt Ltd,Java Backend Developer,India,1100000.0,"CI/CD, Cloud infrastructure, Software troubleshooting, Kubernetes, Software deployment",3.9,Backend-Developer
ARABIC IT MEDIA PVT LTD,Backend Developer,India,480000.0,"Node.js, MongoDB, Java, AWS, Express.js",,Backend-Developer
V Delever Solutionss pvt ltd,Backend Developer,Remote,850000.0,"Authentication, Azure, Node.js, React, Git",,Backend-Developer
Commutatus,Backend Engineer,Remote,850000.0,"Jira, Git, Research, Database design, REST",4.3,Backend-Developer
PhonePe,SE-Backend,Bengaluru,0.0,"Elasticsearch, NoSQL, Test-driven development, Java, Application development",3.9,Backend-Developer
Shloklabs,Junior Developer (Backend),Coimbatore,750000.0,"Node.js, Git, MongoDB, PostgreSQL, REST",4.0,Backend-Developer
Radixlink Inc,Backend Developer,Remote,350000.0,"CI/CD, Azure, React, Git, Microservices",,Backend-Developer
Tarento Group,Backend Developer,Bengaluru,700000.0,"Node.js, Data structures, Database management, PostgreSQL, APIs",4.0,Backend-Developer
Revnue Corp.,Backend Engineer,Remote,1000000.0,"Software troubleshooting, Web development, Relational databases, Microsoft SQL Server, Process improvement",,Backend-Developer
Repsoft Consultancy Services,Backend Developer,Hyderābād,0.0,,3.7,Backend-Developer
DataArt,Backend Developer (Java),Bengaluru,600000.0,"CI/CD, SSO, Software deployment, Java, Microservices",4.5,Backend-Developer
Evgateway,Backend Developer,Hyderābād,0.0,"Azure, NoSQL, Java, SOAP, REST",,Backend-Developer
Codegate Technologies,Java Backend Developer,Hyderābād,660000.0,"CI/CD, Azure, JUnit, Kubernetes, Git",,Backend-Developer
Aptapace Innovative Technologies Pvt Ltd,Backend Developer,India,360000.0,"Telugu, Azure, Node.js, Software troubleshooting, Git",,Backend-Developer
The INSPiREX,Backend Engineer,Remote,1450000.0,"CI/CD, Go, Google Cloud Platform, MongoDB, Database management",,Backend-Developer
Hewlett Packard,Backend Developer - Portal,Bengaluru,650000.0,"CI/CD, Node.js, Kubernetes, AWS, Docker",4.1,Backend-Developer
Oracle,Backend Developer,Bengaluru,500000.0,"CI/CD, TestNG, Oracle, Go, Kubernetes",3.8,Backend-Developer
Knack Consulting Services Pvt Ltd,Java Backend developer,Bengaluru,450000.0,"Data modeling, Azure, MongoDB, Java, Microservices",3.8,Backend-Developer
Virtual Internships,Backend Engineer (Fully Remote),Remote,0.0,"Data structures, Java, Databases, JavaScript, Distributed systems",4.1,Backend-Developer
NEOSOFT PRIVATE LIMITED,NodeJs Backend Developer,Delhi,1000000.0,"Node.js, Microservices, Express.js, JavaScript, REST",,Backend-Developer
Probo,Backend Developer,Gurgaon,500000.0,APIs,,Backend-Developer
Dwaith Infotech Pvt Ltd,Java Backend Developer,Remote,150000.0,"CI/CD, Kubernetes, DevOps, Git, Java",,Backend-Developer
Abhiman Innovations Pvt Ltd,Backend Developer,India,312000.0,"Node.js, Software troubleshooting, Encryption, NoSQL, Git",,Backend-Developer
GOLDEN LEGAND LEASING AND FINANCE,BACKEND DEVELOPER (0-4),Mumbai,500000.0,"J2EE, Java, SQL, JavaScript, JPA",3.2,Backend-Developer
Parkar Digital,Backend Developer,Pune,450000.0,"Software troubleshooting, DevOps, C#, .NET, Machine learning",2.6,Backend-Developer
Katayani Organics,Backend Developer Intern,Remote,6000.0,"Node.js, Software troubleshooting, MongoDB, REST, APIs",,Backend-Developer
Heart It Out,Backend Developer,Remote,0.0,"WordPress, Data structures, PHP, OOP, AWS",4.3,Backend-Developer
Bizzmirth Holidays PVT. LTD,Junior Backend Developer,Panaji,350000.0,"Git, PHP, APIs, Agile",,Backend-Developer
first phoenics solutions inc,Senior Backend Developer,Remote,1500000.0,"Azure, NoSQL, Java, SOAP, REST",,Backend-Developer
NetConnect Private Limited,Java Backend Developer,Bengaluru,2250000.0,"Relational databases, NoSQL, Git, Java, Databases",3.3,Backend-Developer
superlative business llp,Backend Developer,Delhi,0.0,"Node.js, Git, MongoDB, Java, Databases",,Backend-Developer
Hailify,Junior Backend Engineer,Remote,0.0,"Azure, Web development, .NET Core, C#, Microsoft SQL Server",2.7,Backend-Developer
TravClan Technology India,Backend Developer (SDE I),Delhi,1250000.0,"Elasticsearch, Node.js, Relational databases, NoSQL, MongoDB",3.6,Backend-Developer
Prowebic - Digital Media Services,Node.js Backend Developer,Bengaluru,800000.0,"Node.js, Cassandra, Relational databases, DevOps, NoSQL",,Backend-Developer
IntelliSavvy LLC,Senior Backend Developer Node.js,Remote,0.0,"Node.js, Microservices, AWS, Analysis skills, PostgreSQL",,Backend-Developer
Novo Soft Solutions,Backend Developer,India,400000.0,"Business intelligence, MongoDB, MySQL",,Backend-Developer
Inkle,Backend Engineer Intern,Bengaluru,0.0,"Data modeling, Software troubleshooting, Databases, Django, UI",5.0,Backend-Developer
PureSoftware Technologies Pvt Ltd,Backend Developer,India,0.0,"Java, Spring",3.4,Backend-Developer
KIPL Global,NodeJs Backend Developer,Pune,0.0,"Node.js, CSS, Data structures, NoSQL, Microservices",,Backend-Developer
NAVNIT GROUP,Backend Developer,Mumbai,750000.0,"ASP.NET, MVC, Microsoft SQL Server, APIs",,Backend-Developer
Racter CorpTech Solutions,Backend Developer,Delhi,1750000.0,"Node.js, Kubernetes, Git, Java, Docker",,Backend-Developer
Accel Fintech Pvt. LTD,Backend Developer/Node Js Developer,Gāndhīnagar,650000.0,"Node.js, CSS, React, Git, English",,Backend-Developer
Hugeleap,Golang Backend Developer,Gurgaon,2750000.0,"Azure, Go, Big data, Git, Test-driven development",,Backend-Developer
