company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
petition.io,Blockchain Developer,Remote,0.0,"CI/CD, CSS, Software deployment, DevOps, Git",,Blockchain Developer
Polygon,Blockchain Developer - Integration & Support,Remote,0.0,"Git, JavaScript, SDKs, Computer networking",3.3,Blockchain Developer
Vegavid Technology,Blockchain Developer,Remote,0.0,"Node.js, React, Machine learning",4.9,Blockchain Developer
Appson Technologies,Blockchain Developer,Remote,250000.0,"MongoDB, Microservices, AWS, Software development, HTML",,Blockchain Developer
nPlus technologies,Blockchain Developer,Coimbatore,4800000.0,Encryption,4.4,Blockchain Developer
Ajath Infotech,Blockchain Developer,Gurgaon,2400000.0,"Data structures, Encryption, Java, C++, C",4.1,Blockchain Developer
Shamlatech,Blockchain Developer,India,0.0,"Go, Node.js, Kubernetes, AWS, APIs",3.7,Blockchain Developer
Technology Next,Blockchain Developer,Remote,1080000.0,"React, Encryption, JavaScript, APIs",,Blockchain Developer
smartData Enterprises,Blockchain Developer Freelancer,Remote,600000.0,"Unreal Engine, JavaScript, Unity, Agile, Communication skills",3.9,Blockchain Developer
WebMantra Technologies,Blockchain Developer,India,0.0,"Node.js, Git, Java, Database design, Project management",3.9,Blockchain Developer
Golden Future Technologies,Blockchain Developer,Hyderābād,500000.0,,4.0,Blockchain Developer
Techrevive,Blockchain Developer,Remote,800000.0,"Rust, Software troubleshooting, Software deployment, Encryption, JavaScript",,Blockchain Developer
ClassHose India Pvt. Ltd.,Blockchain Developer,Haryāna,4800000.0,"Azure, Rust, Go, Application development, AWS",5.0,Blockchain Developer
Spearmint technologies,Blockchain Developer,Remote,360000.0,"Rust, Go, Node.js, React, Software deployment",,Blockchain Developer
Capital Placement Services,Blockchain Developer 5 Days Working IT Company Gurugram WFH,Gurgaon,900000.0,"Data structures, Encryption, Tableau, Information security, Java",,Blockchain Developer
Mindtech Services,Blockchain Developer,Pune,550000.0,"Go, Software deployment, Python",,Blockchain Developer
Polygon,Blockchain Growth Specialist,Remote,0.0,"SDKs, Communication skills",3.3,Blockchain Developer
Rain Infotech,Blockchain Developer,Surat,4800000.0,,5.0,Blockchain Developer
Tunelink Networks Pvt Ltd.,Blockchain Developer,India,438000.0,,,Blockchain Developer
ARK Infosoft,Blockchain Developer,Ahmedabad,4800000.0,"Software troubleshooting, Data structures, Encryption, MongoDB, C++",4.9,Blockchain Developer
Creative Thoughts Informatics,Blockchain Developer,Indore,2856000.0,"English, Analysis skills, Usability, Communication skills, Information architecture",4.6,Blockchain Developer
Isotropic Solution Pvt Ltd,Sr. Blockchain Developer,Remote,0.0,,,Blockchain Developer
nextgenit,Blockchain Developer,Delhi,540000.0,"Azure, Go, Software deployment, Data structures, Encryption",,Blockchain Developer
Impact Solution,Blockchain Developer,Lucknow,390000.0,"MongoDB, AWS, Software development, HTML, MySQL",,Blockchain Developer
Harry International,Blockchain Developer,Ahmedabad,500000.0,"Go, Node.js, Data structures, Encryption, Git",5.0,Blockchain Developer
Queppelin,Blockchain Developer,Gurgaon,500000.0,"Data structures, Encryption",3.1,Blockchain Developer
Perscitus Solutions,Blockchain Developer,India,750000.0,"Encryption, Java, Application development, REST, APIs",4.0,Blockchain Developer
ESP Softtech,Blockchain Developer,India,342000.0,"Rust, Encryption, Analysis skills, JavaScript, Software development",,Blockchain Developer
Allied Biztech Solutions,5+ Years Experienced Blockchain Developer | Fully Remote | 20 LPA,Remote,1000000.0,"Azure, Go, Encryption, English, Java",3.0,Blockchain Developer
Technorizen Software,Blockchain Developers,Indore,0.0,,4.7,Blockchain Developer
Calibraint,Blockchain Developer,Chennai,500000.0,"Data structures, Encryption, Information security, Java, C++",4.0,Blockchain Developer
75way Technologies,BLOCKCHAIN DEVELOPER,Panchkula,500000.0,Research,3.7,Blockchain Developer
WebMobril Technologies,Blockchain Developer,Noida,400000.0,,3.4,Blockchain Developer
Brain Inventory,Blockchain Developer,Indore,4800000.0,"Encryption, JavaScript, REST, Scripting, APIs",4.6,Blockchain Developer
Helius Technologies,Blockchain/Solidity Developer,India,0.0,"Node.js, React, English, JavaScript, SDKs",4.2,Blockchain Developer
Ment Tech Labs,Blockchain Developer,Indore,780000.0,"Rust, Go, Node.js, Analysis skills, Software development",,Blockchain Developer
Polygon,Enterprise Blockchain,Remote,0.0,"SDKs, Communication skills",3.3,Blockchain Developer
GFuture Tech pvt ltd,Blockchain Developer,Ahmedabad,600000.0,"Rust, Go, Software troubleshooting, Git, JavaScript",,Blockchain Developer
Codebird Technologies,Blockchain Developer,India,0.0,,4.1,Blockchain Developer
Suffescom Solutions Pvt. Ltd,Blockchain Developer,Mohali,900000.0,"Node.js, React, Git, Application development, JavaScript",,Blockchain Developer
SeQuere Technologies,Jr. Blockchain Developer,Mohali,480000.0,"Rust, React, JavaScript, REST, APIs",,Blockchain Developer
Pragtech,Blockchain Developer,Pune,500000.0,"Node.js, React, JavaScript, jQuery",3.6,Blockchain Developer
Discover WebTech Private Limited,Blockchain developer,Indore,3000000.0,"MongoDB, AWS, MySQL",3.5,Blockchain Developer
techifyhouse,Blockchain Developer,India,0.0,"Node.js, Web development, Git, MongoDB, Project management",,Blockchain Developer
AllHeart Web Pvt Ltd,Blockchain Developer,Chandigarh,750000.0,"Rust, APIs",,Blockchain Developer
CIS,Junior Blockchain Developers,Indore,3600000.0,"React, DevOps, Encryption, Java, PHP",4.3,Blockchain Developer
WFA Consultants,Blockchain Developer,Jaipur,3600000.0,"Node.js, Data structures, Encryption, Java, C++",4.1,Blockchain Developer
ESP softtech pvt ltd,Blockchain Developer,India,500000.0,"Rust, Go, React, Encryption, NoSQL",,Blockchain Developer
Liamtra,Blockchain Developer,Noida,450000.0,Application development,4.2,Blockchain Developer
Fire Bee Techno Services,Blockchain Consultants,India,0.0,"Data structures, Encryption, Information security, AI, Communication skills",4.6,Blockchain Developer
AllHeart Web Pvt Ltd,Sr. Blockchain Developer,Chandigarh,3000000.0,,,Blockchain Developer
Ranolia Ventures,BlockChain Developer,Noida,4200000.0,"Node.js, Mobile applications, Encryption, Git, Test-driven development",4.5,Blockchain Developer
Optim Hire (LAD Software Solutions Pvt LTd),"sr.Blockchain Developer ( Remote, 5+ years, Rust & Substrate, good compensation)",Remote,2250000.0,"Cloud infrastructure, Rust, Node.js, Kubernetes, Docker",3.6,Blockchain Developer
Athh Technologies,Blockchain DEVELOPER,Surat,400000.0,Rust,,Blockchain Developer
ChainCode Consulting,Blockchain Developer (Public),Bengaluru,550000.0,"Cloud infrastructure, Azure, Rust, Go, Node.js",3.8,Blockchain Developer
Neosoft Technologies Pvt.Ltd,Blockchain,Mumbai,450000.0,,3.9,Blockchain Developer
Capital Placement Services,Blockchain Developer 5 Days Working IT Company Remote Work 49,Gurgaon,1500000.0,"Data structures, Encryption, Information security, Java, C++",,Blockchain Developer
Exioms Theory (P) Ltd,Blockchain (Ethereum/Hyperledger) Developer,Pune,4800000.0,"Jira, Node.js, Git, English, Research",3.7,Blockchain Developer
BeeOne Innovations,Blockchain Developer,Cochin,190000.0,"Go, Node.js, React",,Blockchain Developer
SPERICORN TECHNOLOGY Pvt Ltd,Blockchain Developer,India,660000.0,"CI/CD, Rust, Go, DevOps, Encryption",,Blockchain Developer
