company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Hireflex247 India,Backend Developer (Cloud) – Node.js & TypeScript,Bengaluru,550000.0,"Node.js, Google Cloud Platform, Application development, Docker, Agile",5.0,Cloud Engineer
Check Point Software Technologies Ltd.,Cloud Backend Developer,Bengaluru,450000.0,"Elasticsearch, OOP, AWS, Agile, Kafka",3.9,Cloud Engineer
Credy,"Backend Developer (Django, Python, Celery, AWS)",India,0.0,"Git, AWS, Machine learning, PostgreSQL, Redis",3.9,Cloud Engineer
[x]cube LABS,Cloud Penetration Tester,Hyderābād,550000.0,"Penetration testing, Cloud infrastructure, Azure, Writing skills, Test automation",4.4,Cloud Engineer
MagicFinServ,Net + Kubernetes,Remote,0.0,"CI/CD, CSS, Kubernetes, Enterprise Software, .NET Core",,Cloud Engineer
EnactOn Technologies,"Back-end Developer (Python, MongoDB, AWS)",Surat,450000.0,"Elasticsearch, Node.js, Cassandra, React, Big data",4.5,Cloud Engineer
Empenofore Technologies,Cloud Developer,Gurgaon,0.0,"CI/CD, Azure, Node.js, Kubernetes, .NET Core",4.8,Cloud Engineer
Ajmera Infotech,Senior Azure DevOps Engineer (IaaS),Telangana,0.0,"Jira, CI/CD, Cloud infrastructure, Azure, Kubernetes",4.3,Cloud Engineer
Zeta Global,Cloud FinOps Analyst,Bengaluru,0.0,"Cloud infrastructure, Presentation skills, Digital marketing, AI",3.5,Cloud Engineer
Novartis,"Senior Analyst, Marketing Cloud Intelligence",Hyderābād,500000.0,"Power BI, Azure, Business intelligence, Salesforce, Alteryx",4.0,Cloud Engineer
Talenlio,Sr. Cloud/DevOps Engineer,Remote,1750000.0,"Cloud architecture, Business intelligence, Big data, Database design, AWS",,Cloud Engineer
NTT DATA,Salesforce Marketing Cloud_Digital Solution Consultant Analyst,Hyderābād,0.0,"Salesforce Marketing Cloud, CSS, Salesforce, SOAP, SQL",3.8,Cloud Engineer
Covantech,Oracle Fusion Cloud HCM Payroll Analyst,Hyderābād,450000.0,"Microsoft Powerpoint, Hyperion, Oracle, Cloud architecture, Business intelligence",3.6,Cloud Engineer
Google,"Vendor Solutions Consultant, Google Cloud",Hyderābād,0.0,"Google Cloud Platform, Project management, Proposal writing, Presentation skills, Technical project management",4.3,Cloud Engineer
Hirein5,AWS Cloud Engineer,Remote,1300000.0,"CI/CD, Cloud architecture, Software troubleshooting, Kubernetes, DevOps",,Cloud Engineer
