company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
i2e Consulting,Content Writer/ Sr.Content Writer,Remote,0.0,"Project portfolio management, Content creation, SEO, AI, Communication skills",4.2,Content Writer
Guires Solutions Private Limited,Freelance Academic Content Writer (PhD Level -Engineering),Remote,0.0,"Microsoft Word, Google Docs, Writing skills, Machine learning",,Content Writer
Accunai India,Technical Writer - AI/ML & Data,India,390000.0,"Software deployment, Writing skills, Machine learning, Technical writing, AI",,Content Writer
Sprinto,Technical Writer - Remote,Remote,0.0,"Information security, Communication skills",4.2,Content Writer
Pearson,Editorial Administrator,Noida,585500.0,"English, Research, Communication skills",3.7,Content Writer
BlackBerry,QNX- Embedded Technical Writer (Automotive/General Embedded),Hyderābād,700000.0,"ADAS, C++, C, Perl, Technical writing",3.5,Content Writer
Cybrosys Technologies,Content Writer,Kerala,0.0,"Microsoft Word, Google Docs, English",4.3,Content Writer
Aristocrat,Technical Writer,Gurgaon,0.0,"XML, Journalism, English, Research, Microsoft Office",3.7,Content Writer
Logiccircle Pvt Ltd,Academic Writer || Freelancer,Calcutta,1200000.0,"Mechanical engineering, Service writing, Computer science, MATLAB, Civil engineering",3.7,Content Writer
[x]cube LABS,Content Writer,Hyderābād,4800000.0,"Social media marketing, Lead generation, Research, AWS, Analysis skills",4.4,Content Writer
Ably Soft,Associate Content Writer,India,0.0,"Web design, English, Research, Technical writing, Communication skills",3.6,Content Writer
RockYou,Content Writer/Editor (Contract/Intern),Bengaluru,0.0,"Writing skills, English, Communication skills",5.0,Content Writer
[x]cube LABS,Technical Writer,Hyderābād,600000.0,"Microsoft Powerpoint, XML, Microsoft Office, AWS, Product development",4.4,Content Writer
Seertech Systems,Video Editor,Thāne,150000.0,"Microsoft Powerpoint, Adobe Photoshop, Adobe Captivate, English, Communication skills",,Content Writer
Simplify360 (A Nextiva Company),Senior Technical Writer,Bengaluru,4200000.0,"Telephony, Product development, Release management, Software development, Technical writing",4.5,Content Writer
Projectitude,Academic Writer (Freelancer),Remote,270000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Research, Microsoft Office",,Content Writer
Ebizon NetInfo Pvt. Ltd,Freelance AI Indian Writers,Remote,0.0,"English, Content creation, Proofreading, AI, Time management",3.7,Content Writer
Aegis Software,Content strategist / Content writers,Remote,300000.0,"Keyword research, Content creation, Content marketing, SEO tools, Proofreading",,Content Writer
TheQnA.Org,Content Writer Internship,Remote,6000.0,"Creative writing, Writing skills, English, Proposal writing, Technical writing",,Content Writer
BP Energy,Engineering Technical Editor - TSI,Pune,700000.0,"Microsoft Word, English, Technical writing",3.9,Content Writer
HORECASTORE,Ecommerce Product Content Writer,Remote,210000.0,"Keyword research, Writing skills, English, Research, Content creation",,Content Writer
Brain Insight,Technical Content Writer,Vellore,150000.0,"Writing skills, English, Research, Organizational skills",,Content Writer
WordsCloud,Freelance Technical Writer,Remote,330000.0,"Creative writing, Research, SEO, Technical writing, Proofreading",,Content Writer
Kriya Informatics,Research Writer / Developer Expert,Nagercoil,222000.0,"MATLAB, Internet of things, Big data, Research, Software development",,Content Writer
Thirsty Crowz,Technical Content Writer,Villupuram,150000.0,"English, Technical writing, Proofreading",,Content Writer
Softowell,Senior Content Writer,Lucknow,96000.0,"Keyword research, Writing skills, English, SEO, Google Search Console",,Content Writer
Tyler Petroleum,Content Writer,Manjeri,250000.0,"Creative writing, English, Microsoft Office, Content creation, Technical writing",3.0,Content Writer
Stryv Solutions Pvt. Ltd.,Technical Writer,India,850000.0,"Creative writing, Proposal writing, Technical writing, Proofreading",,Content Writer
GUVI,Technical Content Writer,Remote,270000.0,"Writing skills, Content management systems, English, Research, Technical writing",,Content Writer
LatestLY Media Pvt Ltd,Content Writer - Sports Vertical,Remote,498000.0,"WordPress, Writing skills, Content management systems, English",,Content Writer
Job Matchmakers,Technical Writer - Remote,Remote,420000.0,"Microsoft Word, Google Docs, Technical writing, APIs, Agile",,Content Writer
Capital Placement Services,"Technical Writer For IT Company in sector-48,Gurgaon(WFH)",Gurgaon,700000.0,"Microsoft Powerpoint, Interviewing",,Content Writer
Templatic,Technical Writer,Remote,0.0,"Web design, Adobe Photoshop, Bootstrap, WordPress, English",3.5,Content Writer
Coderower Software Pvt Ltd,Technical Writer,Remote,250000.0,"Software development, Technical writing, APIs, Proofreading, SaaS",,Content Writer
APPNEURAL Pvt. Ltd.,Technical Writer Intern,Remote,78000.0,"Microsoft Word, Computer science, Git, English, Confluence",,Content Writer
Sofueled Media Pvt Ltd,Technical Writer Internship,Remote,48000.0,"Social media marketing, WordPress, Social media management, Research, Content creation",1.2,Content Writer
Hippo Innovations Pvt Ltd,Technical Content Writer,Remote,600000.0,"PCI, English, SEO, Technical writing, Google Analytics",,Content Writer
MDI NetworX,Technical Writer - 1 position,Pune,550000.0,,3.7,Content Writer
Larsen & Toubro,Technical Writer - Documentation & Training,India,400000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, XML, English",3.4,Content Writer
Implovate EduTech India,Content Writer,Remote,0.0,"English, Hindi",,Content Writer
Just Compile LLP,Technical Writer,Remote,150000.0,"Microsoft Word, CSS, XML, Visio, Git",,Content Writer
Devolv Studio,Creative Content Writer,Remote,0.0,,,Content Writer
Technvosys,Technical Assignment Writer,Remote,264000.0,"Curriculum development, Writing skills, Research, Analysis skills, Python",,Content Writer
Rite Software Solutions & Services (IN),Technical Writer,Hyderābād,500000.0,Cloud infrastructure,4.1,Content Writer
NLB,Technical Writer,Bengaluru,650000.0,"XML, Creative writing, Technical writing, Proofreading, Communication skills",3.8,Content Writer
JUTEQ Inc,Content Research & Writer,Remote,276000.0,"English, Research, AI, Communication skills, Python",,Content Writer
CyberPoint Pvt.Ltd,Website Content Writer,Gurgaon,150000.0,"Content management systems, English, Research, SEO, Technical writing",,Content Writer
BookMyShow,Technical Writer - I,Mumbai,0.0,"Jira, Microsoft Word, Microsoft Excel, English, Confluence",4.0,Content Writer
GoldCRM,Technical Writer,Hyderābād,500000.0,,4.6,Content Writer
Alkira,Technical Writer (India),Remote,0.0,"Git, Content development, Terraform, Computer networking, Software development",4.2,Content Writer
Soothsayer Analytics,Technical & Proposal Writer,Remote,0.0,"Microsoft Powerpoint, Proposal writing, Technical writing, Data science, AI",3.3,Content Writer
DigitalOcean,Technical Writer,Hyderābād,700000.0,"Cloud infrastructure, Project management, Content creation, Machine learning, SEO",3.7,Content Writer
Oracle,Technical Writer,Bengaluru,750000.0,"Oracle, English, Project management, Communication skills",3.8,Content Writer
AlgoShack,Technical Writer,India,0.0,"Wiki systems, Test automation, Confluence, Organizational skills, Technical writing",4.1,Content Writer
Panasonic,Technical Writer I,Mumbai,450000.0,"Organizational skills, Communication skills, Time management",3.8,Content Writer
All India Institute of occult science,Content Writer (Delhi),Delhi,240000.0,"Keyword research, Writing skills, English, Proofreading, Hindi",,Content Writer
ERP Buddies,Technical Writer,India,0.0,"Microsoft Word, Google Docs, NetSuite, Research, Project management",3.3,Content Writer
Semtech,Technical Writer,Hyderābād,650000.0,"Git, Technical writing, Content management, GitLab, Communication skills",3.2,Content Writer
Akra Tech,TECHNICAL PROPOSAL AND CONTENT WRITER,Remote,0.0,"Research, Proposal writing, Content development, Organizational skills, Technical writing",4.1,Content Writer
Nablasol Digital Services Private Limited,Technical Content Writer- Intern,Remote,1800000.0,"Writing skills, English, Research, Content creation, Content marketing",4.4,Content Writer
RxLogix,Content Writer – Pharmacovigilance,Remote,0.0,"Databases, Content development, Clinical trials, Product demos, Technical writing",3.3,Content Writer
Adela Software and Services,Document Writer - Technical Writer,India,0.0,"English, Accounting",3.4,Content Writer
CSG,Senior Technical Writer,Remote,0.0,,4.1,Content Writer
Trisdel Media Pvt. Ltd.,Content Writer,Remote,240000.0,"Creative writing, Writing skills, English, Research, SEO",,Content Writer
Caze Labs Private Limited,Technical Writer (Storage),India,1500000.0,"Creative writing, Proposal writing, Technical writing, Proofreading, AI",,Content Writer
UST Global,Technical Writer Female,Chennai,0.0,,3.9,Content Writer
American Academy of yoga in medicine,Ghost Writer,Remote,294000.0,"Creative writing, Proposal writing, SEO, Technical writing, Proofreading",,Content Writer
Ultimez Technology,Crypto Analyst And Writer,Remote,450000.0,"Google Docs, Keyword research, SEO tools",4.0,Content Writer
PepsiCo,R&D Packaging Specification Writer,Hyderābād,3528000.0,"SAP, English, Microsoft Office, Communication skills, Product lifecycle management",3.9,Content Writer
Avalara,Technical Writer,Pune,750000.0,"Git, SDKs, REST, APIs, JSON",3.5,Content Writer
Apeiron Global Pvt. Ltd,Technical Content Writer,Hubli,450000.0,"Google Docs, Writing skills, English, Research, Microsoft Office",3.7,Content Writer
Amphenol Omniconnect India Pvt Ltd,Technical writer,Chennai,318000.0,,3.3,Content Writer
Switch2us,Technical Content Writer,Remote,150000.0,"Keyword research, Writing skills, English, Research, Technical writing",,Content Writer
ZNSoftech,Junior Technical Writer,Delhi,0.0,,1.9,Content Writer
Novus Digital,Senior Content Writer,Mumbai,324000.0,"Keyword research, Writing skills, English, Research, Content creation",,Content Writer
Infosys,Content Writer,Bengaluru,700000.0,"Microsoft Powerpoint, Branding, Program management, English, Video production",3.6,Content Writer
SUSE,Technical Writer,India,0.0,"Kubernetes, openSUSE, Git, English, Research",4.0,Content Writer
Procore,Technical Writer,Bengaluru,550000.0,"Jira, XML, Writing skills, Content management systems, English",4.1,Content Writer
Stuba.com,Technical Writer,Pune,750000.0,"Jira, System architecture, Visio, SQL, Analysis skills",,Content Writer
Omprosoft,Technical Content Writer - Numpy,Remote,150000.0,"TensorFlow, WordPress, English, Research, Technical writing",,Content Writer
Hiretick,Technical Writer,Bengaluru,500000.0,"XML, Creative writing, Technical writing, Agile, Proofreading",,Content Writer
TCPWave,Lead Technical Writer,Hyderābād,0.0,,4.7,Content Writer
Cartrabbit,Technical Content Writer,Coimbatore,4200000.0,"WordPress, Salesforce, Trello, Research, SEO",4.0,Content Writer
Vitech,Technical Writer,Hyderābād,4800000.0,"Jira, Writing skills, English, Analysis skills, Confluence",4.9,Content Writer
Thinvent Technologies,Technical Writer,Goa,0.0,"Microsoft Word, Google Docs, CSS, English, Analysis skills",5.0,Content Writer
42Gears,Technical Writer,India,450000.0,"Microsoft Powerpoint, Microsoft Word, Google Docs, Microsoft Excel, CSS",,Content Writer
Wells Fargo,Procedure Writer,Hyderābād,600000.0,"Jira, Microsoft Powerpoint, Microsoft Excel, Writing skills, Visio",3.6,Content Writer
Qogent Learning Solutions,Academic Content Writer,Remote,0.0,"Writing skills, Research, SEO, Content marketing, Organizational skills",4.8,Content Writer
A2K IT Solutions,Technical Writer,India,0.0,"Enterprise Software, Visio, English, Microsoft Office, Software development",5.0,Content Writer
PayPal,Staff Technical Writer,Bengaluru,700000.0,"Git, SDKs, APIs, Communication skills",3.7,Content Writer
Noesys Software Pvt Ltd.,Technical Writer,Bengaluru,650000.0,"English, Data analytics, Technical writing, Communication skills",,Content Writer
Lumel Technologies,Technical Writer,Chennai,550000.0,"Microsoft Word, Technical writing, APIs, Communication skills, Analytics",4.5,Content Writer
LeapSurge,Technical Writer,Bengaluru,750000.0,"English, Microsoft Office, Software development, Technical writing, Information architecture",4.6,Content Writer
Deloitte,Enabling Areas - Technical Content Writer - Information Technology,Mumbai,4200000.0,"Google Docs, Research, Microsoft Office, Analysis skills, Technical writing",4.0,Content Writer
Best Bus,Technical Content Writer,Hyderābād,4800000.0,"Digital marketing, Communication skills",4.5,Content Writer
Sanofi,Scientific Writer,Hyderābād,700000.0,"English, Project management, Content creation, Communication skills",4.0,Content Writer
Consilio LLC,Technical Writer,Bengaluru,450000.0,"Microsoft Word, English, Microsoft Office, Project management, Product demos",3.2,Content Writer
2xSaS,InHouse SaaS Content Writer,Remote,228000.0,"Writing skills, Research, Content creation, SEO, Technical writing",,Content Writer
DigitalOcean,"Technical Writer, Ubuntu Focus",Hyderābād,700000.0,"Cloud infrastructure, System administration, DevOps, Git, English",3.7,Content Writer
Renovision Automation Services Pvt. Ltd,ITIL Technical Writer,Bengaluru,4800000.0,"Project management, ITIL, Communication skills",3.7,Content Writer
42 Gears Mobility Systems,Technical Writer,Bengaluru,600000.0,"Microsoft Powerpoint, Microsoft Word, Google Docs, Microsoft Excel, CSS",4.1,Content Writer
Leegality,Technical Writer,India,0.0,"Git, Java, JavaScript, B2B, APIs",4.9,Content Writer
Programming.com,Technical Writer,Bengaluru,350000.0,"XML, Creative writing, Technical writing, Proofreading, Communication skills",,Content Writer
Phenom People,Senior Technical writer,Hyderābād,500000.0,"Human resources, SaaS, Copywriting",4.0,Content Writer
SailPoint,Technical Writer,Pune,500000.0,"CSS, Writing skills, English, Research, AWS",4.6,Content Writer
Perceptive,Medical Writer,Hyderābād,600000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Clinical research, English",2.7,Content Writer
Spectrum Talent Management,Technical Writer,Bengaluru,800000.0,"Jira, Software troubleshooting, XML, Git, English",3.3,Content Writer
CISPL,Technical Writer,Bengaluru,800000.0,"Microsoft Word, Content management systems, English, Technical writing, Proofreading",,Content Writer
WATI.io,Technical Writer,Remote,0.0,"Technical writing, APIs, LMS, Proofreading, Instructional design",4.4,Content Writer
Adonisstataff Services Pvt. Ltd,Technical Writer,Chennai,950000.0,"Product development, Software development, Technical writing, UI, Proofreading",,Content Writer
Arcesium,Technical Writer (Tech) - Returnship,Hyderābād,700000.0,"English, Analysis skills, Content creation",3.9,Content Writer
Dehazelabs,Entry-Level Proposal Writer,Remote,1200000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, English, Research",3.0,Content Writer
Bread Financial,Technical Writer 1,Bengaluru,500000.0,"Microsoft Word, Journalism, Visio, English, Technical writing",4.5,Content Writer
Gaian Solutions,Sr. Technical Writer,Hyderābād,0.0,,3.3,Content Writer
TechMojo Solutions,Technical Writer (Work from Office),Hyderābād,500000.0,"Jira, Microsoft Word, Writing skills, Research, Confluence",4.1,Content Writer
Metapercept Technology Services and Solutions LLP,Jr. Technical Writer,Pune,600000.0,"XML, English, Technical writing, APIs, Adobe Acrobat",,Content Writer
Vehant Technologies,Technical Writer,Noida,650000.0,"Microsoft Word, Computer science, Git, English, Quality assurance",4.4,Content Writer
SISL Infotech,Technical Document/Content Writer(0 to less than 2 years relevant experience),India,0.0,,4.1,Content Writer
Rubrik Job Board,Technical Writer,Bengaluru,550000.0,"XML, Git, English, Machine learning, GitHub",3.7,Content Writer
Zaliyo Technologies,Content Writer,Remote,0.0,,4.0,Content Writer
