company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
cloudsek,Threat Intelligence Researcher,Delhi,0.0,"Encryption, Machine learning, Cybersecurity, Communication skills",3.8,Cybersecurity Specialist
cloudsek,Cyber Security Analyst/ Researcher,Bengaluru,550000.0,"Penetration testing, Encryption, Java, Firewall, Machine learning",3.8,Cybersecurity Specialist
cloudsek,Threat Intelligence Researcher - Dark/Deep Web,Bengaluru,550000.0,"Go, Encryption, Research, Information security, Analysis skills",3.8,Cybersecurity Specialist
Nouveau Labs,Cyber Threat Researcher,Bengaluru,500000.0,"Research, Information security, Analysis skills, Machine learning, Communication skills",3.8,Cybersecurity Specialist
News Corp,"Analyst, Cyber Threat Intelligence",Bengaluru,450000.0,"Writing skills, Research, Information security, Analysis skills, Communication skills",3.4,Cybersecurity Specialist
Fortinet,Cyber Threat Intelligence Analyst,Pune,0.0,"Writing skills, Arabic, English, Japanese, Research",3.8,Cybersecurity Specialist
Compile,Lead Cyber Threat Intelligence Analyst,Remote,0.0,"Information security, Scripting, APIs, SIEM, Fraud prevention and detection",4.0,Cybersecurity Specialist
HSBC,Cyber Threat Intelligence /Lead Analyst,Hyderābād,3000000.0,"English, JavaScript, Scripting, APIs, Cybersecurity",3.9,Cybersecurity Specialist
Quick Heal,Security Analyst,Pune,4200000.0,"Penetration testing, Information security, Nessus, Burp Suite, Nmap",3.8,Cybersecurity Specialist
Unisys,Cybersecurity Analyst,Bengaluru,450000.0,"Microsoft Windows Server, SOX, Information security, Analysis skills, IDS",3.6,Cybersecurity Specialist
KLDiscovery,Information Security Analyst (Remote),Remote,0.0,"Azure, FedRAMP, PCI, Customer service, Encryption",3.8,Cybersecurity Specialist
Wolters Kluwer,Jr Risk Analyst,India,0.0,"Information security, Risk management",3.7,Cybersecurity Specialist
Crypto Mize,Cyber Intelligence Analyst,Delhi,0.0,"Statistics, Research, Information security, Analysis skills, Less",4.8,Cybersecurity Specialist
NTT DATA,Associate Managed Services Information Security Analyst,Hyderābād,700000.0,"Security analysis, Customer service, LAN, Windows, Information security",3.8,Cybersecurity Specialist
NTT DATA,Associate Information Security Analyst,Hyderābād,700000.0,"Security analysis, LAN, Windows, Information security, Firewall",3.8,Cybersecurity Specialist
HSBC,Cybersecurity Monitoring and Threat Detection Lead Analyst/Lead Analyst,Hyderābād,450000.0,"PCI, English, Local language, Quality assurance, NIST standards",3.9,Cybersecurity Specialist
Novo Nordisk,Product Security Analyst,Bengaluru,900000.0,"Databases, Analysis skills, Data analytics, Data science",4.3,Cybersecurity Specialist
Altera Digital Health India,IT Cyber Defense Analyst,Pune,650000.0,"FTP, TCP, Azure, PCI, Encryption",3.5,Cybersecurity Specialist
Smiths Group,Cyber Security Analyst,Pune,500000.0,"Research, Information security, Firewall, Analysis skills, Cybersecurity",3.0,Cybersecurity Specialist
Exela Technologies,Security Analyst,Chennai,3600000.0,"Firewall, IDS, Network protocols, Scripting, SIEM",3.6,Cybersecurity Specialist
EY,Cyber Incident Response - Junior Incident Coordinator,India,0.0,"Incident management, Customer service, Windows, Information security, Splunk",3.7,Cybersecurity Specialist
Western Union,Information Security Analyst (SOC Analyst),Pune,0.0,"Information security, Firewall, SSL, Organizational skills, SIEM",3.6,Cybersecurity Specialist
Unisys,Cybersecurity Sr. Analyst,Bengaluru,700000.0,,3.6,Cybersecurity Specialist
Visa,"Sr. Cybersecurity Analyst, Cyber Security Analyst (global scam campaigns & Payments)",Bengaluru,600000.0,"PCI, Information security, Customer relationship management, Data analytics, Fraud prevention and detection",3.9,Cybersecurity Specialist
NetApp,Network Security Engineer / Incident response engineer / SOC Analyst,Bengaluru,800000.0,"TCP, Customer service, Microsoft Office, Information security, SQL",4.1,Cybersecurity Specialist
Hella,Cyber Security Analyst,Gurgaon,550000.0,"Windows, IDS, Scripting, Computer networking, Linux",4.0,Cybersecurity Specialist
PwC,Cyber - TDR Associate L1 India__Migrated - Associate - Operate,Bengaluru,0.0,"TCP, PCI, Information security, Firewall, IDS",3.8,Cybersecurity Specialist
TriNet,Senior Security Analyst,Hyderābād,650000.0,"English, Analysis skills, ServiceNow, SIEM, Cybersecurity",3.6,Cybersecurity Specialist
Jobbycart Technologies,Sr . Cyber Security Engineer(VAPT),Coimbatore,1200000.0,"Penetration testing, Cloud infrastructure, PCI, Information security, Firewall",,Cybersecurity Specialist
Simeio Solutions,Lead Identity Engineer - CyberArk,India,0.0,"Microsoft Windows Server, ServiceNow, Active Directory, Workday, Identity & access management",4.5,Cybersecurity Specialist
KPMG,Technology Consulting-DT Cyber Defense Analyst,Mumbai,500000.0,"Penetration testing, TCP, Oracle, SAP, NoSQL",3.7,Cybersecurity Specialist
Deloitte,T&T-Cyber-D&R-SOC-Consultant-Mumbai,Mumbai,750000.0,"TCP, Project management, IDS, DNS, TCP/IP",4.0,Cybersecurity Specialist
Crypto Mize,Information Security Analyst,Delhi,0.0,"Operating systems, iOS, Encryption, Windows, Information security",4.8,Cybersecurity Specialist
Crypto Mize,Cyber Forensics Expert,Delhi,0.0,"Information security, Supervising experience, Computer forensics, Chef, Communication skills",4.8,Cybersecurity Specialist
Omnissa,Senior Information Security Analyst,Bengaluru,700000.0,"Azure, PCI, Information security, Scripting, SIEM",4.1,Cybersecurity Specialist
Deloitte,T&T-Cyber-Defense & Resilience-SOAR-DM-Bengaluru,Bengaluru,0.0,"PCI, Information security, IDS, Splunk, Agile",4.0,Cybersecurity Specialist
"Advanced Micro Devices, Inc",Sr. Information Security Analyst,Hyderābād,500000.0,"Azure, IT service management, Information security, AWS, NIST standards",4.0,Cybersecurity Specialist
Ankura,"Associate, Cybersecurity MDR",Gurgaon,550000.0,"Lucene, TCP, Azure, English, Research",3.9,Cybersecurity Specialist
Expedia Group,Security Engineer III,Gurgaon,650000.0,"Software deployment, Java, AWS, C++, C",3.8,Cybersecurity Specialist
Sandoz,CyberArk Engineer,Telangana,0.0,"Power BI, Azure, English, Windows, Information security",3.9,Cybersecurity Specialist
Identity and Access Solutions LLC,CyberArk Engineer,Remote,1000000.0,"Microsoft Windows Server, SAP, Java, LDAP, Scripting",,Cybersecurity Specialist
Ema,Security Engineer - Intern,Bengaluru,0.0,"Penetration testing, Azure, Burp Suite, APIs, Nmap",5.0,Cybersecurity Specialist
IATOCS PVT LTD,Cyber Security Engineer,Remote,1000000.0,"PCI, English, Information security, NIST standards, ISO 27001",,Cybersecurity Specialist
Sennovate,Security Engineer,Remote,1000000.0,"CI/CD, Penetration testing, Azure, Encryption, English",,Cybersecurity Specialist
Finapinc,Detection Security Engineer in Sentinel and Defender,Pune,390000.0,"Azure, Incident management, Software deployment, Analysis skills, Cybersecurity",,Cybersecurity Specialist
Eltropy,Cybersecurity Engineer,Bengaluru,600000.0,"Cybersecurity, Communication skills",4.0,Cybersecurity Specialist
Duoples,Cyber Security Engineer,Remote,420000.0,"Azure, Operating systems, Encryption, Windows, Firewall",,Cybersecurity Specialist
Omnissa,Staff Engineer - Penetration Tester,Bengaluru,700000.0,,4.1,Cybersecurity Specialist
Scrut Automation,Security Engineer,Remote,0.0,"Azure, Information security, Product development, Scripting, ISO 27001",4.3,Cybersecurity Specialist
Natobotics Technologies Private Limited,Cyber Security Engineer,Noida,2050000.0,"Azure, PCI, Information security, Nessus, IDS",,Cybersecurity Specialist
Invesco,Junior Risk Analyst,Hyderābād,600000.0,,3.8,Cybersecurity Specialist
Amantya Technologies,Embedded Cybersecurity Engineer,Bengaluru,750000.0,"Jira, Encryption, Git, PKI, OS Kernels",3.6,Cybersecurity Specialist
LG Soft India,Research Engineer-Automotive Cybersecurity,Bengaluru,700000.0,"Encryption, OS Kernels, C++, C, APIs",3.3,Cybersecurity Specialist
ALSTOM,Cybersecurity Engineer,Bengaluru,4800000.0,"Operating systems, Windows, Firewall, Presentation skills, IDS",3.8,Cybersecurity Specialist
Volvo Group,Cybersecurity and Functional Safety Engineers,Bengaluru,3000000.0,"Software deployment, PKI, Project management, Ethernet, Agile",4.2,Cybersecurity Specialist
Defence Master India,Cyber Security Engineer,Chennai,600000.0,"Microsoft Windows Server, System administration, Operating systems, Software deployment, LAN",,Cybersecurity Specialist
Axiado,SQA Network Security Engineer,Hyderābād,600000.0,"TCP, Node.js, LAN, Firewall, DHCP",4.1,Cybersecurity Specialist
