company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
VWorker Solutions India Pvt Ltd,Data Analyst,Remote,180000.0,"Power BI, Data mining, Business intelligence, Relational databases, Tableau",,Data Analyst
Epsilon,Data Analyst 1,Bengaluru,1000000.0,"Cognos, Power BI, Big data, R, Tableau",3.9,Data Analyst
Smiths Group,Data Analyst,Pune,700000.0,"Power BI, Microsoft Excel, Business intelligence, Relational databases, Databases",3.0,Data Analyst
Techtiera Sdn Bhd,Data Analyst - Dataiku,India,2150000.0,"Spark, Data analysis skills, Apache Hive, Research, SQL",3.3,Data Analyst
Institutional Shareholder Services,Junior Data Analyst,Mumbai,600000.0,"English, Microsoft Office, Analysis skills, Data collection",3.5,Data Analyst
Mordor Intelligence,Research Associate - Data Analyst,India,0.0,"Power BI, R, Research, Tableau, SQL",3.7,Data Analyst
The Night Marketer,Data Analyst Intern,Remote,90000.0,"Power BI, Business intelligence, Data analysis skills, Analysis skills, Scripting",,Data Analyst
Nithminds Private limited,Data analyst - immediate joiner,Remote,4000000.0,"Power BI, Data modeling, Azure, Data analysis skills, Microsoft SQL Server",,Data Analyst
Axion Ray,Data Analyst,Bengaluru,700000.0,"R, Machine learning, Natural language processing, Data science, Manufacturing",3.9,Data Analyst
Indxo.AI,Junior Data Analyst,Bengaluru,210000.0,"Power BI, Data modeling, Microsoft Excel, R, Tableau",,Data Analyst
Hewlett Packard,Data Analyst,Bengaluru,850000.0,"Power BI, Operating systems, Data analysis skills, English, Windows",4.1,Data Analyst
SMA Solar India,Data Analyst,Hyderābād,550000.0,"Power BI, Business intelligence, Relational databases, Salesforce, R",4.0,Data Analyst
GP Strategies Corporation,Business Data Analyst 2,Chennai,850000.0,"Microsoft Powerpoint, Power BI, Business intelligence, Business analysis, Data entry",3.4,Data Analyst
Increasingly,Data Analyst,Bengaluru,700000.0,"Power BI, Microsoft Excel, Data mining, Business intelligence, R",4.9,Data Analyst
Boston Consulting Group,"Data Analyst, Client Ops, Predictive, India- X Delivery",Gurgaon,650000.0,"Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.3,Data Analyst
Boston Consulting Group,Global Data Analyst Senior Specialist,Gurgaon,650000.0,"Power BI, Business intelligence, Tableau, SQL, Agile",4.3,Data Analyst
Tricon Energy,Data Analyst - Night Shift,Mumbai,4200000.0,"Statistics, Microsoft Excel, English, Databases, Data entry",3.7,Data Analyst
Priceline.com,Data Analyst,Mumbai,450000.0,"Microsoft Excel, Oracle, Business intelligence, Relational databases, Tableau",3.8,Data Analyst
Dr. Design Pvt. Ltd.,Data Analyst,India,450000.0,"ArcGIS, Data analysis skills, SQL, Analysis skills, Database management",,Data Analyst
Institutional Shareholder Services,Junior Data Analyst (PGDM Finance Freshers),Mumbai,600000.0,"English, Microsoft Office, Analysis skills, Data collection",3.5,Data Analyst
S&P Global,Data Analyst,Ahmedabad,500000.0,"Analysis skills, Computer skills, Communication skills",4.1,Data Analyst
Exillar Infotech Private Limited,Data Analyst,India,0.0,"Power BI, Business intelligence, Tableau, Machine learning",,Data Analyst
RP2,Data Analyst Intern,Cochin,60000.0,"Big data, SQL, Analysis skills, Data analytics, Python",,Data Analyst
Naresh I Technologies,Data Analyst Faculty,Hyderābād,800000.0,"Statistics, Big data, R, Tableau, SQL",3.7,Data Analyst
Nineleaps,Data Analyst,Bengaluru,800000.0,"Power BI, Business intelligence, Tableau, SQL, Data visualization",4.2,Data Analyst
Zeta Global,Data Analyst,Hyderābād,950000.0,"SFTP, Oracle, SAP, Microsoft SQL Server, Databases",3.5,Data Analyst
Expertrons,Data Analyst,Hyderābād,1150000.0,"Power BI, Data modeling, Azure, R, Data analysis skills",4.0,Data Analyst
DB CONSUMER PRODUCTS,Data Analyst,Calicut,192000.0,"Microsoft Excel, Data analysis skills, English, Tamil, Analysis skills",,Data Analyst
Stantec,Data Analyst,Pune,450000.0,"Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Data analysis skills",3.8,Data Analyst
iCIMS Talent Acquisition,Data Analyst,Hyderābād,4800000.0,"Microsoft Excel, Tableau, SQL, Data analytics, Communication skills",3.8,Data Analyst
Ollion,Data Analyst,Bengaluru,600000.0,"Power BI, Data modeling, Azure, R, Data analysis skills",3.4,Data Analyst
Shubhashray Housing India,Data Analyst,Gurgaon,3000000.0,"Microsoft Excel, Data analysis skills, Research, Java",4.4,Data Analyst
Adecco Group,Reporting Analyst,Bengaluru,0.0,"Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel",3.6,Data Analyst
ASSPL - Karnataka,"Data Analyst, FCGT, Local Shops on Amazon",Bengaluru,700000.0,"Microsoft Excel, Data mining, Business intelligence, SAS, Business analysis",3.6,Data Analyst
Novisync,Data Analyst,Visakhapatnam,400000.0,"Data mining, Customer service, Spark, Java, SQL",3.4,Data Analyst
Microsoft,Scaled Solutions and Insights Data Analyst,Bengaluru,600000.0,"Program management, Business intelligence, Data analysis skills, Financial analysis, Agile",4.2,Data Analyst
ANSHIKA FASTENERS PRIVATE LIMITED,Business Data Analyst,Nāgpur,150000.0,"CRM software, Statistics, Computer science, Power BI, Data modeling",,Data Analyst
TechnipFMC,Data Analyst II,Hyderābād,600000.0,"Jira, Power BI, SAFe, Data modeling, Business intelligence",4.2,Data Analyst
Winsmart Jobs,Data Analyst,Delhi,350000.0,"Power BI, Business intelligence, R, Data analysis skills, Tableau",,Data Analyst
Zessta,Data Analyst,Hyderābād,500000.0,"Power BI, Business intelligence, R, NoSQL, Tableau",4.6,Data Analyst
Group 8A,Data Analyst,India,0.0,"Microsoft Powerpoint, Facebook Advertising, Enterprise Software, SQL, Presentation skills",2.5,Data Analyst
ICON Plc,"Data Analyst I - Radiography, CT & MRI exp.",Chennai,500000.0,"Microsoft Excel, Microsoft Access, Oracle, XML, Quality assurance",3.7,Data Analyst
Hewlett Packard,Supply Chain - Data Analyst,Chennai,700000.0,"Statistics, Power BI, Business intelligence, R, Tableau",4.1,Data Analyst
S&P Global,Data Analyst Japanese Expert,Hyderābād,3000000.0,"Microsoft Word, Microsoft Excel, Microsoft Outlook, Lean, English",4.1,Data Analyst
systems plus,Reporting Analyst,Pune,650000.0,"Microsoft Powerpoint, Power BI, Microsoft Excel, Business intelligence, Salesforce",2.9,Data Analyst
Paul Mason Consulting India,Data Analyst,Vadodara,4800000.0,"Power BI, Data modeling, Microsoft Excel, Azure, Business intelligence",4.0,Data Analyst
"Intercontinental Exchange Holdings, Inc.",Data Analyst,Pune,700000.0,"Business intelligence, XML, Business analysis, Data analysis skills, Tableau",3.4,Data Analyst
BSI Financial Services,Data Analyst,Gurgaon,600000.0,"Data modeling, Spark, Git, Java, SQL",3.7,Data Analyst
Cummins Inc.,Market Insights Data Analyst,Pune,750000.0,"Power BI, Analysis skills, Project management, Market research, Data analytics",4.0,Data Analyst
mPower Software Services,Business Data Analyst (Digital Analytics),Bengaluru,600000.0,"Social listening, Web analytics, Business intelligence, Salesforce, Google Tag Manager",3.7,Data Analyst
MidTown Software,DATA ANALYST/ SCIENTIST,Mohali,4800000.0,"Statistics, Power BI, Business analysis, Databases, SQL",5.0,Data Analyst
Avathon,Data Analyst,Bengaluru,0.0,"Power BI, Relational databases, R, Microsoft SQL Server, Tableau",3.1,Data Analyst
Marrina Decisions,REMOTE (INDIA): Marketing Data Analyst,India,0.0,"Power BI, Data modeling, Data mining, Business intelligence, Data analysis skills",4.3,Data Analyst
SYNERGOS CONSULTING SERVICES,Ad Performance Reporting Analyst,Bengaluru,700000.0,"Microsoft Excel, Salesforce, Analysis skills, Data visualization, Communication skills",4.2,Data Analyst
Impressico Business Solutions,Data Analyst,Noida,500000.0,"Power BI, Omniture, English, Tableau, SQL",4.4,Data Analyst
"Bluecore, Inc.",Strategy Data Analyst,Noida,500000.0,"Business intelligence, English, SQL, Data science, Communication skills",3.7,Data Analyst
HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED,Data Analyst,Chennai,3600000.0,"Pricing, Power BI, Azure, Business intelligence, Relational databases",4.1,Data Analyst
RightWave,Data Analyst,Noida,4200000.0,"Power BI, Microsoft Excel, SQL, Analysis skills, Google Analytics",4.4,Data Analyst
Comcast Corporation,Data Analyst 3,Chennai,500000.0,"Business intelligence, Machine learning, Software testing",3.8,Data Analyst
Squalas,Data Analyst (ONSITE – EUROPE),Hyderābād,4800000.0,"Power BI, Business intelligence, Tableau, SQL, PostgreSQL",5.0,Data Analyst
Legalwiz,Data Analyst,India,0.0,"Power BI, Microsoft Excel, Data mining, R, Tableau",4.5,Data Analyst
Amex,Analyst-Data Analytics,Gurgaon,650000.0,"Statistical software, Power BI, Microsoft Excel, Data mining, SAS",4.1,Data Analyst
PiWheel,Data Analyst,India,0.0,"Power BI, Microsoft Excel, R, Data analysis skills, Tableau",4.0,Data Analyst
Microsoft,Senior Data Analyst,Hyderābād,600000.0,"Power BI, Azure, Business intelligence, Big data, Supply chain",4.2,Data Analyst
S&P Global,"Data Associate, Land Data Analyst",Bengaluru,600000.0,"Relational databases, Oil & gas, Databases, SQL, Agile",4.1,Data Analyst
RSM US LLP,Finance Data analyst,Bengaluru,450000.0,"Power BI, Microsoft Excel, Business intelligence, Visual Basic, Microsoft Office",3.7,Data Analyst
Colruyt IT Consultancy India,Data Analyst,Hyderābād,550000.0,"Computer science, Power BI, Azure, Business intelligence, SAP",3.9,Data Analyst
Institutional Shareholder Services,ESG Data Analyst : ESG Newsroom,Mumbai,600000.0,"Microsoft Word, Power BI, English, Research, Analysis skills",3.5,Data Analyst
Jolera Inc.,Data Analyst,Mumbai,550000.0,"Elasticsearch, Power BI, Microsoft Excel, Azure, Business intelligence",3.7,Data Analyst
Ameriprise India,Group Lead Business Insights Analyst,Gurgaon,700000.0,"Tableau, SQL, AWS, Communication skills, Python",3.8,Data Analyst
