company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Warrior tech solutions,SQL Developer,Remote,500000.0,"Relational databases, Data structures, Databases, SQL, Database design",,Data Base Administrator
Metaphor Consulting,SQL Fresher Developer,Jamshedpur,500000.0,SQL,5.0,Data Base Administrator
Corporate Hierarchy Solutions Pvt. Ltd,SQL Developer,India,1800000.0,"Microsoft SQL Server, Databases, SQL, Analysis skills, Database management",,Data Base Administrator
KJ Systems India,DataBase Developer (SQL),India,2400000.0,"SQL, Analysis skills, Communication skills",3.8,Data Base Administrator
Jinendra infotech pvt ltd.,T-SQL Developer.,Remote,850000.0,"Power BI, Data modeling, Azure, Microsoft SQL Server, Databases",,Data Base Administrator
Dream Tekis Software,SQL Developer,Hyderābād,500000.0,"Relational databases, Microsoft SQL Server, SQL, Database design, Debugging",3.7,Data Base Administrator
Tru View,SQL Developer / Analyst,India,550000.0,"Oracle, SQL, Analysis skills, PL/SQL",4.4,Data Base Administrator
Chai Waale,SQL Developer,Remote,1450000.0,"Performance tuning, Power BI, Azure, Oracle, Microsoft SQL Server",,Data Base Administrator
Corporate Hierarchy Solutions,SQL Developer,Hyderābād,2050000.0,"Microsoft SQL Server, Databases, SQL, Database management, PL/SQL",,Data Base Administrator
Dinero Solutions,Senior SQL Developer,Hyderābād,1750000.0,"Microsoft SQL Server, SQL, Analysis skills, SSIS",,Data Base Administrator
Cherri Technologies,SQL Developer,India,210000.0,"Relational databases, Databases, SQL",3.4,Data Base Administrator
Admin Looks,SQL Developer,Remote,990000.0,"Power BI, Oracle, DB2, Microsoft SQL Server, SSRS",,Data Base Administrator
Wellpoint IT Solutions,SQL Developer,India,0.0,"Performance tuning, Microsoft SQL Server, SQL, SSIS",4.6,Data Base Administrator
Flipkoins,Database Developer – SQL - Remote - Indian Timezone,Remote,0.0,"Microsoft SQL Server, SQL, PostgreSQL, SSIS, Communication skills",4.7,Data Base Administrator
Dinero Solutions,SQL Developer,Pune,1750000.0,"Java, Databases, SQL, Analysis skills",,Data Base Administrator
rccenterprises,SQL Developer,India,0.0,"Microsoft Access, Oracle, Business intelligence, Microsoft SQL Server, SQL",,Data Base Administrator
Technoforte Software Pvt. Ltd,Oracle PL/SQL Developer,India,350000.0,"Oracle, SQL, Analysis skills, PL/SQL, Shell Scripting",,Data Base Administrator
Jiza Hiring Solutions,Junior SQL Developer,Ponda,350000.0,"Power BI, Azure, Tableau, Databases, SQL",,Data Base Administrator
CAPCO,PL/SQL Developer,Bengaluru,550000.0,"Data modeling, Oracle, Tableau, Databases, SQL",3.7,Data Base Administrator
rccenterprises,MS SQL Developer,India,240000.0,"Microsoft SQL Server, Databases, SQL, Analysis skills",,Data Base Administrator
Zensar Technologies,Sr. PL/SQL Developer,Hyderābād,1600000.0,"Microsoft SQL Server, SQL, Database administration, Database management, Data management",3.9,Data Base Administrator
Moksha Softlabs,SQL Developer,India,800000.0,"Oracle, Microsoft SQL Server, SQL, Analysis skills, PL/SQL",,Data Base Administrator
Novatech Software,Junior Database Developer,Nāgpur,600000.0,"Performance tuning, Data modeling, Oracle, Microsoft SQL Server, SQL",3.1,Data Base Administrator
Ivalueplus Services Private Limited,SQL Developer,Haryāna,550000.0,"Performance tuning, SQL, Database design, Analysis skills, Agile",4.8,Data Base Administrator
Citta Solutions,SQL Developer,Remote,0.0,"C#, Microsoft SQL Server, .NET, SQL, Scripting",3.4,Data Base Administrator
Dicetek LLC,Engineer - ETL and PL/SQL Developer,Remote,0.0,"Oracle, Microsoft SQL Server, SQL, SSIS, Informatica",4.3,Data Base Administrator
Renous Consulting,PL/SQL Developer,Gurgaon,850000.0,"Performance tuning, Data modeling, Oracle, Software troubleshooting, Databases",3.2,Data Base Administrator
Mani India Technologies,SQL Server Developer with Power Apps Expertise,Remote,150000.0,"Database development, Encryption, Microsoft SQL Server, SQL, Database design",,Data Base Administrator
HealthAsyst,SQL Developer,Bengaluru,700000.0,"Buffer, C#, Microsoft SQL Server, .NET, SQL",3.7,Data Base Administrator
KALP SOLUTIONS,SQL Developer,Gurgaon,1350000.0,"Java, Databases, SQL, Analysis skills",3.6,Data Base Administrator
Sarah Digital Studio,SQL Developer,Nāgpur,0.0,"Power BI, Visual Studio, SQL",,Data Base Administrator
Cylsys Software Solution Pvt. Ltd.,My SQL & PostgreSQL Developer,India,750000.0,"Performance tuning, Data modeling, SQL, Database management, PostgreSQL",,Data Base Administrator
"Intelliswift Software, Inc.",PL/SQl Developer,Gurgaon,0.0,"Azure, DevOps, SQL, Linux, PL/SQL",3.8,Data Base Administrator
Aliqan Technologies,Database Developer,Remote,1800000.0,"Data modeling, Relational databases, SQL, Database management",4.6,Data Base Administrator
Thomsun Infocare,SQL Developer,India,0.0,"Performance tuning, SQL, Analysis skills, Database management, Data collection",4.5,Data Base Administrator
Vaspp Technologies,SQL Developer,Bengaluru,4200000.0,"Performance tuning, Oracle, Software troubleshooting, Relational databases, Microsoft SQL Server",4.0,Data Base Administrator
ICT Infracon,PL/SQL Developer,Bengaluru,650000.0,"Oracle, SQL, PL/SQL, Communication skills",2.7,Data Base Administrator
Rightpath Computer Technologies,PL/SQL DEVELOPER,Hyderābād,4800000.0,"SQL, PL/SQL",4.6,Data Base Administrator
Knack Consulting Services Pvt Ltd,SQL Developer,Gurgaon,600000.0,"Power BI, Azure, Business intelligence, Microsoft SQL Server, SSRS",3.8,Data Base Administrator
Docusoft Solution India Pvt. Ltd.,Microsoft SQL Developer,India,720000.0,"Performance tuning, Software troubleshooting, Microsoft SQL Server, SSRS, SQL",,Data Base Administrator
Zouma,SQL Developer,Gurgaon,500000.0,"Microsoft SQL Server, SQL, Database management, SSIS, Communication skills",,Data Base Administrator
Data Collection Infotech,SQL Developer,Bengaluru,3000000.0,"Microsoft SQL Server, SQL, SSIS, Debugging, T-SQL",3.6,Data Base Administrator
157 Industries Private Limited,SQL Developer,Pune,750000.0,"SQL, Debugging, T-SQL",,Data Base Administrator
Msm Unify,Database Developer,Gurgaon,900000.0,"Performance tuning, Data modeling, Microsoft SQL Server, SQL, T-SQL",,Data Base Administrator
Anblicks,Oracle PL / SQL Developer,Hyderābād,650000.0,"Oracle, SQL, Agile, PL/SQL, SDLC",4.4,Data Base Administrator
Achutha Associates,SQL Developer - 5+ Remote - Immediate,Remote,800000.0,"Power BI, Oracle, DB2, Microsoft SQL Server, SSRS",,Data Base Administrator
