company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
ACT2HIRE,python data scientist,Remote,2800000.0,"Data analysis skills, English, Analysis skills, Data science, AI",,Data Scientist
Avathon,Data Scientist (Supply Chain),Bengaluru,750000.0,"TensorFlow, MATLAB, Procurement, Supply chain, R",3.1,Data Scientist
Wise Monk,Data Scientist,Gurgaon,0.0,"TensorFlow, Image processing, Big data, Data analysis skills, Research",4.0,Data Scientist
Krea University,Assistant Professor / Associate Professor / Professor of Data Science,India,0.0,"Computer science, Machine learning, Data science, AI",3.8,Data Scientist
Aganitha AI,Full Stack Data Scientist,Hyderābād,4800000.0,"TensorFlow, CI/CD, Image processing, Computer vision, R",3.9,Data Scientist
Flytxt Mobile Solutions,Data Science Manager-R&D,Thiruvananthapuram,850000.0,"Ontology, TensorFlow, Spark, R, Research",3.5,Data Scientist
SS&C,Data Scientist,Hyderābād,550000.0,"Jira, TensorFlow, Statistics, Microsoft Excel, Data mining",3.1,Data Scientist
Ideapoke,Sr. Data Scientist,Bengaluru,450000.0,"Statistics, Data mining, XML, Big data, R",4.0,Data Scientist
Elsevier,Senior Data Scientist I,India,0.0,"TensorFlow, CI/CD, Azure, Data mining, DevOps",3.9,Data Scientist
Elevate Services,Senior Manager Data Science (India),India,0.0,"TensorFlow, Azure, Big data, Research, AWS",3.7,Data Scientist
RELX,Senior Data Scientist I,India,0.0,"TensorFlow, CI/CD, Azure, Data mining, DevOps",4.1,Data Scientist
[x]cube LABS,Senior Data Engineer,Hyderābād,700000.0,"Spark, Data analysis skills, Tableau, AWS, Analysis skills",4.4,Data Scientist
Act2hire,Python Data Scientist,Remote,2800000.0,"Data analysis skills, English, Analysis skills, Data science, AI",,Data Scientist
Simple Solutions HRD Services,Data Engineer,Remote,1900000.0,"Performance tuning, Data modeling, Tableau, SQL, AWS",,Data Scientist
Voiant,Data Consultant,Remote,0.0,"Data analysis skills, Java, SQL, Communication skills, Data warehouse",3.8,Data Scientist
ADCI HYD 13 SEZ,"Data Engineer I, Business Data Technologies",Hyderābād,0.0,"Data modeling, Big data, Spark, Apache Hive, SQL",3.6,Data Scientist
Marcellotech,Machine Learning Artificial Intelligence Developer Data Science Developer,Tiruchchirāppalli,78000.0,"Machine learning, Natural language processing, Data science, AI, Python",,Data Scientist
Concentrix,Data Engineer,Remote,0.0,"Azure, Google Cloud Platform, Java, SQL, Database design",4.0,Data Scientist
Integrin Enterprise Solutions,Cloud Data Engineer,Coimbatore,78000.0,"TensorFlow, Software troubleshooting, XML, Java, SQL",,Data Scientist
MetLife,Associate Big Data Engineer,Hyderābād,750000.0,"Azure, Big data, DevOps, Spark, Apache Hive",4.2,Data Scientist
NexusLinkservices,Data Scientist – AI/ML Developer (Fresher to 5 Years Experience),Ahmedabad,250000.0,"TensorFlow, Image processing, Azure, Computer vision, Big data",3.4,Data Scientist
Google,"AI Safety Protections Data Scientist, Trust and Safety",Bengaluru,0.0,"R, Data analysis skills, Java, SQL, C++",4.3,Data Scientist
Prisio Technologies Pvt Ltd,Sr. Data Scientist,Remote,1750000.0,"SAS, R, SQL, Machine learning, Natural language processing",,Data Scientist
Intellismith,Data Scientist,Gurgaon,1650000.0,"Power BI, Data mining, Business intelligence, Alteryx, Tableau",4.3,Data Scientist
SandVcapitals Private Limited,Sr. Data Engineer,Remote,2300000.0,"Azure, SQL, AWS, Analysis skills, Distributed systems",,Data Scientist
Micron,"DATA SCIENCE ENGINEER,SMART MFG & AI",Hyderābād,4800000.0,"Statistics, CSS, Big data, Google Cloud Platform, Responsive web design",3.8,Data Scientist
ServiceNow,Staff Data Engineer,Hyderābād,500000.0,"Statistics, Business intelligence, Java, Databases, OOP",4.4,Data Scientist
hireskills,Data scientist jobs,India,1000000.0,"Statistics, R, Tableau, Java, SQL",,Data Scientist
Wadhwani AI,Data Specialist,Delhi,0.0,"Computer science, Power BI, Data structures, R, Data analysis skills",3.2,Data Scientist
NextJobHunt.com,Associate Data Scientist,Mumbai,1400000.0,"Statistics, Data mining, D3.js, R, Tableau",,Data Scientist
Accenture,S&C Global Network - AI - Life Sciences -Data Science Analyst,Bengaluru,0.0,"Microsoft Powerpoint, Microsoft Word, Statistics, Power BI, Microsoft Excel",3.8,Data Scientist
Infogain,Data Science Analyst (Lead),Mumbai,4200000.0,"Statistics, Azure, R, Data analysis skills, SQL",3.7,Data Scientist
InvestCloud,Data Scientist,Karnataka,0.0,"TensorFlow, Statistics, Azure, Oracle, Git",2.3,Data Scientist
HTD Careers Pvt Ltd,Jr. Data Engineer,Bengaluru,1250000.0,"CI/CD, Azure, Cassandra, Big data, DevOps",,Data Scientist
Sciera,Jr Data Scientist,Chennai,550000.0,"TensorFlow, Statistics, Data mining, R, Tableau",4.4,Data Scientist
Navit Software Solutions,Senior Analyst Data Science,Hyderābād,4800000.0,"Analysis skills, Deep learning, Data science, Data visualization, AI",4.4,Data Scientist
Course5,Data Scientist SRM,Bengaluru,450000.0,"Machine learning, Agile, Data science, AI, Communication skills",4.2,Data Scientist
Adobe,Data Engineer,Noida,850000.0,"Azure, Business intelligence, Data analysis skills, Microsoft SQL Server, SQL",4.2,Data Scientist
PwC,"Data Engineer (AWS)-Data, & Analytics aaS Associate - Operate",Bengaluru,850000.0,"Knowledge management, Incident management, Relational databases, DevOps, Spark",3.8,Data Scientist
Koch Global Services,Data Engineer,Bengaluru,4800000.0,"CI/CD, Power BI, Data modeling, Business intelligence, Kubernetes",3.8,Data Scientist
S&P Global,Data engineer,Hyderābād,2400000.0,"Azure, Oracle, Big data, Google Cloud Platform, .NET",4.1,Data Scientist
Enviri Corporation,Azure Data Engineer,Hyderābād,600000.0,"CI/CD, Power BI, Data modeling, Azure, Business intelligence",4.0,Data Scientist
Avantor,Data Scientist,Pune,450000.0,"TensorFlow, Pricing, Power BI, R, Tableau",3.2,Data Scientist
S&P Global,Data Scientist - ML Engineer,Gurgaon,600000.0,"English, SQL, Machine learning, Agile, Predictive analytics",4.1,Data Scientist
Providence Global Center,Principal Data Engineer,Hyderābād,950000.0,"Power BI, Azure, Oracle, Windows, Tableau",3.5,Data Scientist
ADCI - Karnataka,"Data Engineer I, WWGS Data & Analytics",Bengaluru,650000.0,"Business intelligence, Big data, Java, SQL, AWS",3.6,Data Scientist
