company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Dehazelabs,Junior Python Developer,Remote,300000.0,"CI/CD, Data modeling, Azure, Software troubleshooting, NoSQL",3.0,Developer Roles
Pulse Tech Digital,Java/J2EE Developer,Remote,900000.0,"Git, J2EE, MongoDB, Java, OOP",,Developer Roles
client in excellent opportunity,Python Developer,Remote,1100000.0,"English, Research, Analysis skills, Quality assurance, Technical writing",,Developer Roles
Finpoint,Junior Front End Developer,Bengaluru,7800000.0,"Web design, CSS, Bootstrap, React, Git",5.0,Developer Roles
Metaphor Consulting,SQL Fresher Developer,Jamshedpur,6000000.0,SQL,5.0,Developer Roles
KREATIV WEB SOLUTION,Junior Java Developer.,Hyderābād,6600000.0,"CSS, J2EE, Java, SQL, JavaScript",5.0,Developer Roles
Notchup (formerly codemonk.ai),Front End Developer,Remote,3600000.0,"CSS, React, Responsive web design, JavaScript, Redux",3.8,Developer Roles
Warrior tech solutions,C/C++ Developer,Remote,1250000.0,"English, C++, C, Software development, AI",,Developer Roles
Zoof Software Solutions,Junior Python Developer,Remote,5760000.0,"Kubernetes, AWS, Docker, PostgreSQL, REST",4.6,Developer Roles
Grex Innovation,ReactJS Developer,Hyderābād,1500000.0,"CSS, Software troubleshooting, React, Analysis skills, JavaScript",,Developer Roles
Barclays,ADM - Developer (Backend),Pune,9600000.0,"Oracle, Gradle, JUnit, Kubernetes, Java",3.9,Developer Roles
Citi,Full Stack Java Developer- 4-10Years - CHENNAI,Chennai,7800000.0,"CI/CD, Oracle, Software deployment, DevOps, Tomcat",3.7,Developer Roles
Ai India Innovations,Jr. Java Developer,Remote,2750000.0,"Azure, Software troubleshooting, Big data, Spark, Google Cloud Platform",,Developer Roles
Shloklabs,Junior Developer (Backend),Coimbatore,9000000.0,"Node.js, Git, MongoDB, PostgreSQL, REST",4.0,Developer Roles
Begig,ReactJS Developer,Remote,576000.0,"CSS, Software troubleshooting, React, Git, JavaScript",,Developer Roles
REIZEND PRIVATE LIMITED,Python Developer ( For Night Shifts),Thiruvananthapuram,6000000.0,"Jira, Computer science, Power BI, Data mining, Data structures",3.6,Developer Roles
"Arch Systems, LLC",Front End Developer - India,Remote,16800000.0,"CSS, React, Git, MongoDB, Responsive web design",4.2,Developer Roles
FIN Infocom,Python Developer Intern,India,900000.0,"Data modeling, CSS, NoSQL, Git, Databases",,Developer Roles
Giftech Software Solutions,Java Developer,India,0.0,"Java, OOP, Content development, Communication skills",,Developer Roles
STR Softwares,Python Developer,Remote,500000.0,"Data modeling, Azure, NoSQL, Git, Google Cloud Platform",,Developer Roles
Listen2it,Webflow Developer,Remote,564000.0,"Web accessibility, CSS, Web development, Git, Responsive web design",,Developer Roles
MAKE MY ADDRESS,ReactJS Developer,India,930000.0,"Adobe Photoshop, React, Web development, Graphic design, Analysis skills",,Developer Roles
OneInfini,Laravel Developer,Remote,468000.0,"CSS, Software troubleshooting, Git, PHP, OOP",,Developer Roles
Notchup (formerly codemonk.ai),Python Developer,Remote,3600000.0,"Software troubleshooting, SQL, Django, Agile, Python",3.8,Developer Roles
Skysecure Technologies Private Limited,Java Developer,Remote,900000.0,"JUnit, Kubernetes, Git, Java, Docker",,Developer Roles
Madhav Technologies,Sr. Python Developer,Surat,720000.0,"Content management systems, English, Django, APIs, Communication skills",,Developer Roles
Andrew's Group,Junior Python Developer,India,450000.0,"Jira, CI/CD, Azure, CSS, Kubernetes",,Developer Roles
IFS India Mercantile,Jr. JAVA Developer,Pune,4200000.0,"CSS, Struts, J2EE, Java, JSP",4.6,Developer Roles
DevLopLab,Python Developer Intern,Remote,120000.0,"Python, MySQL",,Developer Roles
Technoworld Softwares,Java Developer,Pune,250000.0,"React, Java, JavaScript, PostgreSQL, Angular",,Developer Roles
Decabits,ReactJS Developer - ReactJS/Javascript,Janakpuri,15600000.0,"CSS, React, Git, JavaScript, Redux",4.1,Developer Roles
Aura Bizcom,Python Developer Intern,Remote,0.0,"Azure, CSS, React, Web development, Git",,Developer Roles
WellnessZ,Full Stack Developer,Remote,162000.0,"Node.js, React, MongoDB, Express.js, JavaScript",,Developer Roles
Warrior tech solutions,Java Developer,Remote,1100000.0,"English, Java, Microservices, Quality assurance, Communication skills",,Developer Roles
R. Wadiwala Security Pvt Ltd,Junior Python Developer,India,2200000.0,"C++, C, Network protocols, Software development, Python",,Developer Roles
REIZEND PRIVATE LIMITED,Python Developer,India,6000000.0,"Jira, CSS, Data structures, NoSQL, Git",3.6,Developer Roles
Creative Web Solutions,Next.Js Developer Fresher,Remote,0.0,"React, English, Express.js, JavaScript, REST",5.0,Developer Roles
Tagrem India Pvt Ltd,Java Developer,Pune,650000.0,"Oracle, Software troubleshooting, Struts, Microsoft SQL Server, J2EE",,Developer Roles
Ethon Health Care Solutions,Junior Java Developer,Hyderābād,550000.0,"AJAX, Struts, Java, JavaScript, JSP",2.8,Developer Roles
Oracle,Applications Developer,Thiruvananthapuram,9000000.0,"AJAX, Performance tuning, Oracle, Software troubleshooting, Data structures",3.8,Developer Roles
Rite Technologies,Front End Developer,Remote,10200000.0,"Web accessibility, Web design, CSS, Git, Responsive web design",5.0,Developer Roles
Navayuga Infotech,Java Developer - Fresher,Hyderābād,6000000.0,"Oracle, J2EE, Java, Analysis skills, JSP",3.9,Developer Roles
LinkedLoops,JAVA Developer-Junior Engineer,Pune,4200000.0,"Java, C++, C, Communication skills",4.0,Developer Roles
Hajana Technologies Pvt Ltd,Java Developer,Remote,750000.0,"English, Java, Docker, JavaScript, APIs",,Developer Roles
datanomist,Python Developer,Hyderābād,6000000.0,"Authentication, CSS, Git, Databases, SVN",3.7,Developer Roles
Emerinter,PYTHON DEVELOPER,India,0.0,"English, Python",,Developer Roles
Gairme Solutions,Sr. Python Developer,Remote,1850000.0,"Quality assurance, Quality control, Python",,Developer Roles
Antino Labs,Java Developer Intern,Gurgaon,0.0,"Relational databases, Git, Java, Databases, OOP",3.5,Developer Roles
WITS INNOVATION LAB,Java Developer,Noida,12000000.0,"TestNG, Ant, CSS, JUnit, Struts",4.1,Developer Roles
Hirein5,ReactJS Developer,Remote,0.0,"Node.js, CSS, Software troubleshooting, React, Git",,Developer Roles
Druv360°,Python Developer Intern,Cochin,360000.0,"Authentication, CSS, Software troubleshooting, Relational databases, Git",,Developer Roles
Daejoo automotive pvt india ltd,Junior Front End Developer,India,240000.0,"CSS, Web development, Software deployment, JavaScript, jQuery",,Developer Roles
PureSoftware Technologies Pvt Ltd,Junior Java Developer,India,0.0,"Data structures, J2EE, Java, OOP, Analysis skills",3.4,Developer Roles
WisdmLabs,WordPress Developer,Remote,4200000.0,"WordPress, Git, PHP, Analysis skills, Communication skills",3.9,Developer Roles
InfoObjects,JAVA-Backend Developer,Hyderābād,7800000.0,"Oracle, CSS, Git, Java, Databases",4.3,Developer Roles
Notchup (formerly codemonk.ai),Java Developer,Remote,7200000.0,"Software troubleshooting, MongoDB, Java, PostgreSQL, APIs",3.8,Developer Roles
Teqlawn,Freelance Full Stack Developer,Remote,600000.0,"Software troubleshooting, MongoDB, APIs, MySQL",,Developer Roles
Diago Technologies,Java Spring Boot Developer,Remote,180000.0,"Software troubleshooting, MongoDB, Java, PostgreSQL, REST",,Developer Roles
Stackapps IT Services Pvt Ltd,Python Developer Intern,India,350000.0,"Java, Python",,Developer Roles
rccenterprises,Junior Python Developer,India,210000.0,"MongoDB, Databases, Python, MySQL",,Developer Roles
Super Cluster,Node.js Developer,Remote,4200000.0,"Node.js, OOP, JavaScript, REST, APIs",4.0,Developer Roles
Shubpy Solutions Pvt. Ltd,Junior Python Developer,Remote,240000.0,"Azure, CSS, Software troubleshooting, Kubernetes, OOP",,Developer Roles
Technocrats Horizons Compusoft Pvt. Ltd.,WordPress Developer,India,420000.0,"CI/CD, Azure, CSS, Bootstrap, WordPress",,Developer Roles
Acumen 360°,Python Developer,Pune,18000000.0,"AWS, REST, Django, APIs, Python",4.8,Developer Roles
WeMakeScholars,Jr. PHP Developer,Hyderābād,7200000.0,"PHP, APIs",3.7,Developer Roles
Countless services private limited,Java Developer,Pune,900000.0,"Java, JSP, Python",,Developer Roles
NS Global Corporation,Golang Developer,Remote,2900000.0,"Go, Node.js, English, GraphQL, Communication skills",,Developer Roles
CognitiveClouds,JAVA Developer Bangalore,Bengaluru,300000.0,"MVC, Gradle, Ant, Spark, Git",3.0,Developer Roles
SutiSoft Pvt Ltd,ReactJS Developer,Hyderābād,120000.0,"CSS, Software troubleshooting, React, JavaScript, UX",,Developer Roles
TechMojo Solutions,Backend Java Developer (Work from Office),Hyderābād,3600000.0,"Oracle, Cassandra, Microsoft SQL Server, Java, Application development",4.1,Developer Roles
