company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Accern Technologies,Senior DevOps Engineer,Bengaluru,0.0,"CI/CD, Elasticsearch, Azure, Kubernetes, Ansible",3.6,DevOps Engineer
Storygame pvt ltd,DevOps Engineer,Remote,0.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Load balancing",,DevOps Engineer
Polygon,DevOps Engineer,Remote,0.0,"CI/CD, Elasticsearch, Kubernetes, Ansible, DevOps",3.3,DevOps Engineer
Rejolut Technology Solutions,DevOps Engineer,Navi Mumbai,750000.0,"CI/CD, Cloud infrastructure, Azure, Go, Node.js",3.9,DevOps Engineer
Polygon,DevOps Lead,Remote,0.0,"CI/CD, Go, Kubernetes, Software deployment, DevOps",3.3,DevOps Engineer
Fournine Cloud Solutions,Sr DevOps Engineer,Hyderābād,450000.0,"CI/CD, Azure, Software troubleshooting, Kubernetes, DevOps",5.0,DevOps Engineer
Parkar Digital,Senior Devops Engineer,Pune,500000.0,"CI/CD, Azure, Internet of things, DevOps, Test automation",2.6,DevOps Engineer
[x]cube LABS,DevOps Engineer,Hyderābād,4800000.0,"CI/CD, Azure, Ansible, DevOps, Git",4.4,DevOps Engineer
WebSenor,Devops Expert,Udaipur,650000.0,"Microsoft Windows Server, Jira, CI/CD, Elasticsearch, Operating systems",4.6,DevOps Engineer
KodeKloud,Junior Devops Lab Engineer,Remote,900000.0,"System administration, Azure, Kubernetes, Ansible, DevOps",5.0,DevOps Engineer
Phenom People,Devops Engineer I,Hyderābād,600000.0,"CI/CD, Azure, Operating systems, Salt, Kubernetes",4.0,DevOps Engineer
Optim Hire (LAD Software Solutions Pvt LTd),"DevOps Engineer (3+ Years, Hyderabad, 15 LPA)",Hyderābād,1050000.0,"CI/CD, Cloud infrastructure, Software troubleshooting, Kubernetes, Ansible",3.6,DevOps Engineer
Wildnet Technologies,DevOps Engineer,Remote,900000.0,"CI/CD, Elasticsearch, Azure, Software troubleshooting, Kubernetes",4.6,DevOps Engineer
