company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
General Mills,"D&T Analyst II – Marketing Technology, Sites & Services",Mumbai,850000.0,"Cloud infrastructure, Software troubleshooting, Business analysis, SQL, Analysis skills",4.1,Digital Marketing Specialist
NKT,Market Intelligence Analyst,Chennai,0.0,"Microsoft Powerpoint, Search engines, Power BI, Data mining, R",4.3,Digital Marketing Specialist
ICF,Energy Markets Analyst,Bengaluru,850000.0,"Microsoft Excel, Data analysis skills, Research, Microsoft Office, Analysis skills",3.6,Digital Marketing Specialist
GLOBALFOUNDRIES,Principal Analyst Bus Unit Market Intelligence - Strategic Business role,Bengaluru,0.0,"Microsoft Powerpoint, Microsoft Office, Analysis skills, Project management, Data analytics",3.8,Digital Marketing Specialist
S&P Global,Power Market Analyst (South Asia),Mumbai,700000.0,"Power BI, Microsoft Excel, R, Microsoft Office, Tableau",4.1,Digital Marketing Specialist
Bain & Company Inc,"Analyst, Marketing Analytics",Delhi,0.0,"Microsoft Powerpoint, Power BI, Microsoft Excel, Business intelligence, Relational databases",4.3,Digital Marketing Specialist
Accenture,GN- Industry – MC- Capital Markets- Analyst,Pune,0.0,"Business intelligence, Sketch, Financial acumen, Communication skills",3.8,Digital Marketing Specialist
Feathersoft,Junior Market Research Analyst,India,0.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Data mining, Microsoft Office",4.2,Digital Marketing Specialist
Norstella,Market Research Analyst,Remote,0.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Office, Market research, Machine learning",3.4,Digital Marketing Specialist
Capital Placement Services,Competitive Intelligence Analyst-ICT For Market Research Firm (WFH),Delhi,1100000.0,Research,,Digital Marketing Specialist
Boston Consulting Group,Senior Knowledge Analyst - Market Acceleration,Gurgaon,650000.0,"Microsoft Powerpoint, Research, Databases, Quality assurance, Content development",4.3,Digital Marketing Specialist
Guires Solutions Private Limited,Freelance Market Research Analyst,Remote,0.0,"Research, Tableau, Application development, Qualtrics, Analysis skills",,Digital Marketing Specialist
