company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Finpoint,Junior Front End Developer,Bengaluru,650000.0,"Web design, CSS, Bootstrap, React, Git",5.0,Front-End Developer
Notchup (formerly codemonk.ai),Front End Developer,Remote,3600000.0,"CSS, React, Responsive web design, JavaScript, Redux",3.8,Front-End Developer
Grex Innovation,ReactJS Developer,Hyderābād,1500000.0,"CSS, Software troubleshooting, React, Analysis skills, JavaScript",,Front-End Developer
Begig,ReactJS Developer,Remote,576000.0,"CSS, Software troubleshooting, React, Git, JavaScript",,Front-End Developer
"Arch Systems, LLC",Front End Developer - India,Remote,1400000.0,"CSS, React, Git, MongoDB, Responsive web design",4.2,Front-End Developer
MAKE MY ADDRESS,ReactJS Developer,India,930000.0,"Adobe Photoshop, React, Web development, Graphic design, Analysis skills",,Front-End Developer
Heart It Out,Frontend Developer Intern,Remote,0.0,"CSS, Bootstrap, React, WordPress, JavaScript",4.3,Front-End Developer
Solutions 1313,REACT DEVELOPER,Remote,570000.0,"CSS, React, Software deployment, Git, JavaScript",,Front-End Developer
Diago Technologies,Angular Developer,Remote,150000.0,"JavaScript, REST, Angular, APIs, HTML",,Front-End Developer
Domain Expansion,Frontend Developer Internship,Remote,12000.0,"Web design, Bootstrap, React, Web development, Graphic design",,Front-End Developer
Decabits,ReactJS Developer - ReactJS/Javascript,Janakpuri,1300000.0,"CSS, React, Git, JavaScript, Redux",4.1,Front-End Developer
Rite Technologies,Front End Developer,Remote,850000.0,"Web accessibility, Web design, CSS, Git, Responsive web design",5.0,Front-End Developer
Atalef.ai,JavaScript Developer,Remote,300000.0,"Node.js, CSS, React, Web development, Git",,Front-End Developer
d3v Cloud Technology Services Private Limited,Associate Frontend Developer,Remote,350000.0,"Node.js, CSS, Software troubleshooting, React, Git",,Front-End Developer
Hirein5,ReactJS Developer,Remote,0.0,"Node.js, CSS, Software troubleshooting, React, Git",,Front-End Developer
Daejoo automotive pvt india ltd,Junior Front End Developer,India,240000.0,"CSS, Web development, Software deployment, JavaScript, jQuery",,Front-End Developer
Arting Digital Private Limited,Frontend Developer,Hyderābād,1000000.0,"Node.js, CSS, Software troubleshooting, React, Git",4.7,Front-End Developer
WisdmLabs,WordPress Developer,Remote,4200000.0,"WordPress, Git, PHP, Analysis skills, Communication skills",3.9,Front-End Developer
EnactOn Technologies,"Front End Developer (HTML, CSS, Tailwind)",Surat,3600000.0,"Web accessibility, Web design, CSS, English, Responsive web design",4.5,Front-End Developer
Technocrats Horizons Compusoft Pvt. Ltd.,WordPress Developer,India,420000.0,"CI/CD, Azure, CSS, Bootstrap, WordPress",,Front-End Developer
