company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Accern Technologies,Lead Fullstack Developer,Bengaluru,0.0,"Jira, Elasticsearch, Node.js, React, Web development",3.6,Full-Stack Developer
Reveleer,Full Stack Software Engineer,Chennai,0.0,"CI/CD, Azure, React, Mobile applications, .NET Core",3.7,Full-Stack Developer
Citi,Full Stack Java Developer- 4-10Years - CHENNAI,Chennai,650000.0,"CI/CD, Oracle, Software deployment, DevOps, Tomcat",3.7,Full-Stack Developer
Tech Concierge Pro,PHP Web Developer,Remote,1800000.0,"CI/CD, AJAX, CSS, Software troubleshooting, DevOps",,Full-Stack Developer
Vividco,Junior Web Developer,Remote,250000.0,"Node.js, CSS, Software troubleshooting, React, Git",,Full-Stack Developer
Infoorigin Inc,MERN Stack Developer,Noida,2000000.0,"Node.js, CSS, React, DevOps, SQL",,Full-Stack Developer
WellnessZ,Full Stack Developer,Remote,162000.0,"Node.js, React, MongoDB, Express.js, JavaScript",,Full-Stack Developer
Creative Web Solutions,Next.Js Developer Fresher,Remote,0.0,"React, English, Express.js, JavaScript, REST",5.0,Full-Stack Developer
Techno Exponent,MERN Stack Developer,Remote,510000.0,"Node.js, CSS, Software development",,Full-Stack Developer
Teqlawn,Freelance Full Stack Developer,Remote,600000.0,"Software troubleshooting, MongoDB, APIs, MySQL",,Full-Stack Developer
FS Business Solution,Full Stack Developer,India,300000.0,"Node.js, React, Databases, Analysis skills, JavaScript",,Full-Stack Developer
Weshare,Senior Backend Web Developer,Remote,500000.0,"MVC, Node.js, Software troubleshooting, React, MongoDB",,Full-Stack Developer
Ruddo education,Java Full Stack Developer,Remote,384150.0,"Node.js, CSS, React, NoSQL, Java",,Full-Stack Developer
Mind map IT Solutions,Backend Web Developer,India,400000.0,"Operating systems, Software troubleshooting, Web development, Process improvement, Java",,Full-Stack Developer
Wrabtech,ASP.NET Web Developer,Remote,270000.0,"ASP.NET, CSS, Software troubleshooting, Relational databases, Microsoft SQL Server",,Full-Stack Developer
Zentosys Solutions Pvt Ltd,Full Stack Developer,Pune,1050000.0,"CI/CD, Cloud infrastructure, Node.js, CSS, Software troubleshooting",,Full-Stack Developer
Anexas Europe,Web developer,Bengaluru,300000.0,"Social media marketing, WordPress, MongoDB, .NET, PHP",,Full-Stack Developer
Autuskey,MERN Stack Developer,Remote,240000.0,"Node.js, Software troubleshooting, React, Software deployment, Git",,Full-Stack Developer
EduSkills Foundation,MERN Stack Developer,Hyderābād,550000.0,"Node.js, React, MongoDB, Express.js, JavaScript",3.3,Full-Stack Developer
"Arch Systems, LLC",Sr. Full Stack Developer,Remote,1152000.0,"Node.js, React, Web development, Angular, Apache",4.2,Full-Stack Developer
Shubpy Solutions Pvt. Ltd,Next JS Developer,Remote,270000.0,"CSS, React, Git, JavaScript, REST",,Full-Stack Developer
Aximz Technologies,Junior Web Developer (0-1 year),Chennai,0.0,"Web design, AJAX, UX, JSON, Python",,Full-Stack Developer
Globewick,MERN Stack Developer,Remote,108000.0,"Node.js, CSS, Bootstrap, React, Git",,Full-Stack Developer
Aurafox Solutions Private Limited,Full Stack Developer,Pune,750000.0,"Node.js, React, Git, Databases, SQL",,Full-Stack Developer
eMedHub,ReactJS & NodeJS Fullstack Developer,Remote,1300000.0,"CI/CD, MVC, Ant, Node.js, React",,Full-Stack Developer
Asian Hr Consultant,Full Stack Python Developer,Remote,450000.0,"Java, SQL, Analysis skills, JavaScript, APIs",,Full-Stack Developer
DRAA (OPC) Private Limited,Web Developer,India,204000.0,"R, Java, SQL, Machine learning, Data science",,Full-Stack Developer
Klimb.io,Full Stack Developer,Remote,150000.0,"Elasticsearch, Node.js, React, MongoDB, AWS",,Full-Stack Developer
THINROOT SOFTWARE PRIVATE LIMITED,MERN Stack Developer,Remote,550000.0,"Performance tuning, Azure, Node.js, React, Kubernetes",4.0,Full-Stack Developer
Bold Group,Python Web Developer,Remote,750000.0,"Web design, CSS, WordPress, Web development, PHP",3.5,Full-Stack Developer
Nithminds Private limited,Python fullstack Developer -Immediate Joiner,Remote,1250000.0,"CSS, React, JavaScript, Angular, Agile",,Full-Stack Developer
Phigital care,Full Stack Developer,Remote,950000.0,"Node.js, CSS, Software troubleshooting, React, Git",,Full-Stack Developer
Fedex AMEA,Full Stack Developer I,Hyderābād,850000.0,"CI/CD, Encryption, English, Microsoft Office, Information security",3.9,Full-Stack Developer
UnivSense,Full Stack Developer,Remote,500000.0,"Node.js, Software troubleshooting, React, AWS, PostgreSQL",,Full-Stack Developer
Sjain Ventures Limited,Web Developer Interns,India,288000.0,"Node.js, CSS, React, Relational databases, Application development",3.9,Full-Stack Developer
Perception and Quant,Full Stack Developer,Remote,250000.0,"Azure, Oracle, React, Data structures, Git",,Full-Stack Developer
Encoding Enhancers,Backend Web Developer - Node,Noida,0.0,"Node.js, CSS, Git, Databases, JavaScript",4.2,Full-Stack Developer
VIDEE INFOTECH,React/Next.js Developer,Remote,48000.0,"Web accessibility, CSS, React, Git, JavaScript",,Full-Stack Developer
Travayoo Cloud,Web Developer,Remote,0.0,"ASP.NET, CSS, WordPress, Visual design, JavaScript",,Full-Stack Developer
Veloris Pharmaceuticals Pvt. Ltd.,Full Stack Python Developer,Remote,180000.0,"APIs, Python, MySQL",,Full-Stack Developer
4baseCare Precision Health Pvt. Ltd,Full Stack Developer,Hyderābād,1150000.0,"Node.js, CSS, Software troubleshooting, React, XML",,Full-Stack Developer
Bnei Ra'am Tech Solution Pvt Ltd,MERN Stack Developer Intern,India,72000.0,"Node.js, CSS, React, MongoDB, Databases",,Full-Stack Developer
TTAND Technology LLP,Full Stack Developer,Bengaluru,1200000.0,"Authentication, Node.js, CSS, React, Kubernetes",,Full-Stack Developer
Altius Technologies,MERN Stack Developer Intern,Remote,30000.0,"Node.js, CSS, React, Web development, MongoDB",,Full-Stack Developer
Automate Buddy,Web Developer Intern,Navi Mumbai,0.0,"CSS, Visual Studio, HTML",3.2,Full-Stack Developer
Clowise Business Solutions,Full Stack Backend Developer - AI,Mumbai,1400000.0,"TensorFlow, CI/CD, Node.js, Big data, Spark",,Full-Stack Developer
MyWays,Full Stack Developer,Gurgaon,1350000.0,"Elasticsearch, Software troubleshooting, Git, MongoDB, Java",,Full-Stack Developer
Aarohiinfo FI Management,FullStack Developer,Pune,0.0,"CSS, WordPress, JavaScript, Content management, Communication skills",3.2,Full-Stack Developer
Xianinfotech LLP,MERN Stack Developer,Remote,240000.0,"CI/CD, Azure, Node.js, CSS, Software troubleshooting",3.4,Full-Stack Developer
LogiQuad Solutions,Full Stack Developer,Remote,0.0,"Node.js, Software troubleshooting, React, Data structures, System design",4.8,Full-Stack Developer
Conative IT Solutions,Web Developer,Indore,3600000.0,"CSS, WordPress, Web development, Responsive web design, Communication skills",4.0,Full-Stack Developer
Algoscale,MERN Developer,Noida,700000.0,"CI/CD, Authentication, Performance tuning, Azure, Node.js",3.9,Full-Stack Developer
Apeiro Solutions,Web Developer,Coimbatore,4200000.0,"Node.js, CSS, React, Database management, JavaScript",4.2,Full-Stack Developer
Spectrum Talent Management,Python Full Stack Developer,Bengaluru,1600000.0,"CI/CD, Software troubleshooting, Git, Docker, Continuous integration",3.3,Full-Stack Developer
Mobile Programming India Pvt. Ltd.,MERN Stack Developer,Remote,0.0,"Authentication, SSO, Node.js, React, MongoDB",,Full-Stack Developer
Avendata Technology,.NET Full Stack Developer,Remote,600000.0,"CSS, Software troubleshooting, Relational databases, .NET Core, C#",,Full-Stack Developer
Antriksh Labs Private Limited,Full Stack Developer Intern,Remote,30000.0,"CSS, React, DevOps, Git, English",,Full-Stack Developer
Kal Informatics,Backend Web Developer,Vijayawāda,350000.0,"CSS, Software troubleshooting, WordPress, Web development, Software deployment",2.0,Full-Stack Developer
ReyMould Technology Solutions,Full Stack Developer,India,350000.0,"Web design, Azure, Node.js, CSS, React",,Full-Stack Developer
KShiyaRise,MERN Stack Developer,Remote,1600000.0,"CI/CD, Elasticsearch, Azure, Node.js, React",,Full-Stack Developer
FyerX,Web Developer - React and Wordpress,Remote,1440000.0,"CSS, React, WordPress, Web development, Git",4.0,Full-Stack Developer
NicheTech Computer Solutions,Full Stack Developer trainee intern,India,0.0,"Data modeling, Node.js, React, Software deployment, Java",4.8,Full-Stack Developer
Grow Digi India Limited,Full Stack Developer,Remote,350000.0,"CSS, Bootstrap, React, Git, JavaScript",,Full-Stack Developer
Glocal Pinnacle Solutions Pvt Ltd,Full Stack Web Developer,India,500000.0,"Node.js, CSS, Bootstrap, React, Responsive web design",3.1,Full-Stack Developer
Fire Bee Techno Services,Full stack Developer,India,0.0,"Node.js, React, PHP, OOP, JavaScript",4.6,Full-Stack Developer
Helius Technologies,Fullstack Blockchain Developer,India,0.0,"Microsoft Outlook, Go, Node.js, CSS, React",4.2,Full-Stack Developer
Hoch Tech Solutions,Full Stack Developer,India,0.0,"Machine learning, Embedded software, Data science, AI",,Full-Stack Developer
Opris Exchange,Full Stack Developer,Madurai,240000.0,"CI/CD, Node.js, CSS, React, Software deployment",,Full-Stack Developer
Shamlatech,Mern Stack Developer,India,0.0,"Jira, Azure, Node.js, CSS, React",3.7,Full-Stack Developer
Rain Infotech,MERN Developer,Surat,0.0,,5.0,Full-Stack Developer
Rain Infotech,NextJs Developer,Surat,0.0,,5.0,Full-Stack Developer
Parkar Digital,Full Stack Developer,Pune,500000.0,"CI/CD, Azure, CSS, React, Kubernetes",2.6,Full-Stack Developer
Shamlatech,Mean Stack Developer,India,0.0,"Jira, Azure, Node.js, CSS, Kubernetes",3.7,Full-Stack Developer
Block Intelligence,Full Stack Developer,India,850000.0,"MongoDB, AWS, JavaScript, MySQL",,Full-Stack Developer
Bitvatz Solutions,Web Developer and Administrator,Chennai,0.0,"Web design, Node.js, CSS, Bootstrap, WordPress",,Full-Stack Developer
Associative,Web Developer,India,30000.0,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",,Full-Stack Developer
Coinbase,Staff Full Stack Software Engineer - Security,Remote,4600000.0,"Go, React, Kubernetes, XML, SQL",3.8,Full-Stack Developer
WeAlwin Technologies,MERN Stack Developers,Madurai,3600000.0,"Node.js, React, Git, MongoDB, Analysis skills",4.0,Full-Stack Developer
Beleaf Technologies,Full Stack Developer,India,360000.0,"Node.js, React, MongoDB, JavaScript, Leadership",,Full-Stack Developer
Himotech Global PVT. LTD,"MERN Stack Developer (Rust, Solana)",Remote,0.0,"Azure, Rust, Node.js, React, DevOps",,Full-Stack Developer
Nadcab Technology,MERN Stack Developer,Allahabad,330000.0,"Node.js, CSS, Software troubleshooting, React, Git",,Full-Stack Developer
Alpharive Tech Pvt Ltd.,Senior MERN stack developer,Madurai,500000.0,"CI/CD, Node.js, CSS, React, Software deployment",,Full-Stack Developer
Pleasant Inc.,Full Stack Developer,India,390000.0,"Node.js, React, Mobile applications, MongoDB, SQL",,Full-Stack Developer
LCX,Backend Web Developer & Automation Expert,Gurgaon,0.0,"Node.js, SQL, PHP, JavaScript, REST",4.1,Full-Stack Developer
Helius Technologies,Fullstack JavaScript Engineer,India,0.0,"Node.js, CSS, React, NoSQL, Git",4.2,Full-Stack Developer
Hivelance Technologies,MEAN Stack Developer,Madurai,0.0,"Node.js, CSS, React, MongoDB, Database management",,Full-Stack Developer
Ultrapro Blockchain Tech Private Limited,MERN Stack Developer,India,0.0,"Node.js, CSS, Software troubleshooting, React, Git",,Full-Stack Developer
