company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Xogar Games,Unreal Game Developer (Freelancer),Bengaluru,700000.0,"Unreal Engine, C++, Math, C, AI",,Game Developer
Xogar Games,Unreal Game Developer,Bengaluru,700000.0,"Unreal Engine, C++, C, AI, Debugging",,Game Developer
Helius Technologies,Unity Developer (Hyper Casual),India,0.0,"CI/CD, TCP, C#, iOS, Git",4.2,Game Developer
[x]cube LABS,Game Designer,Hyderābād,500000.0,"Research, AWS, Communication skills",4.4,Game Developer
Logical Soft Tech Private Limited,Game Developer,Indore,258000.0,"2D animation, CSS, Unreal Engine, C#, iOS",3.4,Game Developer
Associative,Game Developer,Pune,30000.0,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",,Game Developer
[x]cube LABS,HTML5 Game Developer,Hyderābād,3600000.0,"AJAX, CSS, XML, iOS, OOP",4.4,Game Developer
[x]cube LABS,Unity 3D Engineer,Hyderābād,4200000.0,"Jira, CI/CD, Authentication, TCP, XML",4.4,Game Developer
M365Connect,Internship Opportunity: Microsoft Exchange Administrator,Bengaluru,0.0,"Encryption, English, Microsoft Exchange, Administrative experience, Analysis skills",,Game Developer
Datalogy Software Pvt Ltd,Unity Game Developer,Remote,500000.0,"Computer science, React, C#, iOS, Git",,Game Developer
Paoyaila Animation Studios LLP,Game Developer,Remote,60000.0,"2D animation, Software troubleshooting, Unreal Engine, C#, English",,Game Developer
Duoples,Game Developer,Remote,420000.0,"2D animation, Unreal Engine, C#, Git, .NET",,Game Developer
Infocom,Associate Game Developer(Exp: 0-1 yr)(Freshers can apply),Cochin,4800000.0,"iOS development, C#, iOS, .NET, Unity",3.8,Game Developer
Gammastack,Unity Game Developer,Indore,750000.0,"CSS, C#, Git, .NET, OOP",3.8,Game Developer
Jambox Games,Unity Game Developer,Delhi,0.0,"C#, .NET, OOP, SDKs, Unity",5.0,Game Developer
VizExperts,"Game Developer (Unreal Engine, UE4, Unity3D)",Delhi,0.0,"Unreal Engine, Unity",2.7,Game Developer
Codebey Technologies Private Limited,Unity Game Developer,Calcutta,402000.0,"C#, .NET, OOP, Analysis skills, Unity",,Game Developer
Photontadpole,Junior Game Developer,India,0.0,"Unreal Engine, C#, iOS, .NET, Java",5.0,Game Developer
HFG Entertainments Private Limited,Unity Game Developer-Fresher,Chennai,1200000.0,"2D animation, C#, Scripting, Unity, Communication skills",3.3,Game Developer
GameiFun,Unity Game Developer,Ahmedabad,210000.0,"C#, Git, .NET, OOP, Software development",,Game Developer
Playdawn Consulting,Unity Game Developer,Bengaluru,700000.0,"C#, .NET, Scripting, Unity, Debugging",5.0,Game Developer
Mahasos Info Pvt Ltd,Unity Developer,Remote,600000.0,"Scripting, Unity, Agile",4.2,Game Developer
360 Bright Media,Game Developer,Mumbai,600000.0,"3D animation, C#, .NET, Java, C++",5.0,Game Developer
HFG Entertainments Pvt Ltd,Unity Game Developer,Chennai,408000.0,"2D animation, Scripting, Unity, Communication skills",,Game Developer
frigate Games,Game developer,Hyderābād,700000.0,"OOP, Design patterns",4.5,Game Developer
Cogsy Solutions Pvt. Ltd.,Game Developer,Hyderābād,420000.0,"Unreal Engine, React, C#, .NET, C++",,Game Developer
Bamigos VR LLP,Game Developer (Unity3D\Unreal),Lajpat Nagar,474000.0,"Unreal Engine, C#, Software development, Unity, Computer graphics",,Game Developer
Appindia Technologies Private Limited,Unity Game Developer,Rājkot,432000.0,"Data structures, C#, .NET, OOP, Scripting",,Game Developer
Synarion IT Solutions,Unity game Developer,Jaipur,650000.0,"Visual Studio, Scripting, Unity, Computer graphics",4.9,Game Developer
BillionApps,Unity Developer,Remote,0.0,"Waterfall, SDKs, Unity, Integration testing, Debugging",,Game Developer
Zvky Design Studio,Unity Developer (Slot game),India,1000000.0,"Jira, C#, Git, .NET, JavaScript",,Game Developer
Zapplogics Solutions,Unity Developer,Remote,330000.0,"2D animation, C#, iOS, Git, .NET",,Game Developer
Lagran Software Solutions Pvt Ltd,Unity Developer,India,0.0,Unity,,Game Developer
Apex Softech Solutions,Game Developer,India,420000.0,"2D animation, Unreal Engine, C#, Software development, HTML",,Game Developer
Auxano Global Services,Unity Game Developer,Ahmedabad,150000.0,"Test automation, OOP, Scripting, Unity",3.3,Game Developer
