company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Sophos,IT Service Desk Analyst,Ahmedabad,600000.0,"Azure, Windows, Microsoft Office, IT support, Computer networking",4.0,IT Specialist
Sabre,IT Operations Analyst I,Bengaluru,700000.0,"Operating systems, Windows, AWS, Virtualization, Agile",3.8,IT Specialist
OakNorth Bank,IT Support Service Desk- Senior Analyst,Gurgaon,500000.0,"Customer service, IT support, ServiceNow, Communication skills",3.5,IT Specialist
Lucy Electric,Global IT Service Desk Analyst,Gujarat,0.0,"Power BI, Azure, Operating systems, Incident management, Software troubleshooting",3.9,IT Specialist
Pearl Technologies Ltd.,"IT Infrastructure Engineer - (Virtualization, Storage and Backup)",Remote,0.0,"CI/CD, SSO, Cloud infrastructure, Azure, AWS",2.2,IT Specialist
Apertum Online Pvt Ltd,Jr. IT Engineer,Gurgaon,500000.0,"Network administration, SSO, Operating systems, Software troubleshooting, IT service management",3.7,IT Specialist
Grubbrr System PVT LTD,IT Infrastructure Engineer,India,1400000.0,"Cloud infrastructure, Azure, Ansible, Big data, Encryption",,IT Specialist
TheSqua.re,IT Support L2,Delhi,300000.0,"Microsoft Windows Server, Software troubleshooting, LAN, English, Windows",,IT Specialist
Nepra Resource Management Private Limited,IT Manager,Ahmedabad,840000.0,"Microsoft Windows Server, System administration, IT management, Software troubleshooting, Enterprise Software",,IT Specialist
Concepts India HR Services,IT Administrator,Hyderābād,450000.0,"Network administration, TCP, System administration, IIS, LAN",,IT Specialist
Larsen & Toubro,IT Engineer,Vadodara,1500000.0,"Microsoft Windows Server, 2D animation, Oracle, .NET Core, Windows",3.4,IT Specialist
TechUnity Software Systems India Pvt Ltd,Level 1/Level 2 Tech Support - SAS Administrator,Coimbatore,500000.0,"Jira, Performance tuning, Operating systems, Oracle, Software troubleshooting",4.1,IT Specialist
Helius Technologies,Director of IT Operations,India,0.0,"AWS, VMWare, Linux, Leadership, Communication skills",4.2,IT Specialist
McGAN's Ooty School of Architecture,IT Administrator Male,Udagamandalām,84000.0,"Computer science, Azure, Operating systems, Data entry, IT",,IT Specialist
Accenture,Infra Tech Support Practitioner,Indore,0.0,"Performance tuning, Software troubleshooting, Technical support, Databases, Database administration",3.8,IT Specialist
MIGROW INDIA,Digital Marketing & IT Specialist,India,162000.0,"Social media marketing, Facebook Advertising, Content creation, Digital marketing, Computer hardware",,IT Specialist
KKBC,IT Support & Technology Specialist (Freelance),Remote,480000.0,"Jira, Software troubleshooting, Salesforce, English, Digital marketing",,IT Specialist
Zavasi,IT SUPPORT FREELANCER / PART TIME,Bengaluru,0.0,IT support,4.5,IT Specialist
Smith & Nephew,IT Service Desk Specialist,India,0.0,"Computer science, Software troubleshooting, English, Windows, Microsoft Office",4.0,IT Specialist
South Street Designs,IT Specialist,Remote,0.0,"Analysis skills, AI, Communication skills",4.8,IT Specialist
InvenTel,IT Security Specialist - Remote,Remote,660000.0,"Windows, Java, PHP, C++, C",,IT Specialist
Lulu Global Mall,IT Support,Bengaluru,1800000.0,"Desktop support, Operating systems, Software troubleshooting, Technical support, Firewall",4.1,IT Specialist
Aml Rightsource Llc,"IT Help Desk Support Specialist - Delhi, India",Delhi,0.0,"Jira, Operating systems, Software troubleshooting, Customer service, English",2.9,IT Specialist
Pearl Technologies Ltd.,IT Security Specialist,Remote,0.0,"Computer science, Azure, Information security, Firewall, AWS",2.2,IT Specialist
Thornton Tomasetti,IT Support Technician - Information Technology,Pune,450000.0,"Software troubleshooting, Communication skills",3.8,IT Specialist
Chaosology,IT support,India,0.0,"IT support, Communication skills, Help desk",,IT Specialist
Kryfs Power Components Ltd,IT Support Executive,Silvassa,500000.0,ServiceNow,,IT Specialist
Logitech,IT Service Support Intern,Chennai,0.0,"Desktop support, Software troubleshooting, Customer service, English, Windows",4.2,IT Specialist
FULL Creative,IT Support,Chennai,4200000.0,"Desktop support, Operating systems, Computer hardware, Remote access software, Agile",3.8,IT Specialist
ICIT Computer Institute,IT Support,Thāne,3600000.0,"Computer hardware, Computer networking",3.9,IT Specialist
SIB Operations and Services,Assistant-IT Support,Cochin,450000.0,"Software troubleshooting, Encryption",3.3,IT Specialist
Indian Institute of Emergency Medical Services (IIEMS),IT Support Executive,Kottayam,400000.0,Desktop support,3.0,IT Specialist
AARA Technologies Private Limited,IT Support Manager,Lucknow,550000.0,"Software troubleshooting, Technical support, IT support, Communication skills, Help desk",3.2,IT Specialist
"Medpace, Inc.",IT Support,Navi Mumbai,550000.0,"English, Microsoft Exchange, Microsoft Office, IT support, IT",2.7,IT Specialist
Maruti Suzuki India Ltd,IT Operations and Application Support,India,0.0,"Network infrastructure, IT support, Problem management, Communication skills",3.8,IT Specialist
Photon,IT Specialist,Hyderābād,600000.0,"Account management, Active Directory",4.0,IT Specialist
