company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Pulse Tech Digital,Java/J2EE Developer,Remote,900000.0,"Git, J2EE, MongoDB, Java, OOP",,Java Developer
KREATIV WEB SOLUTION,Junior Java Developer.,Hyderābād,550000.0,"CSS, J2EE, Java, SQL, JavaScript",5.0,Java Developer
Primejob services,Java Intern,Hyderābād,150000.0,Java,,Java Developer
Ai India Innovations,Jr. Java Developer,Remote,2750000.0,"Azure, Software troubleshooting, Big data, Spark, Google Cloud Platform",,Java Developer
Giftech Software Solutions,Java Developer,India,0.0,"Java, OOP, Content development, Communication skills",,Java Developer
Skysecure Technologies Private Limited,Java Developer,Remote,900000.0,"JUnit, Kubernetes, Git, Java, Docker",,Java Developer
IFS India Mercantile,Jr. JAVA Developer,Pune,4200000.0,"CSS, Struts, J2EE, Java, JSP",4.6,Java Developer
Technoworld Softwares,Java Developer,Pune,250000.0,"React, Java, JavaScript, PostgreSQL, Angular",,Java Developer
Warrior tech solutions,Java Developer,Remote,1100000.0,"English, Java, Microservices, Quality assurance, Communication skills",,Java Developer
Tagrem India Pvt Ltd,Java Developer,Pune,650000.0,"Oracle, Software troubleshooting, Struts, Microsoft SQL Server, J2EE",,Java Developer
Ethon Health Care Solutions,Junior Java Developer,Hyderābād,550000.0,"AJAX, Struts, Java, JavaScript, JSP",2.8,Java Developer
Navayuga Infotech,Java Developer - Fresher,Hyderābād,500000.0,"Oracle, J2EE, Java, Analysis skills, JSP",3.9,Java Developer
LinkedLoops,JAVA Developer-Junior Engineer,Pune,4200000.0,"Java, C++, C, Communication skills",4.0,Java Developer
Hajana Technologies Pvt Ltd,Java Developer,Remote,750000.0,"English, Java, Docker, JavaScript, APIs",,Java Developer
Antino Labs,Java Developer Intern,Gurgaon,0.0,"Relational databases, Git, Java, Databases, OOP",3.5,Java Developer
WITS INNOVATION LAB,Java Developer,Noida,1000000.0,"TestNG, Ant, CSS, JUnit, Struts",4.1,Java Developer
PureSoftware Technologies Pvt Ltd,Junior Java Developer,India,0.0,"Data structures, J2EE, Java, OOP, Analysis skills",3.4,Java Developer
Notchup (formerly codemonk.ai),Java Developer,Remote,600000.0,"Software troubleshooting, MongoDB, Java, PostgreSQL, APIs",3.8,Java Developer
Diago Technologies,Java Spring Boot Developer,Remote,180000.0,"Software troubleshooting, MongoDB, Java, PostgreSQL, REST",,Java Developer
Countless services private limited,Java Developer,Pune,900000.0,"Java, JSP, Python",,Java Developer
CognitiveClouds,JAVA Developer Bangalore,Bengaluru,300000.0,"MVC, Gradle, Ant, Spark, Git",3.0,Java Developer
IntelliSavvy LLC,Java Developer,Remote,0.0,"Node.js, Microsoft SQL Server, J2EE, Java, Databases",,Java Developer
