company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Recode Minds,Research Associate – Artificial Intelligence,Hyderābād,550000.0,"TensorFlow, MATLAB, Data mining, R, Math",,Machine Learning Engineer
Microsoft,Researcher - Machine Learning and AI,Bengaluru,700000.0,"Machine learning, Natural language processing, AI",4.2,Machine Learning Engineer
Club Malwa pvt ltd,Senior Deep Learning Engineer,Mohali,135000.0,"TensorFlow, Image processing, Azure, Big data, Software deployment",,Machine Learning Engineer
Meslova Systems,Artificial Intelligence (AI) Researchers and Developers,Hyderābād,400000.0,"TensorFlow, React, Calculus, Encryption, English",2.8,Machine Learning Engineer
Council for Robotics & Automation (AICRA),Director - National Mission of Artificial Intelligence,Delhi,4800000.0,"English, Business development, Presentation skills, B2B, AI",3.9,Machine Learning Engineer
Crypto Mize,Artificial Intelligence Expert,Delhi,0.0,"Microsoft Powerpoint, Microsoft Word, Computer science, Image processing, Microsoft Excel",4.8,Machine Learning Engineer
Tesseract Imaging,Associate Director of Artificial Intelligence - XR,Maharashtra,0.0,"OS Kernels, Machine learning, APIs, Data science, AI",4.2,Machine Learning Engineer
Arkose Labs,Machine Learning Researcher,Pune,1050000.0,"TensorFlow, R, Data analysis skills, Java, Analysis skills",4.1,Machine Learning Engineer
Google,"Machine Learning Research Engineer, Health AI",Bengaluru,0.0,"TensorFlow, Data mining, Data structures, Research, Machine learning",4.3,Machine Learning Engineer
Arkose Labs - India,Machine Learning Researcher,Pune,1050000.0,"TensorFlow, R, Data analysis skills, Java, Analysis skills",4.1,Machine Learning Engineer
Tecnia Institute of Advanced Studies,Assistant Professor for Artificial Intelligence,Delhi,774000.0,"TensorFlow, Azure, R, Google Cloud Platform, Research",,Machine Learning Engineer
Narsee Monjee Institute of Management Studies (NMIMS),Associate Professor/Assistant Professor-MPSTME-Artificial Intelligence,Mumbai,0.0,"Image processing, Computer vision, Research, Deep learning, Natural language processing",4.1,Machine Learning Engineer
Ideapoke,Lead Artificial Intelligence,Bengaluru,650000.0,"Statistics, Data mining, XML, Big data, R",4.0,Machine Learning Engineer
Daten & Wissen,Computer Vision Engineer,Mumbai,400000.0,"TensorFlow, Statistics, Computer science, Image processing, Azure",,Machine Learning Engineer
Thermo Fisher Scientific,"Engineer II, Artificial Intelligence",Bengaluru,0.0,"Azure, React, Kubernetes, Java, Microservices",3.6,Machine Learning Engineer
Thermo Fisher Scientific,"Staff Engineer, Artificial Intelligence",Bengaluru,0.0,"Azure, React, Test-driven development, Java, Microservices",3.6,Machine Learning Engineer
Friends Color Images,PROMPT ENGINEER,Noida,700000.0,"Git, JavaScript, Natural language processing, Software development, GitHub",3.8,Machine Learning Engineer
Adobe,Machine Learning Engineer 5 - Platform Engineer,Noida,534000.0,"TensorFlow, Computer science, Cloud architecture, Kubernetes, Java",4.2,Machine Learning Engineer
OptiSol,Machine Learning – Practice Head,Coimbatore,1000000.0,"TensorFlow, Image processing, Azure, Computer vision, Spark",3.4,Machine Learning Engineer
Nayan India Science and technologies,Computer Vision Engineer,Delhi,0.0,"TensorFlow, MATLAB, Image processing, Computer vision, R",3.3,Machine Learning Engineer
"Keysight Technologies, Inc.",Machine Learning Engineer 3,Gurgaon,0.0,"TensorFlow, Statistics, Power BI, Data mining, Spark",3.9,Machine Learning Engineer
Narsee Monjee Institute of Management Studies (NMIMS),Lead Machine Learning,Mumbai,3600000.0,"Statistics, Sentiment analytics, Machine learning, Natural language processing, Data science",4.1,Machine Learning Engineer
Calix,Senior Machine Learning Engineer,Bengaluru,650000.0,"TensorFlow, Azure, Go, Kubernetes, R",4.6,Machine Learning Engineer
client in excellent opportunity,LLM - SQL Developer,Remote,2750000.0,"English, SQL, Communication skills, Time management",,Machine Learning Engineer
