company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Vmoksha Technologies Pvt. Ltd,SOC Network Engineer,Bengaluru,750000.0,"TCP, Azure, Windows, Firewall, Analysis skills",,Network Engineer
Airowire Networks Pvt Ltd,Network Engineer Intern,Bengaluru,168000.0,"TCP, Azure, Ansible, Git, AWS",,Network Engineer
Amazon Web Services India Private Limited - Andhra Pradesh,Network Engineer,Hyderābād,0.0,"Network administration, TCP, Operating systems, Software troubleshooting, OSPF",3.6,Network Engineer
Norstella,NOC Engineer,Remote,0.0,"Azure, Incident management, PaaS, AWS, Machine learning",3.4,Network Engineer
Nexapp Technologies,Network Engineer-NOC-L1 Support,Pune,4800000.0,"TCP, Operating systems, Customer service, Windows, Firewall",4.1,Network Engineer
Arting Digital Private Limited,Network Engineer (L2),Noida,700000.0,"Virtualization, IT support, Network engineering",4.7,Network Engineer
NAVNIT GROUP,Network Engineer (Proxy),Thāne,570000.0,"SSO, Network engineering",,Network Engineer
ACE INFOTEXiS PVT.LTD .,Network Engineer,India,270000.0,"Microsoft Windows Server, LAN, Network infrastructure, Analysis skills, Project management",,Network Engineer
Hewlett Packard Enterprise,Network Engineer,Chennai,550000.0,"TCP, DevOps, English, Local language, Analysis skills",4.2,Network Engineer
RamSoft,Network and System Administrator,Bengaluru,500000.0,"Network administration, TCP, Azure, Operating systems, Software troubleshooting",3.6,Network Engineer
Sourcedesk Global,System Admin/ Hardware Networking Administrator,Calcutta,3600000.0,"Software troubleshooting, LAN, Windows, WAN, Data entry",4.5,Network Engineer
Pixentia,Network Administrator,Vijayawāda,450000.0,"Software troubleshooting, IIS, Microsoft SQL Server, Research, Windows",3.6,Network Engineer
Famic Technologies,Network Administrator,Pune,405000.0,"System administration, Microsoft Outlook, Microsoft SQL Server, English, Windows",3.3,Network Engineer
SITA Switzerland Sarl,Infrastructure Specialist (Network Administrator),Delhi,0.0,"Azure, Network infrastructure, Firewall, Analysis skills, Computer networking",3.7,Network Engineer
Pyramid Global Technologies,Computer Network and Systems Engineer,Mohali,505000.0,"Operating systems, Network infrastructure, Network management, Splunk, Computer networking",5.0,Network Engineer
Capgemini,Connectivity & Network Engineer - B,Chennai,450000.0,"5G, Embedded software",3.8,Network Engineer
Capgemini,Connectivity & Network Engineer - A,Chennai,450000.0,"5G, Embedded software",3.8,Network Engineer
Capgemini,Connectivity & Network Engineer - C,Chennai,450000.0,"5G, Embedded software",3.8,Network Engineer
Qualcomm,Wlan Networking Software Engineer,Bengaluru,0.0,"TCP, Data structures, LAN, OS Kernels, C",3.9,Network Engineer
Qualminds,Network Engineer,Hyderābād,500000.0,"Network installation, OSPF, LAN, Firewall, DHCP",4.7,Network Engineer
Capgemini Engineering,Connectivity & Network Engineer - B,Chennai,450000.0,"5G, Embedded software",3.5,Network Engineer
Dexcel Electronics,Network Engineer,Bengaluru,3000000.0,"TCP, OS Kernels, C, Computer networking, Linux",4.1,Network Engineer
Capgemini Engineering,Connectivity & Network Engineer - C,Coimbatore,450000.0,"5G, Embedded software",3.5,Network Engineer
"Take-Two Interactive Software, Inc.",NOC Engineer,Bengaluru,450000.0,"Microsoft Windows Server, Azure, Windows, AWS, ITIL",3.8,Network Engineer
Photon,Network Support,Chennai,550000.0,"QoS, Load balancing, OSPF, LAN, IDS",4.0,Network Engineer
THE RRKS,Network Administrator,Remote,300000.0,"Microsoft Access, Firewall",,Network Engineer
JEM IT SOLUTION PRIVATE LIMITED,NETWORK ENGINEER IT SUPPORT ( FRESHER),Coimbatore,114000.0,"Microsoft Office, ServiceNow",,Network Engineer
Acute Informatics Pvt. Ltd,Network support L2,Mumbai,840000.0,"QoS, OSPF, DHCP, BGP, Routing protocols",3.3,Network Engineer
Karishma Marine Solutions Pvt Ltd,Sr. IT Support Network Engineer,India,4800000.0,"Software troubleshooting, LAN, Windows, Firewall, IT support",5.0,Network Engineer
AWL India,System Admin/IT Support/Network and System Admin Engineer,Hyderābād,4800000.0,"Microsoft Windows Server, Network administration, TCP, Operating systems, Software troubleshooting",4.6,Network Engineer
Jobegy,Network Support Executive,Mumbai,700000.0,"TCP, Customer service, LAN, English, Technical support",,Network Engineer
ZM Technologies,Network Support,Pune,1800000.0,"Network administration, TCP, Firewall, DHCP, Network protocols",4.0,Network Engineer
ACE INFOTEXiS PVT.LTD .,Network Support L1 Engineer,Delhi,390000.0,"TCP, LAN, PRTG, Firewall, DHCP",,Network Engineer
Exela Technologies,L1 Network Support,Pune,550000.0,"Firewall, Communication skills, Time management",3.6,Network Engineer
InfluxService,US Network Administrator (L1/L2 support),Mohali,0.0,"Network administration, System administration, LAN, English, Firewall",,Network Engineer
ACE INFOTEXiS PVT.LTD .,Networking Support L2,India,408000.0,"SQL, Computer networking, Network support, Network engineering, Communication skills",,Network Engineer
Kyndryl,Network Support Specialist,Bengaluru,0.0,"Firewall, Analysis skills, ITIL, IDS, WAN",3.9,Network Engineer
C-Edge Technologies,Network Support,Thāne,650000.0,"Cisco ISE, Load balancing, OSPF, Firewall, BGP",3.8,Network Engineer
Quadron iSolutions,Network Administrator(IT),India,0.0,"Microsoft Windows Server, Microsoft Exchange, Firewall, Active Directory",3.3,Network Engineer
Trillion IT Services,System / Network Administrator,Hyderābād,4800000.0,Network infrastructure,4.4,Network Engineer
Alcom Extrusions Pvt Ltd,Network Administrator,Hyderābād,210000.0,"System administration, Operating systems, Software troubleshooting, LAN, Administrative experience",,Network Engineer
SISL Infotech,Networking Support 1A,India,0.0,,4.1,Network Engineer
Genworth,Senior Network Engineer - Lead,Noida,450000.0,"TCP, Azure, Firewall, AWS, Network management",4.2,Network Engineer
I SQUARE TEK,Network Engineer L2,Remote,700000.0,"TCP, OSPF, LAN, DHCP, Network protocols",,Network Engineer
Optimal Telemedia Pvt Ltd,Network Engineer,Jaipur,250000.0,"Network administration, Computer science, Operating systems, Network protocols, Routing protocols",,Network Engineer
Google,Network Operations Engineer,Bengaluru,0.0,"Network installation, TCP, DevOps, OSPF, BGP",4.3,Network Engineer
Infodot Technologies,Network Engineer,Bengaluru,660000.0,"TCP, OSPF, Encryption, Firewall, Routing protocols",,Network Engineer
Lore Software Solutions Pvt Ltd,Network Engineer,Bengaluru,1250000.0,"TCP, OSPF, SQL, Firewall, Network management",3.5,Network Engineer
Gowra Bits & Bytes,Network Engineer – Fresher,Hyderābād,1200000.0,"Firewall, Computer networking, Cisco ASA, Juniper, VPN",4.6,Network Engineer
INFOLKS,JUNIOR NETWORK ENGINEER,Kerala,0.0,"Network administration, Operating systems",3.7,Network Engineer
Valam Solutions,Network Engineer,Bengaluru,450000.0,"Ansible, Firewall, Computer networking, Network engineering, Network security",,Network Engineer
Futurism,Network Engineer Trainee,India,0.0,"TCP, Analysis skills, Computer networking, TCP/IP, Network engineering",3.9,Network Engineer
Zensar Technologies,Network Engineer,India,0.0,"TCP, Operating systems, OSPF, DHCP, BGP",3.9,Network Engineer
CIS,Junior Network Engineer,Indore,500000.0,"TCP, Network infrastructure, Firewall, DHCP, Computer networking",4.3,Network Engineer
Google,"Network Operations Engineer, Google Enterprise Network Operations",Bengaluru,0.0,"TCP, OSPF, LAN, Firewall, BGP",4.3,Network Engineer
Optimal Telemedia Pvt Ltd,Network Engineer L1 & fresher,Ahmedabad,150000.0,"Network administration, English, Technical support, Microsoft Office, ServiceNow",,Network Engineer
Talenzen,Wireless Network Engineer,Bengaluru,2000000.0,"5G, iOS, Analysis skills, MacOS, Communication skills",,Network Engineer
NAVNIT GROUP,Network Engineer L1/L2 ( Proxy ),Mumbai,650000.0,,,Network Engineer
CIS,Trainee Network Engineer,Indore,500000.0,"TCP, Firewall, DHCP, Computer networking, DNS",4.3,Network Engineer
Infosys,Network Engineer,Bengaluru,4200000.0,"FTP, TCP, Remedy, IT service management, OSPF",3.6,Network Engineer
Optilink Network Pvt Ltd,Network Engineer L2,India,480000.0,"TCP, Software troubleshooting, OSPF, PHP, Network protocols",3.5,Network Engineer
NTT DATA,Network Engineer,Hyderābād,600000.0,"Cloud infrastructure, Load balancing, OSPF, Firewall, BGP",3.8,Network Engineer
Infosys,Core Network Engineer,Bengaluru,4200000.0,"OSPF, Network protocols, BGP, Computer networking, MPLS",3.6,Network Engineer
Mobicule Technologies Pvt. Ltd,Network Engineer,Mumbai,250000.0,"Firewall, Computer networking, IT, Network engineering",3.4,Network Engineer
Locuz Enterprise Solutions,Network Engineer (Immediate Joiner),India,0.0,"LAN, Network engineering, Time management",3.7,Network Engineer
Sureworks Infotech Pvt Ltd,Network Engineer,Sonipat,3600000.0,,3.6,Network Engineer
Galaxy Office Automation,Junior Network Engineer,Thāne,950000.0,"Azure, Firewall, AWS, Analysis skills, Computer networking",4.2,Network Engineer
Bhagwan Mahavir University,Junior Network Engineer,Gujarat,0.0,"Network administration, Network installation, Analysis skills, Network engineering, Communication skills",5.0,Network Engineer
Zaco Computers,Network Engineer,Mumbai,4800000.0,"Firewall, Computer hardware, Computer networking, Juniper",3.7,Network Engineer
Osource Global,Jr. Network Engineer,Navi Mumbai,1800000.0,"Software troubleshooting, LAN, Firewall, Computer networking, VPN",3.9,Network Engineer
NTT DATA,MS Network Engineer,Bengaluru,600000.0,"Cisco ISE, Software troubleshooting, OSPF, Firewall, SSL",3.8,Network Engineer
Konverge Technologies Pvt Ltd India,Network Engineer,Chennai,500000.0,"Load balancing, OSPF, LAN, Routing protocols, WAN",3.8,Network Engineer
Mouri Tech,Network Engineer,Hyderābād,3600000.0,"SAP, Salesforce, AWS, Network support, ServiceNow",3.9,Network Engineer
Zones LLC.,Network Engineer L1,Bengaluru,650000.0,"Network administration, Incident management, OSPF, English, Firewall",3.3,Network Engineer
IndiQus Technologies,Network Engineer,Pune,1300000.0,"Network administration, TCP, Software deployment, OSPF, LAN",,Network Engineer
Lumen,NETWORK ENGINEER-INDIA,Bengaluru,700000.0,"iOS, Communication skills",3.4,Network Engineer
DXC Technology,Network Engineer,Bengaluru,650000.0,"OSPF, Network management, BGP, Routing protocols, Computer networking",3.5,Network Engineer
NAVNIT GROUP,Network Engineer,Mumbai,1200000.0,"Jira, Data center experience, Operating systems, OSPF, English",,Network Engineer
DA VINCI DERIVATIVES,Network Engineer,Mumbai,4800000.0,"Ansible, OSPF, Firewall, BGP, Computer networking",4.0,Network Engineer
Hira Technosoft,Jr. Network Engineer,Vadodara,350000.0,"English, Microsoft Office, Network infrastructure",,Network Engineer
Technology Next,Network Engineer,Remote,780000.0,"Cisco ISE, Firewall, Routing protocols, Computer networking, Network engineering",,Network Engineer
Locuz Enterprise Solutions,Network Engineer,India,0.0,"LAN, DHCP, Solarwinds, Communication skills",3.7,Network Engineer
V LINK SYSTEMS PVT LTD,Network Engineer,India,150000.0,,,Network Engineer
Matrix Business Machines Pvt Ltd,Network Field Engineer,Pune,4680000.0,"Software troubleshooting, Windows, Firewall",4.1,Network Engineer
VR Coatings pvt ltd,Network Engineer,India,450000.0,"Operating systems, SAP, LAN, Network protocols, Computer networking",,Network Engineer
SS Technologies,Network Engineer L1/L2,India,0.0,"Microsoft Windows Server, TCP, Operating systems, Incident management, Load balancing",,Network Engineer
DigitalOcean,Network Engineer II,Hyderābād,450000.0,"Jira, Salt, Ansible, OSPF, Configuration management",3.7,Network Engineer
Virtusa,Network Engineer,Chennai,3000000.0,"LAN, Computer networking",3.7,Network Engineer
Cygnus Information Solutions Pvt. Ltd.,Network Engineer,India,250000.0,"Network administration, Performance tuning, Management, LAN, Analysis skills",,Network Engineer
synapsespark software private limited,Network Engineer,Coimbatore,432000.0,"OSPF, LAN, Firewall, BGP, Routing protocols",,Network Engineer
Fara Limak Part(FLP) Group,Network Engineer,India,0.0,"Load balancing, OSPF, LAN, Routing protocols, WAN",,Network Engineer
Wing Global IT Services,Network Engineer,India,300000.0,"Microsoft Windows Server, LAN, Windows, Firewall, BGP",3.1,Network Engineer
FIS Global,"Network Engineer(Routing,Switching & CCNP)",Mumbai,550000.0,"Load balancing, Firewall, Network management, Computer networking, Juniper",3.9,Network Engineer
Albireo Tech System,Network Engineer,Remote,0.0,"Operating systems, Network protocols, Routing protocols, Computer networking, IT",3.6,Network Engineer
SoftTech Services,Network Engineer – L1,Bengaluru,0.0,"TCP, OSPF, Research, ITIL, BGP",4.5,Network Engineer
