company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
General Electric,Intern,Bengaluru,0.0,"Statistics, Image processing, Computer vision, Research, Machine learning",4.1,Other
FPL Automobiles Pvt. Ltd.,Quant Trader,Remote,2500000.0,"AWS, Analysis skills, C++, C, Machine learning",,Other
Adobe,Research Scientist,Bengaluru,450000.0,"Image processing, Computer vision, Research, Analysis skills, Math",4.2,Other
Fractal Analytics,Behavior Architect,Mumbai,800000.0,"Research, Design thinking, Data science",4.2,Other
CodersArts,CodersArts Research,Noida,2904000.0,"TensorFlow, Statistics, Calculus, R, Research",4.5,Other
Mindkosh Technologies,Business Development Representative,Delhi,600000.0,"Image processing, Computer vision, Lead generation, B2B, B2B sales",,Other
Bluestone Consulting Pvt. Ltd.,Senior Research Scientist - Psychometrics,India,450000.0,"Statistical software, Statistics, R, Data analysis skills, Research",,Other
Adobe,Principal Scientist,Bengaluru,450000.0,"Image processing, Computer vision, Research, Analysis skills, Math",4.2,Other
Augray,Conversation design for an AI Chatbot,Chennai,600000.0,"Analysis skills, Natural language processing, UX, AI, Interaction design",3.7,Other
Fractal Analytics,Senior Design Strategist,Mumbai,450000.0,"Research, Data science, AI",4.2,Other
Fluid Analytics Pvt. Ltd.,Civil Engineer,India,300000.0,"Microsoft Word, Wastewater, Mechanical engineering, Civil engineering, Microsoft Excel",,Other
Bosch Group,Research Engineer: Modelling and Simulation for Distributed Systems,Bengaluru,0.0,"MATLAB, Image processing, C++, Math, C",4.1,Other
INTEL,Security Research Engineer,Bengaluru,900000.0,"5G, Test automation, Git, English, OS Kernels",3.9,Other
ICF,Specialist - Biogas & Fuels,Delhi,0.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Outlook, Oil & gas, Microsoft Office",3.6,Other
Mahindra University,Faculty Positions in Computer Science Engineering,Telangana,0.0,"Computer science, Research, Machine learning, Data science, AI",3.6,Other
SAP,Product Security Specialist,Bengaluru,750000.0,"SAP, ERP systems, Analysis skills, Quality assurance, Machine learning",4.2,Other
Vidhi Centre for Legal Policy,"Senior Resident Fellow, Law & Technology Research",Delhi,0.0,"Research, Legal research, AI, Communication skills",4.6,Other
Microsoft,Senior Applied Scientist,Noida,650000.0,"Search engines, Statistics, Image processing, Research, Machine learning",4.2,Other
ThoughtSpot,Member of Technical Staff 4,Bengaluru,0.0,"Penetration testing, Go, Cloud architecture, Business intelligence, Kubernetes",3.6,Other
ThoughtSpot,Senior Member of Technical Staff,Bengaluru,0.0,"Penetration testing, Go, Cloud architecture, Business intelligence, Kubernetes",3.6,Other
Listen2it,Webflow Developer,Remote,564000.0,"Web accessibility, CSS, Web development, Git, Responsive web design",,Other
OneInfini,Laravel Developer,Remote,468000.0,"CSS, Software troubleshooting, Git, PHP, OOP",,Other
Oracle,Applications Developer,Thiruvananthapuram,750000.0,"AJAX, Performance tuning, Oracle, Software troubleshooting, Data structures",3.8,Other
NS Global Corporation,Golang Developer,Remote,2900000.0,"Go, Node.js, English, GraphQL, Communication skills",,Other
Prowerse,Laravel Developer,Remote,600000.0,"MVC, Software troubleshooting, SQL, Database design, PHP",,Other
Academian,PERL DEVELOPER,Remote,0.0,"Oracle, Software troubleshooting, Relational databases, Databases, Analysis skills",,Other
Riyo Advertising,HTML Developer,Mumbai,0.0,"CSS, Web development, Content management systems, Responsive web design, Analysis skills",2.0,Other
Revenue Technology Services,Junior Developer,India,0.0,"ASP.NET, MVC, CSS, .NET Core, C#",4.2,Other
Virtusa,GoLang Developer,Bengaluru,550000.0,"Jira, CI/CD, Oracle, Go, Cassandra",3.7,Other
Fsuite Intelligence Pvt. Ltd.,. Net developer (1-2 yrs experience),Remote,0.0,"ASP.NET, Data modeling, MVC, CSS, Visual Studio",,Other
YAABITECH,Website Designer & Developer,Nāmakkal,4200000.0,"CSS, PHP, JavaScript, HTML, MySQL",4.0,Other
EZYGO INNOVATION LABS PVT LTD,Laravel Developer,Remote,270000.0,"CSS, Bootstrap, Mobile applications, Git, MongoDB",,Other
Grow Digi India Limited,Golang Developer (Immediate Joiner),Remote,390000.0,"Go, CSS, Relational databases, Git, Databases",,Other
Clario,Reporting Developer,Remote,0.0,"Power BI, Microsoft SQL Server, Databases, SQL, PostgreSQL",3.3,Other
Resulticks,HTML Developer,Chennai,0.0,"CSS, .NET, JavaScript, SASS, SEO",4.2,Other
Oracle,Apex Developer,Bengaluru,700000.0,"AJAX, Oracle, Node.js, CSS, Application development",3.8,Other
Creencia Technologies Private Limited,Spring Boot Developer,India,1000000.0,"Azure, Google Cloud Platform, Java, Microservices, AWS",4.5,Other
WEBBITECH,HTML Developer,India,162000.0,"Web design, CSS, React, Responsive web design, Graphic design",,Other
Digifloat,WP Developer,Remote,0.0,"CSS, WordPress, Graphic design, JavaScript, Communication skills",5.0,Other
DataArt,Apigee Developer,Bengaluru,0.0,"CI/CD, Performance tuning, XML, Load balancing, Continuous integration",4.5,Other
Kloudone,Fresher’s (Internship Opening)- B. E / B. Tech / MCA - IT,Remote,150000.0,"Go, CSS, React, Git, Java",3.4,Other
Mind map IT Solutions,CSS Developer,India,350000.0,"Web design, CSS, JavaScript, Software development, Communication skills",,Other
Zen Meraki Private Limited,GraphQL Developer,Remote,234000.0,"Authentication, Node.js, React, NoSQL, MongoDB",,Other
NATUREWINGS HOLIDAYS LTD.,HTML/CSS Developer,India,192000.0,"CSS, Bootstrap, React, Web development, Git",,Other
MBI Digital,SSIS Developer,India,0.0,"JUnit, Microsoft SQL Server, SSRS, Git, Java",2.9,Other
