company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Optum,Program Manager - AIML,Bengaluru,600000.0,"Project management, Quality assurance, Natural language processing, Data analytics, Data science",3.5,Product Manager
Seedify,AI Product Manager,Remote,0.0,"TensorFlow, Image processing, Computer vision, Analysis skills, Product management",3.1,Product Manager
Wadhwani AI,Program Manager - Health,Delhi,0.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Software deployment",3.2,Product Manager
ARMMAN,Product Manager - Mumbai / Hyderabad,Mumbai,700000.0,"Analysis skills, Machine learning, Product management, Public health, User research",4.8,Product Manager
Wadhwani AI,Senior Program Manager / Deputy Chief of Party (USAID - TB),Kālkāji Devi,650000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Research",3.2,Product Manager
Polygon,Technical Product Manager,Remote,0.0,"Management, Git, Research, Project management, Team management",3.3,Product Manager
Coinbase,"Senior Product Manager, Accounting Books & Records",Remote,0.0,"Product management, Accounting, APIs",3.8,Product Manager
Coinbase,"Senior Product Manager, Platform",Remote,0.0,"Product development, Machine learning, Product management, Relationship management, Leadership",3.8,Product Manager
[x]cube LABS,Product Manager,Hyderābād,700000.0,"React, Java, AWS, Product management, Usability",4.4,Product Manager
UST Global,Product Manager I,Bengaluru,700000.0,"Jira, Management, Internet of things, Kanban, Research",3.9,Product Manager
Oracle,Principal Product Manager/Strategy - OCI,India,0.0,"Oracle, Presentation skills, Product management, Middleware, Communication skills",3.8,Product Manager
Gamemano,Game Product Manager,Noida,3750000.0,"Unreal Engine, DevOps, C#, iOS, .NET",,Product Manager
Playdawn Consulting,Product Manager,Bengaluru,600000.0,"Jira, Trello, SQL, Analysis skills, Project management",5.0,Product Manager
Electronic Arts,Lead Game Product Manager,Hyderābād,950000.0,"Mobile applications, R, Data analysis skills, Tableau, SQL",4.1,Product Manager
Kwalee,Product Manager,Bengaluru,650000.0,"Market analysis, Product management, A/B testing, Communication skills, Negotiation",3.6,Product Manager
Skillz Inc.,"Product Manager - Live Ops (Bangalore, India)",Bengaluru,550000.0,"Microsoft Excel, Tableau, SQL, Wireframing, Calendar management",2.7,Product Manager
Diligent Corporation,Product Manager (Dashboard & Visualisations),Bengaluru,0.0,"Big data, Product management, Scrum, Agile, Communication skills",3.5,Product Manager
Contentstack,Product Manager,Bengaluru,700000.0,"Business analysis, Customer segmentation, Software development, Agile, SaaS",4.2,Product Manager
Zessta,Product Manager,Hyderābād,800000.0,"Web development, Databases, Project management, Product development, Scrum",4.6,Product Manager
