company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Dehazelabs,Junior Python Developer,Remote,300000.0,"CI/CD, Data modeling, Azure, Software troubleshooting, NoSQL",3.0,Python Developer
client in excellent opportunity,Python Developer,Remote,1100000.0,"English, Research, Analysis skills, Quality assurance, Technical writing",,Python Developer
Zoof Software Solutions,Junior Python Developer,Remote,480000.0,"Kubernetes, AWS, Docker, PostgreSQL, REST",4.6,Python Developer
REIZEND PRIVATE LIMITED,Python Developer ( For Night Shifts),Thiruvananthapuram,500000.0,"Jira, Computer science, Power BI, Data mining, Data structures",3.6,Python Developer
FIN Infocom,Python Developer Intern,India,900000.0,"Data modeling, CSS, NoSQL, Git, Databases",,Python Developer
STR Softwares,Python Developer,Remote,500000.0,"Data modeling, Azure, NoSQL, Git, Google Cloud Platform",,Python Developer
Notchup (formerly codemonk.ai),Python Developer,Remote,3600000.0,"Software troubleshooting, SQL, Django, Agile, Python",3.8,Python Developer
Madhav Technologies,Sr. Python Developer,Surat,720000.0,"Content management systems, English, Django, APIs, Communication skills",,Python Developer
Andrew's Group,Junior Python Developer,India,450000.0,"Jira, CI/CD, Azure, CSS, Kubernetes",,Python Developer
DevLopLab,Python Developer Intern,Remote,120000.0,"Python, MySQL",,Python Developer
Aura Bizcom,Python Developer Intern,Remote,0.0,"Azure, CSS, React, Web development, Git",,Python Developer
R. Wadiwala Security Pvt Ltd,Junior Python Developer,India,2200000.0,"C++, C, Network protocols, Software development, Python",,Python Developer
REIZEND PRIVATE LIMITED,Python Developer,India,500000.0,"Jira, CSS, Data structures, NoSQL, Git",3.6,Python Developer
datanomist,Python Developer,Hyderābād,500000.0,"Authentication, CSS, Git, Databases, SVN",3.7,Python Developer
Emerinter,PYTHON DEVELOPER,India,0.0,"English, Python",,Python Developer
Gairme Solutions,Sr. Python Developer,Remote,1850000.0,"Quality assurance, Quality control, Python",,Python Developer
Druv360°,Python Developer Intern,Cochin,30000.0,"Authentication, CSS, Software troubleshooting, Relational databases, Git",,Python Developer
Stackapps IT Services Pvt Ltd,Python Developer Intern,India,350000.0,"Java, Python",,Python Developer
rccenterprises,Junior Python Developer,India,210000.0,"MongoDB, Databases, Python, MySQL",,Python Developer
Shubpy Solutions Pvt. Ltd,Junior Python Developer,Remote,240000.0,"Azure, CSS, Software troubleshooting, Kubernetes, OOP",,Python Developer
Acumen 360°,Python Developer,Pune,1500000.0,"AWS, REST, Django, APIs, Python",4.8,Python Developer
Dharvi Technosoft Private Limited,Python Developer Intern,India,1200000.0,"Azure, CSS, Software troubleshooting, Git, AWS",,Python Developer
Recrooters,Python Developer,Remote,450000.0,"CI/CD, Software troubleshooting, React, Kubernetes, Software deployment",,Python Developer
"Altos Technologies Tidel Park, chennai",Python developer fresher,Chennai,132000.0,"MongoDB, AWS, Python, MySQL",,Python Developer
Pixelstat eSolutions Development,Python Developer,Hyderābād,450000.0,Python,3.9,Python Developer
Heliconia Solutions,Python Developer (Intern / Fresher),Vadodara,2016000.0,"Git, JavaScript, GitHub, Linux, Python",3.5,Python Developer
Benchmark Education Solutions,Python Developer to Optimize AI Microservices,Remote,350000.0,"Microservices, Docker, Distributed systems, APIs, S3",,Python Developer
Enlighten Schola,Python Developer,Hyderābād,1350000.0,"CI/CD, Azure, Software troubleshooting, Software deployment, DevOps",,Python Developer
Oracle,Python Developer,Hyderābād,800000.0,"Oracle, CSS, Relational databases, Enterprise Software, ERP systems",3.8,Python Developer
IQZ Systems,Python Developer,Remote,0.0,"CSS, NoSQL, Databases, SQL, OOP",4.8,Python Developer
Kramah Software India,Python Developer,Bengaluru,500000.0,"English, PHP, Data entry, Hindi, Communication skills",4.0,Python Developer
BYTESAR Technologies,Python Developer,Remote,700000.0,"Data modeling, CSS, NoSQL, SQL, AWS",,Python Developer
WebDesignCochin.in,Python Developer,Cochin,450000.0,"CSS, Web development, JavaScript, Django, Communication skills",,Python Developer
GiantMind Solutions,Sr. Python Developer,Remote,1150000.0,"MongoDB, Analysis skills, Communication skills, Python, MySQL",,Python Developer
Hansraj Ventures,Python Developer,Remote,150000.0,"Node.js, Software troubleshooting, Git, MongoDB, Databases",,Python Developer
cloudnet solutions,Python Developer,Remote,1140000.0,"Data structures, Databases, AWS, Machine learning, PostgreSQL",,Python Developer
SmartQ Bottle Lab Technologies Pvt Ltd,Python Developer,Bengaluru,750000.0,"Python, SDLC",4.5,Python Developer
PradeepIT Consulting Services,Python Developer,Bengaluru,0.0,"AWS, Python",4.5,Python Developer
Global Product Compliance,Python Developer,Nāgpur,500000.0,"CI/CD, JavaScript, PostgreSQL, Continuous integration, Django",2.0,Python Developer
Veracity Software,Jr Python Developer,India,0.0,"NoSQL, Databases, SQL, JavaScript, APIs",4.1,Python Developer
Infosys,Python Developer,Pune,450000.0,"Performance tuning, Database administration, Machine learning, PostgreSQL, Django",3.6,Python Developer
Evolv109,Senior Python Developer,Remote,1650000.0,"Writing skills, MongoDB, Python, MySQL",4.0,Python Developer
Virtusa,Python Developer,Bengaluru,550000.0,"Jira, Software troubleshooting, Project management, Python",3.7,Python Developer
qtech,Python Developer – Fresher,Mumbai,650000.0,"Research, Machine learning, Natural language processing, Django, Research & development",3.3,Python Developer
HelixBeat,Senior Python Developer,Remote,4200000.0,"PostgreSQL, Django, Python",5.0,Python Developer
MBR Informatics,Python Developer,Hyderābād,450000.0,Python,3.8,Python Developer
Corporate Hierarchy Solutions,Senior Python Developer,Remote,2050000.0,"CI/CD, Git, Continuous integration, Software development, Agile",,Python Developer
dv-indan,Python developer,Chennai,0.0,"Programmable logic controllers, Machine learning, Software development, Distributed control systems, Python",,Python Developer
e-Stone Information Technology,Python Developer,Remote,0.0,"Jira, Git, SQL, Project management, Scrum",3.7,Python Developer
Morulaa HealthTech Pvt LTd,Junior Python Developer,Hyderābād,234000.0,"Azure, CSS, NoSQL, Google Cloud Platform, SQL",,Python Developer
Corporate Hierarchy Solutions Pvt. Ltd,Sr. Python Developer,Remote,1800000.0,"CI/CD, Git, Continuous integration, Software development, Agile",,Python Developer
Optim Hire (LAD Software Solutions Pvt LTd),"Python Developer (2-4 years, remote)",Remote,480000.0,"C#, Git, English, .NET, C++",3.6,Python Developer
Nithish Software Soluctions Private Limited,Python Developer Intern,Visakhapatnam,90000.0,"Authentication, CSS, Databases, JavaScript, Django",,Python Developer
Talenzen,Lead Python Developer,Remote,1700000.0,"CI/CD, DevOps, PostgreSQL, Continuous integration, Django",,Python Developer
Quytech,Python Developer,Remote,0.0,"CSS, Relational databases, Git, Databases, JavaScript",4.1,Python Developer
Habilelabs Pvt. Ltd.,Python Developer,Gurgaon,900000.0,"Kubernetes, MongoDB, Microservices, SQL, AWS",4.2,Python Developer
IT Futurz,Sr. Python Developer,Remote,690000.0,"CI/CD, Azure, Kubernetes, Test automation, Git",,Python Developer
Inovant Solutions for Websites PVT. LTD,Python Developer,Mumbai,500000.0,"TensorFlow, Cloud infrastructure, Azure, Data structures, OOP",,Python Developer
WAHY LAB SOLUTIONS,Jr Python Developer,Cochin,4800000.0,"PostgreSQL, Django, Python, MySQL",3.6,Python Developer
Knack Consulting Services Pvt Ltd,Python Developer,Bengaluru,0.0,Python,3.8,Python Developer
Autviz Solutions,Junior Python Developer,Mohali,120000.0,Python,,Python Developer
EzQuant,Python Developer Intern,Gāndhīnagar,210000.0,"MongoDB, Microservices, AWS, Python, MySQL",,Python Developer
Dotcod Innovation Private Limited,Python Developer,India,500000.0,"CI/CD, Cloud architecture, Software troubleshooting, Kubernetes, DevOps",5.0,Python Developer
Leegality,Python Developer (Women Developer),Remote,1150000.0,"CI/CD, Software deployment, Test-driven development, MongoDB, Microservices",,Python Developer
Microorbit consulting services INC,Senior Lead Python Developer,Remote,1750000.0,"Research, Quality assurance, Quality control, AI, Leadership",,Python Developer
Persistent Systems,Python Developer,India,0.0,"JavaScript, Django, Python, HTML",3.7,Python Developer
pentoz technology,python developer,Bengaluru,450000.0,"CSS, Data structures, Microsoft SQL Server, NoSQL, Git",2.2,Python Developer
mquotient,Python Developer,Bengaluru,450000.0,"Redis, Django, Linux, Python, MySQL",3.9,Python Developer
Kelly Services Internal,Python Developer- T2/Hyd,Hyderābād,0.0,"Jira, Microsoft Office, SQL, AWS, Analysis skills",3.3,Python Developer
Rich Robust,Python developer,Mohali,390000.0,"Java, Analysis skills, C++, C, JavaScript",,Python Developer
Zyphernet Technosoft,Junior Python Developer(Night Shift),India,348000.0,"Test automation, Selenium, JavaScript, Python",,Python Developer
Mukesh & Associates,Junior Python Developer,Salem,480000.0,"Elasticsearch, Web development, Database management, PostgreSQL, Django",,Python Developer
Alpha ICT,Python Developer,Pune,550000.0,"Application development, Django, Linux, Communication skills, Python",3.3,Python Developer
AARA Technologies Private Limited,Python Developer,Lucknow,550000.0,"JavaScript, Django, Python, HTML",3.2,Python Developer
Milestone Career Planner,Python Developer,Hyderābād,210000.0,"Performance tuning, Azure, Software troubleshooting, Git, Databases",,Python Developer
Citta Solutions,Python Developer,Remote,0.0,"Authentication, CSS, React, Git, Databases",3.4,Python Developer
AGM Global Services LLP,Junior Python Developer,Calicut,90000.0,"SQL, C++, C, JavaScript, Python",,Python Developer
