company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
LESTARS MANAGEMENT CONSULTANCY L.L.C,Quality Engineer,Remote,0.0,"CI/CD, Test automation, Selenium, Continuous integration",,Quality-Assurance Engineer
[x]cube LABS,QA Engineer,Hyderābād,650000.0,"Writing skills, Mobile applications, Selenium, AWS, Quality assurance",4.4,Quality-Assurance Engineer
Vegavid Technology,QA Engineer,Noida,550000.0,"Jira, Mobile applications, Selenium, Machine learning, APIs",4.9,Quality-Assurance Engineer
Collins Aerospace,Associate QA Analyst,Hyderābād,0.0,"Jira, CI/CD, TestNG, JUnit, Big data",3.8,Quality-Assurance Engineer
"Mercari, Inc. (India)",QA Engineer,Bengaluru,550000.0,"CI/CD, Go, Mobile applications, iOS, E-Commerce",3.9,Quality-Assurance Engineer
Collins Aerospace,Associate IT QA Analyst,Hyderābād,0.0,"Jira, CI/CD, Big data, C#, Test automation",3.8,Quality-Assurance Engineer
ITH Technologies,Quality Assurance Engineer,Kanpur Nagar,850000.0,"Mobile applications, Java, Quality assurance, Machine learning, Software testing",3.5,Quality-Assurance Engineer
BitGo,Senior QA Engineer,Bengaluru,550000.0,"Jira, CI/CD, Node.js, Cucumber, Selenium",4.5,Quality-Assurance Engineer
Tech Alchemy,Automation QA Engineer,Pune,450000.0,"Jira, CI/CD, Software troubleshooting, Mobile applications, iOS",4.2,Quality-Assurance Engineer
[x]cube LABS,QA Automation Engineer,Hyderābād,450000.0,"CI/CD, Cucumber, Selenium, Functional testing, AWS",4.4,Quality-Assurance Engineer
xalts,"Quality Assurance Engineer, Automation",Bengaluru,500000.0,"Jira, CI/CD, TestNG, JUnit, Cucumber",4.2,Quality-Assurance Engineer
Seminal,Senior QA Lead,Chennai,750000.0,"Cucumber, Test automation, Selenium, Build automation, Java",4.0,Quality-Assurance Engineer
State Street,Quality Assurance - Assistant Manager,Bengaluru,600000.0,"Jira, TestNG, Azure, JUnit, LoadRunner",3.5,Quality-Assurance Engineer
Collins Aerospace,Lead IT QA Analyst,Hyderābād,0.0,"Jira, SAFe, XML, Test management tools, Big data",3.8,Quality-Assurance Engineer
iNautical Software,Software Quality Assurance (QA) Analyst with Automated Testing Experience,Chandigarh,0.0,"Live chat, Jira, Web design, Pricing, Operating systems",4.2,Quality-Assurance Engineer
IBI Group,Quality Analyst - Manual,Hyderābād,550000.0,"Jira, Test automation, Selenium, Quality assurance, Confluence",3.7,Quality-Assurance Engineer
Citeline,QA Analyst,Remote,0.0,"Jira, CI/CD, Computer science, SAFe, Azure",2.7,Quality-Assurance Engineer
Sapiens,Quality Analyst,Bengaluru,800000.0,"Business intelligence, SQL",3.6,Quality-Assurance Engineer
Fresh Gravity,Analyst / Consultant - QA Testing (2025),Pune,4800000.0,"SQL, Analysis skills, Product development, Data management, Organizational skills",3.5,Quality-Assurance Engineer
SpringerNature,Quality Analyst,Pune,550000.0,"Jira, Selenium, Java, REST, Scrum",4.0,Quality-Assurance Engineer
Smart Data Solutions LLC,Quality Assurance Analyst,India,0.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, EDI, Visio",3.2,Quality-Assurance Engineer
Guidehouse,Quality Analyst,Chennai,450000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook",3.6,Quality-Assurance Engineer
Tapsoft Tech Labs Pvt Ltd,Quality Analyst,India,250000.0,"Marathi, Backbone.js, JUnit, Test automation, Selenium",,Quality-Assurance Engineer
Rubrik Job Board,Customer Solutions System QA Analyst,Bengaluru,700000.0,"Sales, Research, Machine learning, Data management, Product management",3.7,Quality-Assurance Engineer
nimble International,"Quality Analyst, Coder",Hyderābād,4800000.0,"Pricing, Microsoft Excel, Medical coding, Windows, Microsoft Office",4.1,Quality-Assurance Engineer
Cogitate Technology,Quality Analyst,Navi Mumbai,4800000.0,"Waterfall, LoadRunner, Test automation, Selenium, Java",4.3,Quality-Assurance Engineer
Deloitte,Senior Analyst - ETL QA,Hyderābād,600000.0,"Azure, Business intelligence, SAP HANA, DB2, SAP",4.0,Quality-Assurance Engineer
Compile,QA for RWD,Bengaluru,600000.0,"Jira, LoadRunner, Test automation, Selenium, Git",4.0,Quality-Assurance Engineer
Yash Technologies,QA Engineer,Bengaluru,500000.0,"Azure, Software deployment, Test automation, AWS, Analysis skills",3.7,Quality-Assurance Engineer
Yash Technologies,Test Engineer - Selenium,Pune,750000.0,"Cucumber, Test automation, Selenium, Java, OOP",3.7,Quality-Assurance Engineer
McKesson,QA for RWD,Bengaluru,550000.0,"Jira, LoadRunner, Test automation, Selenium, Git",3.8,Quality-Assurance Engineer
Smart Data Solutions LLC,Quality Assurance and Documentation Specialist,India,0.0,"Microsoft Powerpoint, Microsoft Word, EDI, English, Research",3.2,Quality-Assurance Engineer
BizTecno,Data Quality Analyst - Data Governance,Chandigarh,0.0,"Statistics, Oracle, SAP, Tableau, Databases",4.7,Quality-Assurance Engineer
S&P Global,Senior SQA Analyst,Hyderābād,650000.0,"Azure, Cucumber, Selenium, Git, Java",4.1,Quality-Assurance Engineer
