company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Polygon,Site Reliability Engineer,Remote,0.0,"Software troubleshooting, Ansible, Software deployment, Load balancing, DevOps",3.3,Site-Reliability Engineer
NetApp,"Site Reliability Engineer (Python, Golang, Terraform, Ansible)",Bengaluru,1608000.0,"Jira, Elasticsearch, Cloud infrastructure, Go, Incident management",4.1,Site-Reliability Engineer
NetApp,Site Reliability Engineer,Bengaluru,1608000.0,"Computer science, Elasticsearch, Azure, Operating systems, Cassandra",4.1,Site-Reliability Engineer
Alkira,Software Engineer - SRE (India),Remote,0.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, AWS",4.2,Site-Reliability Engineer
Calibery Software LLC,Site Reliability Engineer,Remote,936000.0,"Cloud infrastructure, Azure, Load balancing, openSUSE, PaaS",3.0,Site-Reliability Engineer
Microsoft,Site Reliability Engineer,Hyderābād,0.0,"Microsoft Windows Server, CI/CD, Azure, DevOps, Microsoft SQL Server",4.2,Site-Reliability Engineer
InOrg Global,Site Reliability Engineer (SRE),Remote,0.0,"Elasticsearch, Azure, Operating systems, Kubernetes, Ansible",,Site-Reliability Engineer
Masabi,Site Reliability Engineer (remote),Maharashtra,0.0,"CI/CD, Cloud infrastructure, PCI, Git, AWS",4.5,Site-Reliability Engineer
Axelerant,Software Engineer - Site Reliability,Remote,0.0,"CI/CD, Cloud infrastructure, Go, Kubernetes, Ansible",4.5,Site-Reliability Engineer
Oracle,Site Reliability Engineer,Bengaluru,800000.0,"TCP, Azure, Oracle, Kubernetes, Software deployment",3.8,Site-Reliability Engineer
PhonePe,SRE,Bengaluru,414500.0,"Software troubleshooting, Relational databases, NoSQL, Git, Databases",3.9,Site-Reliability Engineer
Apple,Site Reliability Engineering Manager,Bengaluru,0.0,"Authentication, SFTP, Data modeling, Azure, Kubernetes",4.1,Site-Reliability Engineer
UKG,Lead Database Reliability Engineer,Noida,766500.0,"Cloud infrastructure, Azure, Operating systems, Oracle, Go",3.4,Site-Reliability Engineer
Token Metrics,DevOps/Site Reliability Engineer (Remote),Remote,0.0,"Cloud infrastructure, System administration, Oracle, Software troubleshooting, Google Cloud Platform",3.4,Site-Reliability Engineer
Phenom People,SRE/ Devops Engineer II,Hyderābād,600000.0,"CI/CD, Cloud infrastructure, Operating systems, Software troubleshooting, Salt",4.0,Site-Reliability Engineer
Adroit Vantage Technologies Inc.,SRE / DevOPS Specialist,Bengaluru,650000.0,"Kubernetes, DevOps, Server management",3.0,Site-Reliability Engineer
client in excellent opportunity,DEvops/SRE Senior Engineer,Bengaluru,2750000.0,"Jira, CI/CD, Kubernetes, Software deployment, DevOps",,Site-Reliability Engineer
ByteSprint Talent Search LLP,Devops SRE Engineer,Bengaluru,1500000.0,"CI/CD, TCP, Cloud infrastructure, System administration, Azure",,Site-Reliability Engineer
Tech Prescient,SRE Devops Engineer,Bengaluru,750000.0,"DevOps, AWS, Terraform, SDKs, Scripting",4.5,Site-Reliability Engineer
Deqode,DevOps/SRE Engineer,Pune,4800000.0,"CI/CD, Cloud infrastructure, Node.js, Kubernetes, Ansible",3.9,Site-Reliability Engineer
Syndr,Site Reliability Engineer (DevOps),Delhi,0.0,"CI/CD, Go, Node.js, Salt, Kubernetes",5.0,Site-Reliability Engineer
innData Analytics,Devops Engineer / Site reliability engineer,Visakhapatnam,550000.0,"Go, Cassandra, Salt, Kubernetes, Ansible",4.4,Site-Reliability Engineer
Exeter Premedia Services Pvt Ltd,Devops SRE Engineer,Chennai,750000.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",3.4,Site-Reliability Engineer
