company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Microsoft,Senior Software Engineer,Bengaluru,600000.0,"TensorFlow, C++, C, Deep learning, SDKs",4.2,Software Engineer
Goldman Sachs,Software Engineer - Vice President - Core Engineering,Hyderābād,0.0,"CI/CD, React, Kubernetes, Relational databases, DevOps",3.9,Software Engineer
Trellix,Senior Software Development Engineer,Bengaluru,750000.0,"Oracle, SAP HANA, DB2, Microsoft SQL Server, NoSQL",3.4,Software Engineer
Oracle,Software Developer,Hyderābād,800000.0,"Oracle, JUnit, XML, Enterprise Software, J2EE",3.8,Software Engineer
infiniti soft system,Software Developer,Bengaluru,1400000.0,"Relational databases, Microsoft SQL Server, SSRS, English, Java",,Software Engineer
InfoMatrix Digital Solutions,Software Developer Intern,Remote,48000.0,"Node.js, React, APIs",,Software Engineer
Twinsway Technologies,Junior Software Developer,Thiruvananthapuram,300000.0,"CSS, React, JavaScript, Communication skills, HTML",,Software Engineer
PropertyGuru Pte Ltd,Software Engineer,Bengaluru,700000.0,"Elasticsearch, Node.js, React, Kubernetes, Git",3.5,Software Engineer
"Signimus Technolgies: Hiring Python, MERN, React Native and other Devs",Software Developer Training internship,Remote,0.0,"Git, MongoDB, .NET, Java, Application development",,Software Engineer
AerialBorne,Junior Software Developer,Pilani,282000.0,"Computer science, Node.js, React, Web development, OOP",,Software Engineer
EXR Systems LLC,Software Developer,Remote,330000.0,"Authentication, Node.js, CSS, React, MongoDB",,Software Engineer
Xanika Infotech,Enterprise Software Developer,Remote,600000.0,"CI/CD, Go, Software deployment, Enterprise Software, English",4.0,Software Engineer
KRYFS Technologies Pvt Ltd,Junior Software Developer,India,200000.0,"CSS, Software troubleshooting, Git, PHP, Analysis skills",,Software Engineer
Digital Upward Pvt Ltd,Software Developer Intern,Bengaluru,1050000.0,"Node.js, Mobile applications, Application development, OOP, Analysis skills",,Software Engineer
Logic Research Labs,Software Developer,Thanjāvūr,550000.0,,3.7,Software Engineer
Avidian Technologies,Software Developer,Remote,3600000.0,"Azure, Microsoft Outlook, React, DevOps, .NET Core",4.0,Software Engineer
Indo-Thai Securities Ltd,Software Developer Intern,Indore,102000.0,"CSS, React, Git, Databases, SQL",,Software Engineer
SOTI Inc.,Junior Software Developer,Cochin,0.0,"Data modeling, Node.js, CSS, C#, .NET",3.6,Software Engineer
Meltronics Systemtech,Application software developer,India,400000.0,"Visual Studio, C#, .NET, SQL, C++",,Software Engineer
HyScaler,Junior Software Developer,India,0.0,"Node.js, Databases, SQL, PHP, Docker",4.7,Software Engineer
Actify Business,Software Developer Intern,Thāne,150000.0,"CSS, React, Data structures, J2EE, Java",,Software Engineer
Technource (Techno Source Web Pvt. Ltd.),Jr. Software Developer,India,150000.0,"Node.js, CSS, React, NoSQL, Git",,Software Engineer
Crypto PMS,Flash crypto software developer,Remote,150000.0,"Rust, Node.js, React, .NET, Java",,Software Engineer
LCX,Senior Software Developer,Gurgaon,1450000.0,"Node.js, Kubernetes, Encryption, NoSQL, SQL",4.1,Software Engineer
nLineAxis,Senior Software Developer,Gurgaon,2350000.0,"Node.js, Kubernetes, Encryption, NoSQL, SQL",,Software Engineer
Coinbase,"Staff Software Engineer, Infrastructure - Developer Productivity",Remote,0.0,"Machine learning, Communication skills, SDLC",3.8,Software Engineer
Oracle,Software Development Snr Manager,Bengaluru,700000.0,"Performance tuning, Oracle, Go, Node.js, Kubernetes",3.8,Software Engineer
The Liechtenstein Cryptoassets Exchange,Senior Software Developer,Gurgaon,550000.0,"Node.js, Kubernetes, Encryption, NoSQL, SQL",4.1,Software Engineer
S&P Global,Software Developer/Engineer III,Noida,800000.0,"Azure, Node.js, React, Test-driven development, Java",4.1,Software Engineer
Accenture,Software Development Engineer,Bengaluru,0.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Load balancing",3.8,Software Engineer
Collins Aerospace,Lead Software Developer,Bengaluru,0.0,"Oracle, CAD, Big data, Pro/ENGINEER, Java",3.8,Software Engineer
"Mercari, Inc. (India)","Software Engineer, Platform Engineering (Mercari India)",Bengaluru,700000.0,"CI/CD, Elasticsearch, Azure, Go, Kubernetes",3.9,Software Engineer
Ultrapro Blockchain Tech Private Limited,Senior Software Engineer,India,0.0,"Node.js, CSS, Software troubleshooting, React, Git",,Software Engineer
Simform,Sr. Software Engineer (Innovation),Ahmedabad,600000.0,"Azure, Cloud architecture, Internet of things, Kubernetes, Google Cloud Platform",4.1,Software Engineer
RockWallet,Senior Software Engineer,Noida,550000.0,"CI/CD, Ant, JUnit, Cassandra, Kubernetes",3.1,Software Engineer
Chubb,Senior Software Engineer,Telangana,0.0,"Cucumber, Salesforce, C#, Selenium, Test-driven development",3.8,Software Engineer
General Mills,Software Engineer II – Sites & Services,Mumbai,700000.0,"CI/CD, ASP.NET, Cloud infrastructure, Kubernetes, Kanban",4.1,Software Engineer
JPMorganChase,Software Engineer III - Java,Bengaluru,600000.0,"CI/CD, Software troubleshooting, Relational databases, System design, Java",4.0,Software Engineer
ZoomRx,Software Development Engineer,India,0.0,"Software deployment, iOS, System design, Git, REST",3.7,Software Engineer
NASDAQ,Software Developer Specialist - AI/ML,Bengaluru,4800000.0,"TensorFlow, CI/CD, Azure, Big data, DevOps",4.1,Software Engineer
Coinbase,"Software Engineer, Emerging Talent",Remote,1350000.0,"Go, React, iOS, MongoDB, AWS",3.8,Software Engineer
Mastercard,"Vice President, Software Engineering",Pune,0.0,"Oracle, Big data, Spark, Git, Information security",4.2,Software Engineer
Sadhana IT Solutions,Software Engineer (Entry-level/Fresher),Pune,4800000.0,"Azure, Go, Node.js, React, Web development",4.0,Software Engineer
Vividco,Entry Level Software Engineer,Remote,250000.0,"Software troubleshooting, Relational databases, Git, Databases, SQL",,Software Engineer
Nbyula,Software Engineer-Summer Internship,Bengaluru,850000.0,Distributed systems,3.9,Software Engineer
Experian,Associate Software Engineer,Hyderābād,550000.0,"CI/CD, XML, NoSQL, Information security, Java",4.2,Software Engineer
Edvak Technologines Inc,Software Engineer,India,1100000.0,"Elasticsearch, Node.js, Kubernetes, Web development, System design",,Software Engineer
Optum,Software Engineer,Hyderābād,900000.0,"Performance testing, AI",3.5,Software Engineer
BP Energy,Staff Software Development Engineer for Test,Pune,600000.0,"CI/CD, Azure, Kubernetes, iOS, Business analysis",3.9,Software Engineer
Frenzopay,Software Engineer,Noida,660000.0,"System administration, DevOps, .NET, Java, AWS",,Software Engineer
