company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Bosch Group,Backend Developer-Support Engineer,Telangana,0.0,".NET, SQL, PostgreSQL",4.1,Support Engineer
AlphaSense India,Customer & Product Support Analyst,Pune,700000.0,"Analysis skills, AI, Communication skills, Time management",3.8,Support Engineer
AlphaSense,Customer & Product Support Analyst,Pune,700000.0,"Analysis skills, AI, Communication skills, Time management",3.8,Support Engineer
Barclays,Application Support Analyst,Pune,750000.0,"Oracle, Business intelligence, SAS, DB2, Microsoft SQL Server",3.9,Support Engineer
CIRCOR,IT Support Analyst,Coimbatore,4200000.0,"ERP systems, Network infrastructure, Project management, Team management, Data analytics",3.7,Support Engineer
NTT DATA,IT Support Analyst,India,0.0,"Spanish, SAP, English, SQL, AWS",3.8,Support Engineer
"PRGX Global, Inc",Support Analyst,Pune,550000.0,"Microsoft Excel, Microsoft Access, Microsoft Outlook, Business intelligence, Accounts payable",3.5,Support Engineer
Gallagher,Business Analyst Lead: Technical Support,Bengaluru,600000.0,"Business analysis, Technical support, Analysis skills, Project management",3.6,Support Engineer
Kinaxis Inc.,"Manager, Customer Support - Analytics",India,0.0,"Management, Customer service, Supply chain, Windows, Microsoft Office",4.0,Support Engineer
NASDAQ,Senior Customer Support/Operations Specialist,Mumbai,550000.0,"JBoss, English, Java, SQL, Quality assurance",4.1,Support Engineer
Thomson Reuters,Platform Support Analyst,Bengaluru,4200000.0,"Data modeling, DevOps, Alteryx, Git, Java",4.1,Support Engineer
BLACK HOLE INFOSYSTEMS,Cloud Support Engineer,Chennai,222000.0,Cloud infrastructure,,Support Engineer
Talentxo,"Product Support Engineer (RDBMS, SQL, Cloud Technologies)",Remote,3000000.0,"Performance tuning, Azure, Oracle, Microsoft SQL Server, Databases",3.7,Support Engineer
DigitalOcean,Cloud Support Engineer,Hyderābād,500000.0,"Jira, Cloud infrastructure, Incident management, Salesforce, Debian",3.7,Support Engineer
ASWAT,L1 Support Engineer,Remote,0.0,"English, VoIP, IT support, Computer networking, APIs",,Support Engineer
Stacknize Solution LLP,Application Support Engineer Intern,Remote,0.0,"Software troubleshooting, Business analysis, Java, Quality assurance, Linux",,Support Engineer
"AmvionLabs Pvt Ltd.,",Cloud Support Engineer,Chennai,300000.0,"CI/CD, Cloud infrastructure, Azure, Ansible, DevOps",,Support Engineer
Fluid.Live Solutions Pvt Ltd,Cloud Support Engineer,Pune,420000.0,"Jira, Network administration, TCP, Cloud infrastructure, Azure",4.4,Support Engineer
Barclays,Public Cloud Support Engineer,Pune,700000.0,"CI/CD, Azure, Incident management, Kubernetes, Git",3.9,Support Engineer
Skilltasy,Sr. Cloud Support Engineer,Hyderābād,700000.0,"Scripting, VMWare, vSphere, Python, vCenter",,Support Engineer
MicroStrategy India,Cloud Support Engineer,Nāgpur,600000.0,"System administration, Azure, Business intelligence, Software troubleshooting, XML",3.4,Support Engineer
AWS India - Telangana,Cloud Support Engineer (BigData),Hyderābād,750000.0,"TCP, System administration, Cassandra, Load balancing, Spark",3.6,Support Engineer
CloudThat Technologies Pvt. Ltd.,Cloud Support Engineer,Ahmedabad,3000000.0,"Jira, CI/CD, Cloud infrastructure, Azure, Software troubleshooting",4.0,Support Engineer
AWS India - Telangana,Cloud Support Engineer (Cont),Hyderābād,750000.0,"JBoss, CI/CD, TCP, System administration, Kubernetes",3.6,Support Engineer
DigitalOcean,Associate Cloud Support Engineer - Managed Databases,Hyderābād,500000.0,"Oracle, Node.js, MongoDB, PHP, PostgreSQL",3.7,Support Engineer
Webspiders Interweb Pvt Ltd,Cloud Support Engineer,India,210000.0,"Technical support, Analysis skills, Communication skills",2.4,Support Engineer
ZADARA STORAGE,Cloud Support Engineer I,Bengaluru,500000.0,"Cloud infrastructure, System administration, Azure, Cloud architecture, Customer service",3.4,Support Engineer
IndiQus Technologies,Cloud Support Engineer,Delhi,0.0,"Cloud infrastructure, System administration, NFS, English, OpenStack",,Support Engineer
AWS India - Telangana,Cloud Support Engineer (Database),Hyderābād,750000.0,"Performance tuning, Oracle, Software troubleshooting, Load balancing, Database administration",3.6,Support Engineer
Econz IT solutions,Support Engineer - Cloud Tech,Bengaluru,0.0,"Cloud infrastructure, Communication skills, Time management",4.2,Support Engineer
Luxoft,Cloud Support Engineer,Bengaluru,700000.0,"CI/CD, Azure, Ansible, Git, English",3.7,Support Engineer
Sprinto,Product Support Engineer - Remote,Remote,0.0,"Cloud infrastructure, English, Technical support, Information security, APIs",4.2,Support Engineer
fluidonomics Solutions,Cloud Support Engineer,Pune,4200000.0,"Jira, Network administration, TCP, Cloud infrastructure, Azure",4.4,Support Engineer
AWS India - Telangana,Cloud Support Engineer I (Media & Content Delivery),Hyderābād,750000.0,"SFTP, TCP, System administration, Cloud architecture, Tomcat",3.6,Support Engineer
Infor,"Desktop Support Engineer, Associate",Hyderābād,850000.0,"Microsoft Windows Server, Microsoft Powerpoint, TCP, English, Windows",4.0,Support Engineer
AWS India - Tamil Nadu,"Cloud Support Associate, Support Engineering",Bengaluru,700000.0,"TCP, System administration, C#, Solaris, Windows",3.6,Support Engineer
Virtusa,Production Support Engineer,Bengaluru,450000.0,"Software troubleshooting, Splunk, New Relic",3.7,Support Engineer
The Modern Data Company,Platform Support Engineer,India,0.0,"Azure, Incident management, Kubernetes, SQL, AWS",3.3,Support Engineer
AWS India - Karnataka,Cloud Support Engineer (Networking),Bengaluru,700000.0,"TCP, AWS, SSL, BGP, Routing protocols",3.6,Support Engineer
Microsoft,Technical Support Engineering,India,0.0,"Authentication, Azure, CSS, Customer service, Load balancing",4.2,Support Engineer
Picus,TAC Support Engineer (India),Remote,0.0,"TCP, System administration, English, Research, Windows",4.4,Support Engineer
Boost Tech,Senior Tech Support Engineer,Bengaluru,700000.0,"Asset management, System administration, Software troubleshooting, Microsoft SQL Server, Windows",,Support Engineer
Umbrella Infocare,AWS Cloud Support Engineer,Noida,4200000.0,"TCP, Cloud infrastructure, Azure, Load balancing, Encryption",3.9,Support Engineer
InfoObjects,Application Support Engineer,Remote,0.0,"Operating systems, Oracle, Software troubleshooting, WebSphere, Java",4.3,Support Engineer
ChargePoint,Associate Technical Support Engineer,Bengaluru,550000.0,"Jira, TCP, Software troubleshooting, Salesforce, English",3.3,Support Engineer
Stitched Textile Limited,IT Support Engineer,Ahmedabad,420000.0,"System administration, Software troubleshooting, ERP systems, Network protocols, IT support",,Support Engineer
Agrigator pvt Ltd.,IT Support Engineer,Mumbai,600000.0,"TCP, LAN, Windows, Microsoft Office, DHCP",,Support Engineer
Adhaan Solution Pvt. Ltd.,IT Support Engineer,Bengaluru,550000.0,"Microsoft Windows Server, Azure, Inventory control, Procurement, Windows",,Support Engineer
LanceTech Solutions Pvt Ltd,Desktop Support Engineer,Gurgaon,1100000.0,"Microsoft Powerpoint, Microsoft Word, Desktop support, Microsoft Excel, Microsoft Outlook",4.6,Support Engineer
Everstage,Tech Support Engineer (Contract) (Remote),Chennai,700000.0,"Jira, Azure, Incident management, Technical support, AWS",4.7,Support Engineer
Paymentology,Advanced Customer Support Engineer - India,Remote,0.0,"Incident management, DevOps, English, SQL, PostgreSQL",4.6,Support Engineer
Renous Consulting,Senior Product Support Engineer,Remote,2250000.0,"Performance tuning, Azure, Oracle, Microsoft SQL Server, Google Cloud Platform",,Support Engineer
Techminds India Pvt Ltd,Cloud Support Engineer,India,1050000.0,"CI/CD, Cloud infrastructure, Azure, Cloud architecture, Ansible",,Support Engineer
BETSOL,Technical Support Engineer,Bengaluru,2400000.0,"English, Technical support, Conflict management, Computer networking, Computer skills",3.9,Support Engineer
Infusai Solutions,Cloud Services Technical Support Engineer,Bhopal,550000.0,"Azure, English, Technical support, Microsoft Office, SharePoint",3.8,Support Engineer
REIZEND PRIVATE LIMITED,TECHNICAL SUPPORT ENGINEER,India,800000.0,"Jira, CI/CD, Incident management, Software troubleshooting, Kubernetes",3.6,Support Engineer
Dixit Infotech,Application Support Engineer,India,0.0,"Microsoft Powerpoint, Agile, Application support, Communication skills",4.0,Support Engineer
Wiplon,Technical Support Associate/Cloud Support Engineer,Jaipur,450000.0,"Live chat, Technical support, Communication skills",,Support Engineer
Atlassian,"Senior Support Engineer, Cloud Migrations",Bengaluru,850000.0,"SSO, Windows, Java, SQL, SSL",3.7,Support Engineer
Boomi Careers Page,Product Support Engineer - Triage (NAM),Hyderābād,650000.0,"System administration, Azure, Software troubleshooting, React, Salesforce",3.3,Support Engineer
Norstella,Application Support Engineer,Remote,0.0,"Azure, C#, .NET, Java, SQL",3.4,Support Engineer
CloudAge Global Services,Technical Support Engineer – Cloud Support Desk,Pune,500000.0,"FTP, TCP, Cloud infrastructure, Operating systems, English",4.6,Support Engineer
Veeva Systems,Product Support Engineer,Hyderābād,450000.0,"Jira, Software troubleshooting, Enterprise Software, English, Zendesk",3.6,Support Engineer
Boost Tech,Application Support Engineer,Ahmedabad,650000.0,"Live chat, Salesforce, Technical support, SQL, REST",,Support Engineer
AnugrahHrservices,L2 Support Engineer,Nāgpur,660000.0,"Power BI, SCCM, Windows, Microsoft Office, SharePoint",,Support Engineer
AWS India - Karnataka,Cloud Support Engineer (Database),Bengaluru,700000.0,"Performance tuning, Oracle, Software troubleshooting, Load balancing, Windows",3.6,Support Engineer
BirlaSoft,Desktop Support Engineer-Chennai,Mumbai,4800000.0,"Computer operation, Desktop support, Software troubleshooting, SAP, DHCP",3.6,Support Engineer
Alobha Technologies Pvt. Ltd,IT Support Engineer / System Engineer,Noida,2160000.0,"Network administration, Azure, Operating systems, Software troubleshooting, Git",4.1,Support Engineer
Cloud Solutions hub pvt ltd,Application Support Engineer,India,700000.0,"Microsoft Office, SQL, Banking",,Support Engineer
UPS India,Google Cloud Infrastructure Support Engineer,Chennai,4800000.0,"Cloud infrastructure, Cloud architecture, Kubernetes, Software deployment, Google Cloud Platform",3.5,Support Engineer
AWS India - Telangana,Cloud Support Engineer (Deployment),Hyderābād,750000.0,"JBoss, Go, Node.js, Kubernetes, Ansible",3.6,Support Engineer
Boost Tech,Senior IT Support Engineer,Bengaluru,450000.0,"Asset management, System administration, Operating systems, Software troubleshooting, Microsoft SQL Server",,Support Engineer
The Viswa Group,Customer support and Reporting Analyst,India,750000.0,"Customer service, English, Technical support, Customer support, Communication skills",,Support Engineer
Talentxo,"Product Support Engineer (RDBMS, SQL, Cloud Technologies)",Remote,3500000.0,"Performance tuning, Azure, Oracle, Microsoft SQL Server, Databases",3.7,Support Engineer
Renous Consulting,Senior Product Support Engineer,Remote,2500000.0,"Performance tuning, Azure, Oracle, Microsoft SQL Server, Google Cloud Platform",,Support Engineer
TechyBex,Database Support Engineer,Noida,0.0,"Oracle, Microsoft SQL Server, NoSQL, MongoDB, Databases",,Support Engineer
Balsam united co.ltd,IT Support Specialist,Hyderābād,250000.0,"Jira, System administration, Software troubleshooting, IT support, Organizational skills",,Support Engineer
Link Group,IT Support Analyst,Pune,441000.0,"Operating systems, WebSphere, IT service management, J2EE, Microsoft Office",3.5,Support Engineer
Owens & Minor India Private Limited,Associate Systems Support Engineer,Pune,588000.0,"Microsoft Windows Server, System administration, Operating systems, Software troubleshooting, Windows",3.3,Support Engineer
ZS,Technical Support Associate,Pune,823000.0,"Microsoft Outlook, Software troubleshooting, SCCM, Customer service, iOS",3.6,Support Engineer
Helius Technologies,Junior Support Engineer,India,0.0,"TCP, Oracle, Software troubleshooting, Software deployment, Microsoft SQL Server",4.2,Support Engineer
Netcluse Technologies P. LTD,Technical Analyst,India,1000000.0,"ASP.NET, Azure, .NET Core, C#, Microsoft SQL Server",,Support Engineer
GreenTech ITS,(DBA) and Customer Support Engineer,India,600000.0,"Microsoft Windows Server, Management, Software troubleshooting, Disaster recovery, SQL",,Support Engineer
Lighthouse Document Technologies Inc,Application Support Engineer AP,Bengaluru,637500.0,"Software troubleshooting, Microsoft SQL Server, Administrative experience, SQL Server Management Studio, Scripting",3.6,Support Engineer
Ericsson,Support Engineer ENM,Gurgaon,594000.0,"System administration, Virtualization, Sybase, VMWare, Linux",4.0,Support Engineer
Accenture,Application Support Engineer,Mumbai,0.0,"Software troubleshooting, WebSphere, REST, Application support",3.8,Support Engineer
Konnect Analytics India Pvt Ltd,Customer Support Associate,India,198000.0,"Software troubleshooting, Customer service, ERP systems, Microsoft SQL Server, English",,Support Engineer
Atomicwork Inc,Product Support Engineer,Chennai,450000.0,"Cloud infrastructure, System administration, Azure, CSS, Customer service",,Support Engineer
Amrut Software,DevOps Support Engineer,Mumbai,0.0,"CI/CD, System administration, DevOps, Git, Database administration",4.0,Support Engineer
"LotusFlare, Inc.",DevOps Support Engineer,Pune,700000.0,"CI/CD, TCP, Cloud infrastructure, Kubernetes, Enterprise Software",4.3,Support Engineer
TechBiz Global GmbH,DevOps Support Engineer (India),Delhi,0.0,"Cloud infrastructure, Azure, English, Windows, AWS",4.6,Support Engineer
BNP Paribas,Platform Support Engineer - Devops,Mumbai,600000.0,"CI/CD, Cloud architecture, Kubernetes, Ansible, IIS",3.8,Support Engineer
Embien Technologies India Pvt,Embedded Hardware Support Engineer,India,60000.0,"Soldering, Embedded software, Scripting, Python",,Support Engineer
Xplor,Support Engineer,Pune,650000.0,"Software troubleshooting, C#, Technical support, .NET, SQL",3.5,Support Engineer
Apple,Cellular Layer1/Firmware Triage and Target Support Engineer,Bengaluru,0.0,"5G, C++, Electrical experience, C, Embedded software",4.1,Support Engineer
ADCI - Karnataka - A66,"Lab Support engineer, Ring Software/Firmware",Bengaluru,700000.0,"Software troubleshooting, Mobile applications, iOS, Test automation, Technical support",3.6,Support Engineer
PeerLogic Systems,Telecom Applications Support Engineer,Pune,550000.0,"Analysis skills, C++, VoIP, C, Linux",4.2,Support Engineer
MatchMove Pay Pte Ltd,Technical Production Support Engineer (Customer Facing),Bengaluru,4800000.0,"CI/CD, Ansible, Terraform, Continuous integration, New Relic",3.7,Support Engineer
Rippling,"Customer Support Specialist, IT",Bengaluru,950000.0,"Process improvement, English, APIs, Communication skills, Time management",4.0,Support Engineer
Codelattice,Technical Support Specialist,Remote,0.0,"Operating systems, Software troubleshooting, Windows, Technical support, Quality assurance",4.7,Support Engineer
DV HR India,IT Support Specialist,India,360000.0,"Software troubleshooting, ERP systems, Microsoft Office, ServiceNow",,Support Engineer
Balsam united co.ltd,IT Support Specialist,Hyderābād,250000.0,"Jira, System administration, Software troubleshooting, IT support, Organizational skills",,Support Engineer
"Stefanini, Inc",IT Support Specialist,Mumbai,550000.0,"Software troubleshooting, Customer service, Microsoft Office, Remote access software, ServiceNow",3.8,Support Engineer
Artnico Handcrafts & Designs Pvt. Ltd,IT Support Specialist,Anjuna,270000.0,"Software troubleshooting, Customer service, Microsoft Office, Administrative experience, IT support",,Support Engineer
ClockHash Technologies,Technical Support Specialist(Web Hosting),Remote,0.0,"Technical support, Communication skills, Dutch",4.8,Support Engineer
Talent Instaa,IT Support Specialist-Infrastructure,Chennai,330000.0,"Software troubleshooting, Computer hardware, IT support, ServiceNow, Manufacturing",,Support Engineer
Big Idea Technology LLC,"IT Support Specialist - Level 2/3 - Hyderabad, India",Hyderābād,450000.0,"Software troubleshooting, iOS, Windows, IT support, MacOS",3.4,Support Engineer
MathWorks,IT support specialist,Hyderābād,450000.0,"Windows, Microsoft Office, IT support, ServiceNow, Computer skills",4.3,Support Engineer
Convoso,IT Support Specialist,Vadodara,450000.0,"Azure, Software troubleshooting, Salesforce, iOS, Google Cloud Platform",3.2,Support Engineer
Mindelta,IT Support Engineer,Bengaluru,660000.0,Project management,,Support Engineer
Kuoni Tumlare,IT Support Specialist,Delhi,0.0,"Azure, Microsoft Exchange, Technical support, ITIL, Communication skills",4.1,Support Engineer
Powersonic Electric Solution India Private Limited,IT Support Specialist,Coimbatore,192000.0,"Azure, Google Cloud Platform, Firewall, AWS, Computer hardware",,Support Engineer
THE RRKS,IT Support Specialist,India,270000.0,"Microsoft Office, Firewall",,Support Engineer
Skeiron Group,IT Support Engineer,India,900000.0,"Incident management, Software troubleshooting, Microsoft Office, SharePoint",,Support Engineer
Mind map IT Solutions,IT Support Specialist,India,534000.0,"Software troubleshooting, Technical support, Project management, Computer hardware",,Support Engineer
Onecom,1st Line Technical Support Specialist (India),Gurgaon,3600000.0,Technical support,3.9,Support Engineer
TexAu,Technical Support Specialist,Remote,270000.0,"Technical support, Microsoft Office, JavaScript, APIs, Communication skills",,Support Engineer
Miltenyi Biotec,Global Technical Support Specialist (Flow and Clinical),Hyderābād,500000.0,"Software troubleshooting, Tissue culture, Technical support",3.6,Support Engineer
TEKION INDIA PRIVATE LIMITED,Technical Support Specialist,Chennai,500000.0,"Software troubleshooting, Technical support, Microsoft Office, ServiceNow, Communication skills",,Support Engineer
Kaufman Rossin,IT Support Specialist,Bengaluru,600000.0,"Network administration, Software troubleshooting, Customer service, IT support, Computer networking",4.1,Support Engineer
Norstella,IT Support Specialist,Bengaluru,550000.0,"Desktop support, Azure, Software troubleshooting, Remedy, Windows",3.4,Support Engineer
Andolasoft,Technical Support Specialist,India,3000000.0,"Software troubleshooting, Technical support, Microsoft Office, ServiceNow",5.0,Support Engineer
Moneybase plc,Junior IT Support Specialist - (Part-Time),India,0.0,"Software troubleshooting, Windows, Microsoft Office, Programmable logic controllers, IT support",,Support Engineer
Icuerious,IT Support Specialist,Mohali,0.0,"FTP, Software troubleshooting, Microsoft Office, IT support, VPN",3.9,Support Engineer
Aaxis Commerce,IT Support Specialist,Pune,550000.0,"Jira, Spanish, TCP, Azure, Operating systems",4.1,Support Engineer
Sky Infotech,Technical Support Executive,Pimpri-Chinchwad,950000.0,"English, Technical support, Microsoft Office, ServiceNow",3.6,Support Engineer
Acute Informatics Pvt. Ltd,IT Support Engineer,Hyderābād,270000.0,"Desktop support, Microsoft Outlook, Software troubleshooting, SCCM, IT service management",3.3,Support Engineer
Cyderes,IT Support Specialist,Bengaluru,0.0,"SSO, TCP, Azure, Software troubleshooting, Customer service",3.5,Support Engineer
Genesis HR Services,Technical Support Specialist,Hyderābād,500000.0,"Microsoft Outlook, English, Microsoft Exchange, Technical support, Microsoft Office",3.3,Support Engineer
bliss web solution,IT Support Engineer,Ahmedabad,4200000.0,"Software troubleshooting, Windows, IT support, Ubuntu, Communication skills",3.5,Support Engineer
Armor Defense Inc,IT Support Specialist,Pune,550000.0,"Jira, TCP, Software troubleshooting, English, Windows",3.3,Support Engineer
OURS GLOBAL,IT Technical Support Specialist,Bengaluru,400000.0,"Live chat, French, Desktop support, Spanish, Operating systems",3.0,Support Engineer
Employ Inc.,Technical Support Specialist Tier ll,Bengaluru,600000.0,"Technical support, Microsoft Office, APIs, Customer support, SaaS",2.3,Support Engineer
Networsys Technologies,IT Support Engineer -L1,Noida,690000.0,"Software troubleshooting, Computer hardware, IT support, ServiceNow, System security",3.6,Support Engineer
Microsoft,Technical Support Engineering,Bengaluru,500000.0,"CSS, English, Research, Technical support, IT",4.2,Support Engineer
Armstrong Fluid Technology,IT Support Analyst,Bengaluru,550000.0,,3.6,Support Engineer
Infodot Technologies,IT Support Engineer,Bengaluru,450000.0,"Google Suite, TCP, Software troubleshooting, Load balancing, LAN",,Support Engineer
Tech Mahindra,Technical support associate - Service desk,Hyderābād,4200000.0,"English, Technical support, Microsoft Office, ServiceNow, Communication skills",3.5,Support Engineer
Vigilant Technologies,IT Support Analyst,Hyderābād,3600000.0,"Cloud infrastructure, Software troubleshooting, Software deployment, Firewall, Project management",4.0,Support Engineer
3M,IT Support Engineer,Bengaluru,850000.0,,3.9,Support Engineer
Oak Leaf HR LLP,IT Support Specialist,Bengaluru,750000.0,"Oracle, React, SAP, Selenium, Oracle EBS",,Support Engineer
Oracle,Technical Support Analyst - L1 Support,Hyderābād,700000.0,"Hospitality, Operating systems, Oracle, Customer service, R",3.8,Support Engineer
QIMA,IT Support Engineer,Delhi,0.0,"LAN, English, Windows, Computer networking, Communication skills",3.9,Support Engineer
Deepija Telecom,IT Support Engineer,Raipur,4200000.0,"Operating systems, Call center, Computer hardware, Virtualization, IT support",4.3,Support Engineer
Namecheap,Customer support specialist (Technical chat process),Coimbatore,1440000.0,"English, Web services, Communication skills, Office experience",4.3,Support Engineer
RND SOFTECH PVT LTD,IT Support Engineer,India,4032000.0,"Operating systems, Software troubleshooting, Windows, Technical support, Analysis skills",3.7,Support Engineer
Trend India Workspace,IT Support Engineer,Chennai,210000.0,"TCP, Firewall, DHCP, Network protocols, DNS",,Support Engineer
Stuba.com,Technical Support Specialist,India,570000.0,"Microsoft Excel, XML, English, Technical support, Microsoft Office",,Support Engineer
Full Potential Solutions,IT Desktop Support Engineer,Pune,0.0,"Computer operation, Desktop support, Operating systems, Software troubleshooting, Customer service",4.4,Support Engineer
People Alliance Workforce Private Limited,Desktop Support Engineer,Hosūr,240000.0,"Desktop support, Software troubleshooting, Microsoft Office, Computer hardware, IT support",,Support Engineer
Cosmosoft technologies,Technical Support Associate,Chennai,300000.0,"English, Technical support",,Support Engineer
Next Order,Technical Support,Bengaluru,4800000.0,"Live chat, Software troubleshooting, Technical support, Restaurant experience, Communication skills",4.4,Support Engineer
Qualcomm,"IT Support Analyst, Senior",Hyderābād,850000.0,"Jira, Operating systems, Software troubleshooting, Customer service, Call center",3.9,Support Engineer
Element Solutions Inc,Senior IT Support Specialist,Chennai,500000.0,"LAN, English, Windows, Microsoft Office, Virtualization",3.4,Support Engineer
Penguin Data Centre,Junior Technical support specialist,Cochin,240000.0,"Software troubleshooting, Technical support, .NET, SQL, Analysis skills",,Support Engineer
Stellapps Technologies Private Limited,IT Support Engineer,India,288000.0,"Microsoft Word, Microsoft Excel, Software troubleshooting, Data analysis skills, Microsoft Office",,Support Engineer
Link Group,IT Support Analyst,Pune,450000.0,"Operating systems, WebSphere, IT service management, J2EE, Microsoft Office",3.5,Support Engineer
Zaliyo Technologies,Technical Support Executive,Remote,0.0,"Desktop support, Software troubleshooting, Windows, Technical support, Remote access software",4.0,Support Engineer
Axelerant,Logistics and IT Support Specialist,Gurgaon,600000.0,"Google Suite, Operating systems, Software troubleshooting, iOS, Logistics",4.5,Support Engineer
Healthfirst technologies,Technical Support Associate,Hyderābād,1100000.0,"Software troubleshooting, Technical support, Java, New Relic",,Support Engineer
SmartNode,IT Support Analyst(Maximum 3 year Experience),India,240000.0,"Windows, Microsoft Office, IT support",,Support Engineer
Reputation,Technical Support Specialist,Hyderābād,600000.0,"Enterprise Software, Salesforce, Technical support, Account management",4.1,Support Engineer
RSM US LLP,IT Support Analyst 1,Hyderābād,750000.0,"Call center, LAN, Windows, Microsoft Office, Computer hardware",3.7,Support Engineer
Nikkiso Cryogenic Industries,IT Support Specialist,Vadodara,4800000.0,"Microsoft Windows Server, Operating systems, Software troubleshooting, LAN, Filing",3.5,Support Engineer
SOTI Inc.,Technical Support Specialist,Cochin,500000.0,"Microsoft Windows Server, French, Spanish, Computer science, Customer service",3.6,Support Engineer
