company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Eightfold.AI,UX Designer,Bengaluru,500000.0,"iOS, Visual design, Machine learning, UX, User research",3.2,UX Designer
Wadhwani AI,UI/UX Intern,Delhi,0.0,"Research, User research, Hindi, AI, Figma",3.2,UX Designer
SAP,User Experience Design Specialist,Bengaluru,700000.0,"SAP, ERP systems, English, Machine learning, UX",4.2,UX Designer
Micron,Senior UX designer – IT TBMO,Hyderābād,700000.0,"CSS, Research, Adobe Creative Suite, Project management, JavaScript",3.8,UX Designer
SAP,User Experience Design Expert,Bengaluru,700000.0,"Enterprise Software, SAP, ERP systems, English, Adobe Creative Suite",4.2,UX Designer
Wadhwani AI,Senior UI/UX Designer,Delhi,0.0,"Typography, Research, Colour theory, UX, UI",3.2,UX Designer
SAP,Senior User Experience Design Specialist,Bengaluru,700000.0,"SAP, ERP systems, English, Machine learning, UX",4.2,UX Designer
cyber hospitality private limited,Front End/UI Developer,Remote,2100000.0,"Web accessibility, Adobe Photoshop, CSS, React, Adobe Illustrator",,UX Designer
Remunance,Front-end UI Developer – AI Worker Interface,Remote,0.0,"React, UI, AI",4.5,UX Designer
Dicetek LLC,UI UX Developer,Remote,0.0,"Jira, Web accessibility, Ant, CSS, React",4.3,UX Designer
Travel Magnet Infotech Private Limited,UI Developer,Hyderābād,1250000.0,"CSS, Bootstrap, Git, JavaScript, SASS",,UX Designer
Shamlatech,UI Developer,India,0.0,"CSS, D3.js, JavaScript, Angular, UI",3.7,UX Designer
Fire Bee Techno Services,UI/UX Design Team,India,0.0,"Graphic design, Usability, User research, Communication skills, Information architecture",4.6,UX Designer
Payatu,Embedded Linux Firmware Developer,Pune,750000.0,"Schematics, Firmware, PCB, Analysis skills, Product development",3.8,UX Designer
Rain Infotech,UI/UX Designer,Surat,650000.0,,5.0,UX Designer
[x]cube LABS,UI/UX Designer,Hyderābād,650000.0,"Adobe Photoshop, Adobe Illustrator, AWS, Adobe XD, MacOS",4.4,UX Designer
Nadcab Technology,UI/UX Developer,Allahabad,330000.0,"CSS, Responsive web design, JavaScript, Adobe XD, UX",,UX Designer
Whitefield Careers,UI/UX Lead,Bengaluru,1750000.0,"CI/CD, Node.js, React, Kubernetes, Git",,UX Designer
Shamlatech,UI Designer,India,0.0,"Typography, CSS, React, WordPress, Colour theory",3.7,UX Designer
inuksukdigitalmedia,UI/UX Designer,India,250000.0,"Adobe Photoshop, Adobe Illustrator, English, Graphic design, Visual design",,UX Designer
Xogar Games,Senior UI/UX Designer,Bengaluru,650000.0,"CSS, Responsive web design, Visual design, Adobe XD, Usability",,UX Designer
The Liechtenstein Cryptoassets Exchange,Lead UI/UX Designer,Gurgaon,750000.0,"CSS, Axure, Adobe Creative Suite, Continuous improvement, Team management",4.1,UX Designer
Simeio Solutions,UI Developer,Bengaluru,600000.0,"AJAX, MVC, Node.js, CSS, JavaScript",4.5,UX Designer
